,Open,High,Low,Close,Volume
2017-09-14 16:00:00,45.74,46.36,45.65,45.83,6573383
2017-09-15 16:00:00,45.83,46.51,45.78,46.51,11895013
2017-09-18 16:00:00,46.2,47.2266,46.17,47.09,6988858
2017-09-19 16:00:00,47.11,47.78,47.085,47.55,6216148
2017-09-20 16:00:00,47.86,48.8,47.8,48.33,8843323
2017-09-21 16:00:00,48.19,48.78,47.89,48.69,5790676
2017-09-22 16:00:00,48.7,49.65,48.63,49.08,7388171
2017-09-25 16:00:00,49.41,50.19,49.39,49.98,6800079
2017-09-26 16:00:00,49.73,50.03,49.22,49.67,5434193
2017-09-27 16:00:00,49.67,50.22,49.58,50.22,5314164
2017-09-28 16:00:00,50.45,50.83,49.81,50.0,5490617
2017-09-29 16:00:00,49.78,50.1,49.6101,50.05,4175661
2017-10-02 16:00:00,49.55,50.325,49.3,50.31,4832075
2017-10-03 16:00:00,50.17,50.23,49.23,49.24,6742130
2017-10-04 16:00:00,49.36,49.59,48.91,49.31,5432361
2017-10-05 16:00:00,49.46,49.79,49.41,49.7,5295351
2017-10-06 16:00:00,49.15,49.44,48.7,48.86,3902909
2017-10-09 16:00:00,49.1,49.2,48.83,48.91,4765762
2017-10-10 16:00:00,49.37,49.68,49.11,49.19,5252819
2017-10-11 16:00:00,49.2,49.27,48.89,48.98,249428
2017-10-12 16:00:00,49.09,49.87,49.01,49.81,4443136
2017-10-13 16:00:00,49.99,50.16,49.36,49.4,4629908
2017-10-16 16:00:00,49.71,50.13,49.65,49.72,4302249
2017-10-17 16:00:00,49.7,49.935,49.32,49.72,3579012
2017-10-18 16:00:00,49.75,50.18,49.555,49.71,6481675
2017-10-19 16:00:00,49.39,50.04,49.3,49.71,4015398
2017-10-20 16:00:00,49.9,50.4,49.5601,50.25,5993187
2017-10-23 16:00:00,50.28,50.75,49.93,50.26,5589025
2017-10-24 16:00:00,50.48,51.32,50.42,50.99,7609398
2017-10-25 16:00:00,51.06,51.13,49.75,49.96,6989680
2017-10-26 16:00:00,50.39,51.77,49.79,51.46,7564583
2017-10-27 16:00:00,51.16,52.23,50.2,51.21,7835701
2017-10-30 16:00:00,51.39,51.8,50.885,51.39,6647604
2017-10-31 16:00:00,51.32,51.61,51.02,51.15,6171526
2017-11-01 16:00:00,51.81,52.28,51.43,52.1,6455505
2017-11-02 16:00:00,52.06,52.59,51.69,52.48,6177111
2017-11-03 16:00:00,52.37,53.27,51.99,52.96,8030110
2017-11-06 16:00:00,53.01,53.94,52.8,53.67,8438870
2017-11-07 16:00:00,53.93,54.07,52.93,53.48,8577450
2017-11-08 16:00:00,54.1,54.22,53.16,53.52,7513026
2017-11-09 16:00:00,53.27,53.65,52.83,53.53,6709404
2017-11-10 16:00:00,53.4,53.49,52.5,52.99,5504552
2017-11-13 16:00:00,52.66,52.96,52.51,52.57,6728262
2017-11-14 16:00:00,52.19,52.43,51.08,51.23,6945025
2017-11-15 16:00:00,50.74,51.17,49.95,50.49,7262742
2017-11-16 16:00:00,50.4,50.65,50.08,50.22,5694865
2017-11-17 16:00:00,50.24,50.52,50.0,50.13,4191820
2017-11-20 16:00:00,50.0,50.25,49.58,50.08,4429560
2017-11-21 16:00:00,50.27,50.735,49.67,50.01,6331514
2017-11-22 16:00:00,50.52,50.59,50.02,50.22,4818737
2017-11-24 13:00:00,50.45,50.87,50.4401,50.47,2288899
2017-11-27 16:00:00,50.22,50.25,49.08,49.16,6369003
2017-11-28 16:00:00,49.36,50.16,48.97,50.13,6524684
2017-11-29 16:00:00,49.92,50.8285,49.72,50.73,6897811
2017-11-30 16:00:00,50.92,51.78,50.65,50.88,11184263
2017-12-01 16:00:00,51.51,52.47,51.23,51.74,6683882
2017-12-04 16:00:00,51.87,52.36,51.25,51.29,6168487
2017-12-05 16:00:00,51.23,51.695,51.11,51.23,4531747
2017-12-06 16:00:00,51.07,51.24,50.32,50.38,4437278
2017-12-07 16:00:00,50.32,50.831,50.08,50.54,4037792
2017-12-08 16:00:00,51.57,51.71,50.74,51.57,5316227
2017-12-11 16:00:00,51.54,52.31,51.41,51.69,4040363
2017-12-12 16:00:00,51.96,52.06,51.205,51.96,6200232
2017-12-13 16:00:00,51.92,52.09,51.58,51.68,4906794
