,Open,High,Low,Close,Volume
2017-10-25 16:00:00,161.0,163.0,160.58,162.18,3604739
2017-10-26 16:00:00,162.46,163.55,160.79,162.46,3038865
2017-10-27 16:00:00,160.8,162.68,160.7,162.38,3400493
2017-10-30 16:00:00,161.99,162.0,159.47,160.23,2551151
2017-10-31 16:00:00,159.84,161.27,159.717,161.08,2513630
2017-11-01 16:00:00,161.97,163.29,161.29,162.69,2129364
2017-11-02 16:00:00,163.73,165.55,162.61,164.95,3255662
2017-11-03 16:00:00,164.16,167.0697,163.78,166.44,3112975
2017-11-06 16:00:00,165.8,166.5878,164.98,165.05,1917296
2017-11-07 16:00:00,165.2,166.5,164.6,166.28,1944164
2017-11-08 16:00:00,166.63,169.19,166.02,169.05,3494941
2017-11-09 16:00:00,167.48,169.31,167.05,169.11,2094015
2017-11-10 16:00:00,168.44,171.38,168.0752,171.36,2673095
2017-11-13 16:00:00,171.0,173.09,170.65,171.46,4093280
2017-11-14 16:00:00,170.82,171.83,169.77,171.44,1774662
2017-11-15 16:00:00,169.3,170.73,167.055,169.0,2439925
2017-11-16 16:00:00,170.23,171.34,169.16,170.98,2342744
2017-11-17 16:00:00,171.0,172.2,170.65,170.98,2100618
2017-11-20 16:00:00,171.11,172.53,170.85,172.28,1955033
2017-11-21 16:00:00,172.96,174.19,172.55,173.42,2360153
2017-11-22 16:00:00,173.84,174.0,171.1,172.48,1950086
2017-11-24 13:00:00,172.38,173.159,171.5,171.62,789620
