,Open,High,Low,Close,Volume
2017-09-14 16:00:00,17.03,17.26,17.005,17.16,9664412
2017-09-15 16:00:00,17.17,17.2,16.82,16.86,7763999
2017-09-18 16:00:00,16.86,17.01,16.75,16.93,4365807
2017-09-19 16:00:00,16.84,16.95,16.52,16.62,5187309
2017-09-20 16:00:00,16.66,16.665,16.42,16.65,6571104
2017-09-21 16:00:00,16.67,16.67,16.0,16.0,6685005
2017-09-22 16:00:00,16.05,16.16,15.95,16.15,9265338
2017-09-25 16:00:00,16.17,16.3,16.06,16.24,5927616
2017-09-26 16:00:00,16.24,16.43,16.12,16.28,3833458
2017-09-27 16:00:00,16.35,16.4875,16.15,16.31,5659804
2017-09-28 16:00:00,16.25,16.44,16.11,16.15,4859115
2017-09-29 16:00:00,16.2,16.64,16.2,16.53,3359291
2017-10-02 16:00:00,16.54,16.85,16.54,16.65,3178797
2017-10-03 16:00:00,16.74,16.79,16.65,16.72,3222564
2017-10-04 16:00:00,16.72,16.87,16.63,16.64,3189998
2017-10-05 16:00:00,16.65,16.95,16.64,16.9,3241190
2017-10-06 16:00:00,16.89,17.08,16.75,16.88,3871509
2017-10-09 16:00:00,17.0,17.01,16.72,16.75,2160590
2017-10-10 16:00:00,16.83,16.9,16.62,16.81,2853139
2017-10-11 16:00:00,16.8,16.97,16.8,16.9,106185
2017-10-12 16:00:00,16.78,16.85,16.57,16.76,2675872
2017-10-13 16:00:00,16.77,17.21,16.77,17.06,2643757
2017-10-16 16:00:00,17.0,17.09,16.81,16.83,4070180
2017-10-17 16:00:00,16.71,16.73,15.99,16.0,8238234
2017-10-18 16:00:00,16.0,16.035,15.33,15.76,10949416
2017-10-19 16:00:00,15.75,15.84,15.48,15.83,5243113
2017-10-20 16:00:00,15.85,15.98,15.7571,15.85,4336840
2017-10-23 16:00:00,15.88,16.08,15.42,15.45,6726344
2017-10-24 16:00:00,15.53,15.55,15.285,15.35,6915667
2017-10-25 16:00:00,15.26,15.38,15.155,15.25,4129332
2017-10-26 16:00:00,15.4,15.465,15.22,15.24,3305877
2017-10-27 16:00:00,15.23,15.23,14.81,14.91,4972594
2017-10-30 16:00:00,14.87,15.06,14.81,14.97,3463923
2017-10-31 16:00:00,15.03,15.43,14.99,15.4,4555812
2017-11-01 16:00:00,15.48,15.555,15.17,15.31,5365057
2017-11-02 16:00:00,15.21,15.21,14.43,14.46,10957024
2017-11-03 16:00:00,14.45,14.64,14.24,14.36,8917645
2017-11-06 16:00:00,14.38,14.86,14.38,14.52,7172138
2017-11-07 16:00:00,14.56,14.77,14.37,14.45,5334468
2017-11-08 16:00:00,14.51,14.89,14.48,14.76,7242524
2017-11-09 16:00:00,16.86,17.89,16.33,16.8,23411173
2017-11-10 16:00:00,16.35,16.56,15.785,16.31,9268029
2017-11-13 16:00:00,16.28,16.885,16.21,16.75,8026352
2017-11-14 16:00:00,16.74,17.1,16.63,16.95,7131337
2017-11-15 16:00:00,16.9,17.14,16.69,16.82,8655938
2017-11-16 16:00:00,16.99,17.05,16.73,16.85,5428458
2017-11-17 16:00:00,16.81,17.18,16.81,17.05,6776870
2017-11-20 16:00:00,17.15,17.285,16.9346,17.1,3835799
2017-11-21 16:00:00,17.13,17.16,16.835,16.87,4238628
2017-11-22 16:00:00,16.89,17.1,16.82,16.98,3266491
2017-11-24 13:00:00,17.0,17.08,16.9,17.0,1062645
2017-11-27 16:00:00,16.98,17.06,16.71,17.0,4980532
2017-11-28 16:00:00,16.98,17.21,16.91,17.2,5440249
2017-11-29 16:00:00,17.11,17.42,17.03,17.09,3870198
2017-11-30 16:00:00,17.17,17.295,17.0701,17.23,5098552
2017-12-01 16:00:00,17.23,17.3,16.69,17.05,5982734
2017-12-04 16:00:00,17.23,17.64,17.125,17.56,6280056
2017-12-05 16:00:00,17.57,17.7,17.31,17.64,5659506
2017-12-06 16:00:00,17.64,17.8,17.54,17.63,4449644
2017-12-07 16:00:00,17.56,17.775,17.56,17.6,3986714
2017-12-08 16:00:00,17.62,17.81,17.42,17.78,3912905
2017-12-11 16:00:00,17.77,17.91,17.6,17.91,4605042
2017-12-12 16:00:00,18.62,18.77,18.3,18.62,7852953
2017-12-13 16:00:00,18.68,19.48,18.66,19.42,7893387
