,Open,High,Low,Close,Volume
2017-10-25 16:00:00,98.4,99.63,98.31,99.59,4687208
2017-10-26 16:00:00,99.82,100.76,99.3,100.05,3863316
2017-10-27 16:00:00,100.72,101.98,100.18,100.7,4030366
2017-10-30 16:00:00,100.7,100.98,99.91,100.7,2374642
2017-10-31 16:00:00,101.13,102.445,100.84,102.34,5111804
2017-11-01 16:00:00,103.67,103.92,101.3,101.95,3760780
2017-11-02 16:00:00,102.05,103.37,101.76,102.6,3212573
2017-11-03 16:00:00,102.86,103.07,101.7,102.71,3265464
2017-11-06 16:00:00,102.92,103.14,101.58,102.42,7046838
2017-11-07 16:00:00,104.94,105.0,101.75,102.72,5277062
2017-11-08 16:00:00,102.95,105.25,102.9,105.03,6674504
2017-11-09 16:00:00,104.33,104.44,102.41,103.6,5128620
2017-11-10 16:00:00,103.41,105.38,102.83,105.24,4675700
2017-11-13 16:00:00,105.0,105.96,105.0,105.78,4609531
2017-11-14 16:00:00,105.64,106.38,105.06,106.23,4366825
2017-11-15 16:00:00,105.88,107.0,105.0,105.43,4148441
2017-11-16 16:00:00,106.23,107.36,106.175,107.03,3708549
2017-11-17 16:00:00,107.19,107.87,106.73,107.58,4407860
2017-11-20 16:00:00,108.7,109.0,107.01,107.37,5578525
2017-11-21 16:00:00,108.75,109.19,107.79,108.8,10682708
2017-11-22 16:00:00,106.85,107.49,106.05,106.83,9009644
2017-11-24 13:00:00,107.4,107.595,106.41,107.15,4000021
