,Open,High,Low,Close,Volume
2017-09-14 16:00:00,31.91,32.22,31.91,32.19,18194803
2017-09-15 16:00:00,32.2,32.5,32.12,32.44,29336087
2017-09-18 16:00:00,32.43,32.66,32.26,32.52,17290893
2017-09-19 16:00:00,32.46,32.65,32.395,32.49,12927654
2017-09-20 16:00:00,32.55,32.75,32.39,32.6,19865366
2017-09-21 16:00:00,32.72,32.9,32.5,32.7,19870012
2017-09-22 16:00:00,32.66,33.53,32.64,33.37,28234858
2017-09-25 16:00:00,33.31,33.84,33.2,33.72,32396906
2017-09-26 16:00:00,33.76,34.1,33.67,33.76,26138300
2017-09-27 16:00:00,33.78,33.92,33.3037,33.48,22310041
2017-09-28 16:00:00,33.22,33.46,33.22,33.35,15496862
2017-09-29 16:00:00,33.31,33.67,33.24,33.63,14802671
2017-10-02 16:00:00,33.61,33.77,33.52,33.75,16555183
2017-10-03 16:00:00,33.72,33.9,33.61,33.85,13346858
2017-10-04 16:00:00,33.53,33.56,33.29,33.44,14652192
2017-10-05 16:00:00,33.58,33.67,33.41,33.59,14524809
2017-10-06 16:00:00,33.65,33.78,33.5247,33.75,15464652
2017-10-09 16:00:00,33.77,33.89,33.61,33.76,8728444
2017-10-10 16:00:00,33.88,33.91,33.47,33.55,18011029
2017-10-11 16:00:00,33.38,33.63,33.25,33.59,12561374
2017-10-12 16:00:00,33.26,33.46,33.17,33.26,17905601
2017-10-13 16:00:00,33.4,33.57,33.323,33.47,13578818
2017-10-16 16:00:00,33.6,33.64,33.47,33.54,10509057
2017-10-17 16:00:00,33.59,33.67,33.46,33.6,9303117
2017-10-18 16:00:00,33.72,33.75,33.44,33.55,9971246
2017-10-19 16:00:00,33.51,33.89,33.45,33.75,13203111
2017-10-20 16:00:00,34.02,34.39,34.01,34.25,24361352
2017-10-23 16:00:00,34.45,34.68,34.27,34.35,22631966
2017-10-24 16:00:00,34.4,34.675,34.25,34.58,16280155
2017-10-25 16:00:00,34.73,34.73,34.163,34.3,17400891
2017-10-26 16:00:00,34.41,34.51,34.07,34.27,14616103
2017-10-27 16:00:00,34.15,34.62,34.09,34.43,20356597
2017-10-30 16:00:00,34.13,34.38,33.8244,34.04,18345087
2017-10-31 16:00:00,33.98,34.24,33.96,34.15,13935120
2017-11-01 16:00:00,34.29,34.75,34.28,34.62,22051255
2017-11-02 16:00:00,34.55,34.64,34.16,34.21,19827603
2017-11-03 16:00:00,34.28,34.49,34.0269,34.47,13414354
2017-11-06 16:00:00,34.37,34.56,34.26,34.41,12786917
2017-11-07 16:00:00,34.32,34.48,34.2147,34.4,11332941
2017-11-08 16:00:00,34.31,34.5,34.12,34.5,13061334
2017-11-09 16:00:00,34.29,34.32,33.871,34.05,16784991
2017-11-10 16:00:00,34.06,34.09,33.67,33.99,19319360
2017-11-13 16:00:00,33.86,34.21,33.83,33.95,16441540
2017-11-14 16:00:00,33.86,34.16,33.8,34.04,17468535
2017-11-15 16:00:00,33.97,34.31,33.75,34.11,30829556
2017-11-16 16:00:00,36.04,36.67,35.83,35.88,61177066
2017-11-17 16:00:00,35.9,36.32,35.81,35.9,27987968
2017-11-20 16:00:00,35.93,36.54,35.93,36.5,26897844
2017-11-21 16:00:00,36.75,36.97,36.58,36.65,24146384
2017-11-22 16:00:00,36.7,36.715,36.36,36.45,17226399
2017-11-24 13:00:00,36.41,36.57,36.32,36.49,6155794
2017-11-27 16:00:00,36.51,37.09,36.5,36.87,20942222
2017-11-28 16:00:00,37.0,37.8,36.98,37.73,30966601
2017-11-29 16:00:00,37.75,38.025,37.23,37.48,36788586
2017-11-30 16:00:00,37.62,37.8,37.3,37.3,30749464
2017-12-01 16:00:00,37.09,37.66,36.73,37.6,26920869
2017-12-04 16:00:00,37.81,37.99,37.54,37.72,29414445
2017-12-05 16:00:00,37.74,37.82,37.17,37.31,23288151
2017-12-06 16:00:00,37.37,37.72,37.25,37.41,16581847
2017-12-07 16:00:00,37.26,37.78,37.26,37.4,17091998
2017-12-08 16:00:00,37.59,37.69,37.42,37.61,14044372
2017-12-11 16:00:00,37.59,38.04,37.57,37.96,16749521
2017-12-12 16:00:00,37.79,38.1,37.56,37.91,16658592
2017-12-13 16:00:00,38.09,38.37,38.0,38.15,20199475
