,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.15,32.15,31.57,31.61,1709923
2017-09-15 16:00:00,32.11,32.41,31.71,31.98,5481285
2017-09-18 16:00:00,31.92,32.13,31.575,31.63,2636184
2017-09-19 16:00:00,31.72,31.89,31.5,31.75,1243478
2017-09-20 16:00:00,31.78,32.08,31.654,31.99,1160218
2017-09-21 16:00:00,31.9,32.325,31.9,32.09,981913
2017-09-22 16:00:00,32.09,32.32,31.93,32.06,960292
2017-09-25 16:00:00,32.02,32.04,31.46,31.81,768014
2017-09-26 16:00:00,31.99,32.06,31.83,31.94,775728
2017-09-27 16:00:00,32.05,32.29,31.98,32.11,1112802
2017-09-28 16:00:00,31.83,32.1,31.44,32.04,1235211
2017-09-29 16:00:00,31.98,32.31,31.82,32.27,1011296
2017-10-02 16:00:00,32.32,32.77,32.29,32.68,701150
2017-10-03 16:00:00,31.8,32.16,31.76,31.97,1074327
2017-10-04 16:00:00,31.97,32.11,31.73,31.98,860790
2017-10-05 16:00:00,31.83,31.899,31.44,31.62,992216
2017-10-06 16:00:00,31.57,31.57,31.1,31.35,1868491
2017-10-09 16:00:00,31.27,31.71,31.04,31.67,1217796
2017-10-10 16:00:00,31.75,31.88,31.52,31.86,721352
2017-10-11 16:00:00,31.85,31.85,31.65,31.65,12649
2017-10-12 16:00:00,30.94,31.41,30.79,31.38,995904
2017-10-13 16:00:00,31.47,31.49,31.06,31.38,559134
2017-10-16 16:00:00,31.4,31.41,31.21,31.24,489560
2017-10-17 16:00:00,31.17,31.32,31.04,31.11,648261
2017-10-18 16:00:00,31.24,31.35,31.18,31.18,796557
2017-10-19 16:00:00,31.09,31.3,31.0,31.25,436778
2017-10-20 16:00:00,31.36,31.76,31.31,31.73,1088109
2017-10-23 16:00:00,31.8,31.8,31.56,31.59,723929
2017-10-24 16:00:00,31.58,31.74,31.5,31.54,524929
2017-10-25 16:00:00,32.0,32.16,31.73,31.85,1231459
2017-10-26 16:00:00,31.91,32.18,31.84,31.84,1345100
2017-10-27 16:00:00,31.83,31.83,31.48,31.56,560428
2017-10-30 16:00:00,31.5,32.12,31.47,31.85,685201
2017-10-31 16:00:00,31.9,32.2,31.87,31.99,938340
2017-11-01 16:00:00,32.1,32.34,31.98,32.02,747207
2017-11-02 16:00:00,32.06,32.16,31.55,31.87,681082
2017-11-03 16:00:00,31.75,31.835,31.29,31.34,790957
2017-11-06 16:00:00,31.39,31.99,31.26,31.75,1274355
2017-11-07 16:00:00,31.8,31.99,31.56,31.73,1450303
2017-11-08 16:00:00,31.3,31.62,29.02,29.56,4131943
2017-11-09 16:00:00,29.37,29.75,28.84,29.03,1632133
2017-11-10 16:00:00,28.9,29.075,28.72,28.82,1226193
2017-11-13 16:00:00,28.76,28.8,28.34,28.54,1230896
2017-11-14 16:00:00,28.34,28.55,27.965,28.03,1039561
2017-11-15 16:00:00,27.9,27.9,27.38,27.54,1495864
2017-11-16 16:00:00,27.67,28.04,27.67,27.95,765820
2017-11-17 16:00:00,27.81,27.87,27.55,27.62,772640
2017-11-20 16:00:00,27.55,27.7,27.46,27.53,547909
2017-11-21 16:00:00,27.93,28.66,27.881,28.66,1586245
2017-11-22 16:00:00,28.57,28.91,28.51,28.54,975835
2017-11-24 13:00:00,28.62,28.62,28.17,28.28,227724
2017-11-27 16:00:00,28.36,28.51,28.21,28.42,1346533
2017-11-28 16:00:00,28.4,28.63,28.1,28.62,1755607
2017-11-29 16:00:00,28.63,28.68,28.32,28.51,1462671
2017-11-30 16:00:00,28.64,29.21,28.46,28.93,2207872
2017-12-01 16:00:00,28.92,29.02,28.2,28.69,1219410
2017-12-04 16:00:00,28.87,29.56,28.87,29.24,1591311
2017-12-05 16:00:00,29.2,29.27,28.88,28.98,1106048
2017-12-06 16:00:00,28.91,29.18,28.82,28.94,992422
2017-12-07 16:00:00,28.87,29.44,28.87,29.34,1134250
2017-12-08 16:00:00,29.48,29.54,29.02,29.24,577842
2017-12-11 16:00:00,29.27,29.49,29.18,29.37,839780
2017-12-12 16:00:00,29.17,29.45,29.1,29.17,794761
2017-12-13 16:00:00,29.25,30.14,29.21,29.88,1689834
