,Open,High,Low,Close,Volume
2017-10-25 16:00:00,54.48,54.99,52.71,52.92,7776926
2017-10-26 16:00:00,52.44,52.94,50.675,52.35,13005129
2017-10-27 16:00:00,52.12,53.2,52.0,52.54,6438647
2017-10-30 16:00:00,52.41,52.55,51.285,51.6,6320403
2017-10-31 16:00:00,51.58,51.6,50.39,50.43,7431185
2017-11-01 16:00:00,50.73,50.96,49.77,50.15,6119849
2017-11-02 16:00:00,50.22,51.64,50.09,51.62,6117107
2017-11-03 16:00:00,51.63,51.74,51.17,51.31,4002162
2017-11-06 16:00:00,51.05,51.25,50.59,51.15,4578318
2017-11-07 16:00:00,51.13,52.42,50.89,51.82,5507408
2017-11-08 16:00:00,51.15,51.8599,51.02,51.49,3896621
2017-11-09 16:00:00,51.19,51.25,50.17,50.23,5455513
2017-11-10 16:00:00,49.97,50.38,49.7699,50.08,3462415
2017-11-13 16:00:00,49.36,49.97,48.79,49.75,4913588
2017-11-14 16:00:00,49.46,49.62,49.0,49.4,4419739
2017-11-15 16:00:00,49.26,49.34,48.255,48.63,5287138
2017-11-16 16:00:00,48.71,50.15,48.335,50.12,7205593
2017-11-17 16:00:00,49.96,50.07,49.5,49.92,6174313
2017-11-20 16:00:00,49.75,49.91,49.3,49.71,4843469
2017-11-21 16:00:00,49.76,50.235,49.56,50.22,3796171
2017-11-22 16:00:00,50.4,51.2,50.13,51.01,4665743
2017-11-24 13:00:00,50.88,51.32,50.675,50.9,2446254
