,Open,High,Low,Close,Volume
2017-09-14 16:00:00,18.71,18.92,18.54,18.7,5727863
2017-09-15 16:00:00,18.92,19.1,18.73,18.98,13886792
2017-09-18 16:00:00,19.02,19.03,18.17,18.32,11246073
2017-09-19 16:00:00,18.35,18.71,18.24,18.53,8224583
2017-09-20 16:00:00,18.54,18.92,18.42,18.67,7279118
2017-09-21 16:00:00,18.6,18.66,18.35,18.49,5885854
2017-09-22 16:00:00,18.5,18.56,18.315,18.54,7013532
2017-09-25 16:00:00,18.54,19.4,18.53,19.34,8135973
2017-09-26 16:00:00,19.34,19.47,19.18,19.36,6263301
2017-09-27 16:00:00,19.36,19.7254,19.22,19.31,5166592
2017-09-28 16:00:00,19.27,19.43,19.04,19.21,5666490
2017-09-29 16:00:00,19.3,19.3,18.81,18.9,7310919
2017-10-02 16:00:00,18.89,19.39,18.785,19.32,8468529
2017-10-03 16:00:00,19.66,20.22,19.06,20.18,12100085
2017-10-04 16:00:00,20.0,20.41,19.95,20.09,9199494
2017-10-05 16:00:00,20.14,20.41,19.91,20.02,10218403
2017-10-06 16:00:00,19.97,20.02,19.55,20.0,9356432
2017-10-09 16:00:00,20.04,20.1944,19.92,20.1,5955112
2017-10-10 16:00:00,20.11,20.34,20.01,20.32,7630745
2017-10-11 16:00:00,20.31,20.33,20.18,20.25,1008559
2017-10-12 16:00:00,20.15,20.39,19.97,20.35,37121189
2017-10-13 16:00:00,20.39,20.55,20.07,20.25,12950021
2017-10-16 16:00:00,20.23,20.23,19.68,19.76,8728079
2017-10-17 16:00:00,19.69,19.95,18.93,19.02,18804110
2017-10-18 16:00:00,19.03,19.08,18.58,18.65,24761689
2017-10-19 16:00:00,18.8,18.94,18.26,18.49,15583181
2017-10-20 16:00:00,18.6,19.18,18.46,19.04,15848796
2017-10-23 16:00:00,19.1,19.26,18.63,18.8,12494352
2017-10-24 16:00:00,18.9,19.08,18.7,18.74,7015078
2017-10-25 16:00:00,18.62,18.7,18.45,18.53,9524527
2017-10-26 16:00:00,18.59,18.68,18.4,18.51,13090035
2017-10-27 16:00:00,18.46,18.5,17.4,17.48,22824839
2017-10-30 16:00:00,17.49,18.42,17.065,18.4,27086545
2017-10-31 16:00:00,18.56,19.0,18.38,18.99,17495149
2017-11-01 16:00:00,19.04,19.05,17.52,17.85,20064078
2017-11-02 16:00:00,17.7,18.095,17.45,17.46,20923781
2017-11-03 16:00:00,17.5,17.5,16.31,16.37,16921372
2017-11-06 16:00:00,16.35,16.75,16.04,16.67,15566021
2017-11-07 16:00:00,16.63,16.72,16.14,16.22,12042532
2017-11-08 16:00:00,16.15,16.49,16.07,16.26,13936861
2017-11-09 16:00:00,14.8,16.43,14.6,15.48,39219714
2017-11-10 16:00:00,15.43,15.6,14.98,15.48,19339326
2017-11-13 16:00:00,15.46,15.48,15.21,15.33,16401212
2017-11-14 16:00:00,15.22,15.24,14.31,14.4,20764860
2017-11-15 16:00:00,14.38,14.9,14.06,14.78,17215711
2017-11-16 16:00:00,14.68,15.06,14.6,14.75,13027617
2017-11-17 16:00:00,14.71,14.93,14.7,14.8,12881325
2017-11-20 16:00:00,14.82,14.92,14.64,14.8,12077047
2017-11-21 16:00:00,14.83,14.84,14.44,14.53,16833346
2017-11-22 16:00:00,14.51,14.555,14.18,14.34,19944052
2017-11-24 13:00:00,13.79,14.09,13.68,13.84,7332967
2017-11-27 16:00:00,13.85,14.05,13.56,13.62,13763783
2017-11-28 16:00:00,13.58,13.7,13.161,13.69,19888391
2017-11-29 16:00:00,13.69,14.69,13.66,14.54,17780242
2017-11-30 16:00:00,14.58,14.905,14.26,14.59,21244767
2017-12-01 16:00:00,14.54,14.62,13.971,14.3,15649019
2017-12-04 16:00:00,14.4,14.86,14.35,14.81,15703293
2017-12-05 16:00:00,14.8,14.84,14.34,14.39,13894774
2017-12-06 16:00:00,14.34,14.34,13.81,13.84,11822532
2017-12-07 16:00:00,14.18,14.31,13.84,14.1,46283929
2017-12-08 16:00:00,14.17,14.73,14.09,14.67,15068619
2017-12-11 16:00:00,15.23,16.09,15.15,15.87,37220057
2017-12-12 16:00:00,15.7,16.12,15.61,15.7,15525361
2017-12-13 16:00:00,16.07,16.96,16.0,16.75,25127766
