,Open,High,Low,Close,Volume
2017-10-25 16:00:00,74.43,74.75,74.1,74.25,2374963
2017-10-26 16:00:00,74.65,75.51,74.54,74.58,3390160
2017-10-27 16:00:00,74.71,75.5,74.0,75.39,3424290
2017-10-30 16:00:00,75.32,75.62,74.75,75.51,4155396
2017-10-31 16:00:00,75.73,76.51,75.36,75.67,6126517
2017-11-01 16:00:00,74.64,75.0,70.53,73.54,9994911
2017-11-02 16:00:00,74.14,75.11,73.73,74.36,4426328
2017-11-03 16:00:00,74.33,74.725,73.77,74.27,3792498
2017-11-06 16:00:00,74.11,75.29,74.0,74.78,3183333
2017-11-07 16:00:00,74.81,75.06,74.53,74.65,3161610
2017-11-08 16:00:00,74.85,75.08,74.27,74.38,2556327
2017-11-09 16:00:00,73.86,74.24,73.5,73.94,2137968
2017-11-10 16:00:00,73.59,74.44,73.42,74.26,2591896
2017-11-13 16:00:00,74.0,74.66,73.81,74.56,1743827
2017-11-14 16:00:00,73.84,75.19,73.78,74.97,2261429
2017-11-15 16:00:00,74.94,75.11,73.97,74.09,3244041
2017-11-16 16:00:00,74.4,75.77,74.39,75.38,3370793
2017-11-17 16:00:00,75.07,75.16,72.88,72.91,4754892
2017-11-20 16:00:00,72.74,72.91,71.57,71.9,5894901
2017-11-21 16:00:00,72.78,72.89,71.49,71.77,4244561
2017-11-22 16:00:00,71.92,72.0599,71.48,71.71,2537805
2017-11-24 13:00:00,71.93,72.37,71.53,72.27,1827562
