,Open,High,Low,Close,Volume
2017-10-25 16:00:00,76.48,76.62,74.48,75.53,6648677
2017-10-26 16:00:00,75.79,76.47,70.78,73.31,21982480
2017-10-27 16:00:00,73.89,74.99,68.16,68.99,32616296
2017-10-30 16:00:00,68.77,69.66,68.01,68.45,10400920
2017-10-31 16:00:00,68.36,69.343,68.36,68.53,7199289
2017-11-01 16:00:00,68.82,69.525,68.19,69.0,8433778
2017-11-02 16:00:00,69.14,69.92,69.11,69.38,5378527
2017-11-03 16:00:00,69.3,69.67,68.12,69.25,9901157
2017-11-06 16:00:00,68.23,69.82,66.45,66.8,14183103
2017-11-07 16:00:00,66.86,69.42,66.68,68.95,12134781
2017-11-08 16:00:00,68.91,69.09,68.4001,68.99,8661690
2017-11-09 16:00:00,69.2,69.43,68.46,69.02,6992131
2017-11-10 16:00:00,69.63,71.51,69.19,70.99,10299977
2017-11-13 16:00:00,71.18,74.0,70.29,71.48,9874932
2017-11-14 16:00:00,71.15,71.44,69.91,70.44,5964036
2017-11-15 16:00:00,70.0,70.38,69.4,69.8,5333947
2017-11-16 16:00:00,70.1,71.05,69.55,70.26,6447629
2017-11-17 16:00:00,70.25,71.03,70.0,70.68,5382233
2017-11-20 16:00:00,70.58,71.0,69.77,70.38,8490306
2017-11-21 16:00:00,70.68,71.63,70.53,71.5,9609122
2017-11-22 16:00:00,71.39,72.07,71.2,71.48,5315476
2017-11-24 13:00:00,71.89,71.93,70.5,70.55,2992871
