,Open,High,Low,Close,Volume
2017-09-14 16:00:00,114.26,115.3379,114.18,114.45,5819075
2017-09-15 16:00:00,114.83,114.91,113.63,114.63,8387623
2017-09-18 16:00:00,114.42,115.22,114.32,115.19,4954613
2017-09-19 16:00:00,115.25,116.4209,115.19,116.34,6187969
2017-09-20 16:00:00,116.5,117.15,116.195,116.37,5378172
2017-09-21 16:00:00,116.22,116.515,115.83,116.47,4334537
2017-09-22 16:00:00,116.41,117.83,116.27,117.29,5307066
2017-09-25 16:00:00,117.23,118.33,117.02,117.99,5980338
2017-09-26 16:00:00,117.79,118.0254,117.25,117.52,4874703
2017-09-27 16:00:00,117.46,117.5952,116.77,117.45,3872739
2017-09-28 16:00:00,117.17,118.13,117.02,117.62,4948991
2017-09-29 16:00:00,117.17,117.52,116.73,117.5,4874786
2017-10-02 16:00:00,116.42,117.79,115.533,117.43,4285626
2017-10-03 16:00:00,117.08,118.25,117.01,117.82,3892189
2017-10-04 16:00:00,117.82,117.87,117.1278,117.58,3443437
2017-10-05 16:00:00,117.45,118.69,117.33,118.58,5470900
2017-10-06 16:00:00,117.95,118.15,116.8,117.03,3533322
2017-10-09 16:00:00,117.34,118.08,117.01,117.71,2951938
2017-10-10 16:00:00,118.4,119.815,118.29,118.8,5683126
2017-10-11 16:00:00,119.21,119.25,118.58,118.75,302197
2017-10-12 16:00:00,118.49,119.65,118.31,119.14,3929664
2017-10-13 16:00:00,119.79,120.0,119.07,119.16,4640071
2017-10-16 16:00:00,119.84,120.89,119.43,120.13,5500652
2017-10-17 16:00:00,120.23,120.74,119.8291,120.22,4844293
2017-10-18 16:00:00,119.4,120.02,117.99,118.15,5505097
2017-10-19 16:00:00,118.06,118.74,117.95,118.2,4576638
2017-10-20 16:00:00,118.61,118.78,118.07,118.64,4924257
2017-10-23 16:00:00,118.72,119.3,118.45,118.93,3872393
2017-10-24 16:00:00,119.48,119.92,119.07,119.23,4472414
2017-10-25 16:00:00,119.0,119.44,118.145,118.44,4553104
2017-10-26 16:00:00,118.78,119.0,118.14,118.44,4092852
2017-10-27 16:00:00,116.13,116.4,112.57,113.54,14534096
2017-10-30 16:00:00,113.17,115.1,112.841,114.39,7517830
2017-10-31 16:00:00,114.45,116.38,113.82,115.89,7154843
2017-11-01 16:00:00,116.3,116.97,115.35,115.9,5030255
2017-11-02 16:00:00,116.21,116.47,114.705,115.33,4329604
2017-11-03 16:00:00,115.48,115.75,114.73,114.99,4101836
2017-11-06 16:00:00,115.37,117.155,114.99,117.04,5950279
2017-11-07 16:00:00,117.38,118.0,116.4757,117.24,5219523
2017-11-08 16:00:00,116.78,117.15,115.9,116.67,5092845
2017-11-09 16:00:00,115.9,117.5,115.62,117.24,5103322
2017-11-10 16:00:00,116.71,117.31,116.1,117.18,5156898
2017-11-13 16:00:00,117.22,117.765,116.68,117.23,4279222
2017-11-14 16:00:00,116.82,117.255,116.25,116.92,6996483
2017-11-15 16:00:00,116.21,117.2295,116.07,116.45,5372577
2017-11-16 16:00:00,115.25,115.82,114.38,114.57,5889331
2017-11-17 16:00:00,114.67,114.99,113.9,114.71,4337473
2017-11-20 16:00:00,114.77,115.03,114.44,114.72,4634154
2017-11-21 16:00:00,115.14,115.86,114.92,115.17,4595958
2017-11-22 16:00:00,115.49,116.7798,115.32,115.91,3950984
2017-11-24 13:00:00,116.55,116.85,116.31,116.51,1744165
2017-11-27 16:00:00,115.85,116.03,115.24,115.59,4490338
2017-11-28 16:00:00,115.92,116.81,115.74,116.45,4004654
2017-11-29 16:00:00,116.2,117.25,115.83,117.18,3660989
2017-11-30 16:00:00,117.26,119.15,117.23,118.99,7896558
2017-12-01 16:00:00,119.81,120.46,118.52,119.51,6832215
2017-12-04 16:00:00,119.81,122.3,119.37,120.84,7366372
2017-12-05 16:00:00,120.54,121.4,120.151,120.39,4380737
2017-12-06 16:00:00,119.985,120.88,119.52,119.61,4852532
2017-12-07 16:00:00,119.5,120.1,118.96,119.63,4908720
2017-12-08 16:00:00,119.96,120.2412,119.1,119.92,4122205
2017-12-11 16:00:00,120.29,121.11,120.12,120.42,5929728
2017-12-12 16:00:00,119.68,120.74,119.56,119.68,4300171
2017-12-13 16:00:00,119.43,120.17,118.68,119.93,4399835
