,Open,High,Low,Close,Volume
2017-10-25 16:00:00,130.08,131.2,129.27,130.53,1062883
2017-10-26 16:00:00,130.9,130.965,128.86,130.12,806593
2017-10-27 16:00:00,129.31,133.67,129.13,132.37,1918848
2017-10-30 16:00:00,132.32,134.75,132.07,132.8,1332372
2017-10-31 16:00:00,132.73,134.88,132.235,134.21,1182623
2017-11-01 16:00:00,139.84,144.89,136.57,140.26,2521806
2017-11-02 16:00:00,139.81,140.5,138.23,139.98,1498995
2017-11-03 16:00:00,140.41,144.39,139.68,142.85,1796341
2017-11-06 16:00:00,143.26,147.12,143.1708,146.62,1547876
2017-11-07 16:00:00,146.83,147.77,145.45,146.71,1505522
2017-11-08 16:00:00,146.38,146.38,143.22,145.06,1487454
2017-11-09 16:00:00,144.41,145.94,143.725,144.43,939678
2017-11-10 16:00:00,144.31,145.06,142.51,143.21,830751
2017-11-13 16:00:00,142.55,144.3,141.32,142.41,865272
2017-11-14 16:00:00,141.61,142.27,139.375,140.46,1163753
2017-11-15 16:00:00,138.69,140.2,137.09,138.16,1188523
2017-11-16 16:00:00,138.47,138.92,137.2,138.24,695128
2017-11-17 16:00:00,138.56,139.85,137.95,138.65,533377
2017-11-20 16:00:00,138.21,139.78,137.01,139.03,726049
2017-11-21 16:00:00,139.22,140.85,139.02,139.63,975944
2017-11-22 16:00:00,140.85,141.4334,139.56,140.29,936269
2017-11-24 13:00:00,141.35,141.64,140.41,140.58,374991
