,Open,High,Low,Close,Volume
2017-09-14 16:00:00,78.0,79.26,77.85,79.17,3020803
2017-09-15 16:00:00,79.37,79.74,79.18,79.5,6853073
2017-09-18 16:00:00,79.5,79.63,77.82,78.55,2470887
2017-09-19 16:00:00,78.69,78.74,78.06,78.33,2463727
2017-09-20 16:00:00,78.47,78.72,77.31,77.62,2095390
2017-09-21 16:00:00,77.72,77.93,77.29,77.3,1256314
2017-09-22 16:00:00,77.54,77.6,76.91,77.04,1838987
2017-09-25 16:00:00,77.3,78.04,77.15,78.02,2325741
2017-09-26 16:00:00,77.93,78.49,77.75,78.21,2131174
2017-09-27 16:00:00,77.78,77.97,76.51,76.78,3487224
2017-09-28 16:00:00,76.6,77.18,76.23,77.03,1933322
2017-09-29 16:00:00,76.84,77.1,76.57,76.93,2434502
2017-10-02 16:00:00,77.2,77.26,76.605,76.74,2131358
2017-10-03 16:00:00,76.72,76.72,75.83,75.95,2254632
2017-10-04 16:00:00,76.03,76.905,75.75,76.87,2276012
2017-10-05 16:00:00,76.84,77.02,76.48,76.81,1913079
2017-10-06 16:00:00,76.6,76.89,76.23,76.81,1497313
2017-10-09 16:00:00,77.17,77.17,76.56,76.64,1304139
2017-10-10 16:00:00,76.87,77.76,76.59,77.74,2005131
2017-10-11 16:00:00,77.5,78.47,77.5,78.27,173910
2017-10-12 16:00:00,77.91,78.71,77.76,78.63,1841786
2017-10-13 16:00:00,78.84,79.25,78.4447,78.62,1725324
2017-10-16 16:00:00,79.15,79.3,78.34,79.03,2365484
2017-10-17 16:00:00,79.03,79.2,78.24,78.96,1955483
2017-10-18 16:00:00,78.82,78.965,78.39,78.88,2065390
2017-10-19 16:00:00,78.98,80.01,78.97,79.95,2609143
2017-10-20 16:00:00,79.87,80.23,79.37,80.0,2198168
2017-10-23 16:00:00,79.99,80.51,79.7325,80.38,2016208
2017-10-24 16:00:00,80.43,80.44,79.8,80.35,1858508
2017-10-25 16:00:00,80.08,80.08,78.72,79.68,2416084
2017-10-26 16:00:00,79.99,80.94,79.61,80.41,3390460
2017-10-27 16:00:00,80.18,80.74,79.81,80.51,2161384
2017-10-30 16:00:00,81.0,82.045,80.35,81.48,2577891
2017-10-31 16:00:00,81.55,82.13,81.05,81.14,2827692
2017-11-01 16:00:00,81.41,81.41,80.43,80.49,2118313
2017-11-02 16:00:00,80.67,80.905,80.01,80.84,2239392
2017-11-03 16:00:00,80.68,81.2954,80.47,80.67,2183158
2017-11-06 16:00:00,80.67,80.78,80.13,80.56,1701022
2017-11-07 16:00:00,80.74,81.62,80.3519,81.39,1698149
2017-11-08 16:00:00,81.39,81.61,80.33,80.88,1973968
2017-11-09 16:00:00,80.72,81.355,80.47,81.24,1430747
2017-11-10 16:00:00,80.8,81.08,80.63,80.81,1736032
2017-11-13 16:00:00,81.0,81.89,80.93,81.85,1631267
2017-11-14 16:00:00,81.67,83.043,81.55,82.84,2454270
2017-11-15 16:00:00,83.09,83.64,82.03,82.23,1828010
2017-11-16 16:00:00,82.14,82.28,81.7,81.96,1288365
2017-11-17 16:00:00,81.66,82.0,81.25,81.32,1705386
2017-11-20 16:00:00,81.4,81.515,81.1,81.15,1486425
2017-11-21 16:00:00,81.19,81.54,81.011,81.37,2314953
2017-11-22 16:00:00,81.94,82.2,81.55,82.16,1744884
2017-11-24 13:00:00,82.43,82.72,82.092,82.21,797443
2017-11-27 16:00:00,82.3,83.13,82.106,82.96,2305414
2017-11-28 16:00:00,83.07,83.95,83.06,83.94,2255559
2017-11-29 16:00:00,83.62,84.34,83.31,84.0,2603422
2017-11-30 16:00:00,83.39,84.295,83.148,84.13,3120878
2017-12-01 16:00:00,84.38,84.47,83.24,83.57,2566054
2017-12-04 16:00:00,83.48,83.98,83.1592,83.55,2036035
2017-12-05 16:00:00,83.65,83.71,82.47,83.12,1986270
2017-12-06 16:00:00,83.33,83.7,82.98,83.53,1709827
2017-12-07 16:00:00,83.64,83.76,82.915,83.68,1979556
2017-12-08 16:00:00,83.47,83.88,83.2,83.88,1477749
2017-12-11 16:00:00,83.69,84.21,83.27,84.14,1988921
2017-12-12 16:00:00,83.43,84.835,83.39,83.43,2409715
2017-12-13 16:00:00,83.74,84.73,83.43,84.11,2460927
