,Open,High,Low,Close,Volume
2017-10-25 16:00:00,53.26,53.3,52.125,52.24,6043537
2017-10-26 16:00:00,52.87,53.62,50.74,50.93,10913632
2017-10-27 16:00:00,50.92,51.24,49.95,50.56,7573999
2017-10-30 16:00:00,50.22,50.67,50.01,50.33,3960513
2017-10-31 16:00:00,50.3,50.56,49.945,50.03,4755363
2017-11-01 16:00:00,50.19,50.93,49.95,50.35,5833718
2017-11-02 16:00:00,50.48,50.49,49.641,50.34,6437240
2017-11-03 16:00:00,50.49,50.69,49.8808,50.4,4144974
2017-11-06 16:00:00,50.4,51.17,50.28,50.57,6259870
2017-11-07 16:00:00,50.57,50.62,49.76,49.91,4426987
2017-11-08 16:00:00,49.75,50.395,49.46,50.06,3512191
2017-11-09 16:00:00,49.7,49.99,49.11,49.19,5594210
2017-11-10 16:00:00,49.19,49.3699,48.83,48.89,7048470
2017-11-13 16:00:00,48.6,48.9,48.33,48.86,5182531
2017-11-14 16:00:00,48.82,48.99,48.56,48.9,4856188
2017-11-15 16:00:00,48.66,49.54,48.34,49.33,6561260
2017-11-16 16:00:00,49.46,50.65,49.42,50.45,6969946
2017-11-17 16:00:00,50.05,50.1899,49.53,49.82,5005557
2017-11-20 16:00:00,49.84,49.9,49.12,49.79,4254739
2017-11-21 16:00:00,50.0,50.68,49.7376,50.67,4833869
2017-11-22 16:00:00,50.54,50.83,50.27,50.41,4160185
2017-11-24 13:00:00,50.48,50.48,49.98,50.11,1841234
