,Open,High,Low,Close,Volume
2017-09-14 16:00:00,117.37,118.73,117.15,118.37,1802755
2017-09-15 16:00:00,119.06,119.45,118.37,119.01,6627120
2017-09-18 16:00:00,119.0,120.055,118.88,119.89,2009696
2017-09-19 16:00:00,120.0,123.367,119.9,123.08,3947014
2017-09-20 16:00:00,123.1,124.11,122.91,123.95,2173347
2017-09-21 16:00:00,123.81,124.84,123.51,124.78,1742351
2017-09-22 16:00:00,124.58,124.8183,123.28,123.75,1864332
2017-09-25 16:00:00,123.68,123.91,123.11,123.77,1605232
2017-09-26 16:00:00,124.0,124.43,123.18,123.28,1057917
2017-09-27 16:00:00,123.5,123.9,122.7,123.32,2445305
2017-09-28 16:00:00,122.9,124.23,122.39,123.66,2861093
2017-09-29 16:00:00,124.0,125.64,123.8,125.59,3093371
2017-10-02 16:00:00,125.7,127.31,125.08,127.29,2628082
2017-10-03 16:00:00,127.2,128.29,126.98,128.1,1589970
2017-10-04 16:00:00,127.91,128.555,127.02,128.33,1400341
2017-10-05 16:00:00,128.23,128.43,127.62,128.01,1415717
2017-10-06 16:00:00,127.62,128.31,127.27,128.13,1496643
2017-10-09 16:00:00,128.22,128.72,127.741,128.64,988102
2017-10-10 16:00:00,128.98,128.98,127.96,128.25,1123237
2017-10-11 16:00:00,128.01,128.23,127.61,127.62,108898
2017-10-12 16:00:00,127.6,129.28,127.34,128.5,2751508
2017-10-13 16:00:00,129.02,129.02,127.3801,127.91,2023197
2017-10-16 16:00:00,128.3,128.62,127.71,127.72,1249294
2017-10-17 16:00:00,127.78,129.22,127.78,128.69,1777132
2017-10-18 16:00:00,128.53,129.32,128.26,128.72,1701007
2017-10-19 16:00:00,128.24,128.59,127.53,128.52,1637603
2017-10-20 16:00:00,129.0,129.17,128.13,129.15,1384854
2017-10-23 16:00:00,129.28,130.21,128.65,129.59,1337398
2017-10-24 16:00:00,131.5,132.36,130.28,131.02,3153842
2017-10-25 16:00:00,131.4,131.64,129.34,130.56,1498341
2017-10-26 16:00:00,130.91,132.78,130.54,132.14,1786944
2017-10-27 16:00:00,131.9,133.31,131.33,133.25,1658273
2017-10-30 16:00:00,132.87,133.76,132.3,132.3,2708141
2017-10-31 16:00:00,133.29,133.49,132.19,132.88,1319766
2017-11-01 16:00:00,133.87,134.73,133.25,134.27,1558039
2017-11-02 16:00:00,134.07,135.04,133.178,134.44,1640974
2017-11-03 16:00:00,134.59,135.03,134.19,135.03,1056453
2017-11-06 16:00:00,135.01,135.83,134.66,135.31,2432005
2017-11-07 16:00:00,135.54,136.69,135.54,135.71,1234168
2017-11-08 16:00:00,135.75,135.88,134.52,134.64,1271210
2017-11-09 16:00:00,134.0,134.2,130.77,131.28,2879156
2017-11-10 16:00:00,131.61,132.54,131.22,132.23,2990768
2017-11-13 16:00:00,131.5,133.18,131.125,131.91,1820334
2017-11-14 16:00:00,132.05,133.0,131.57,132.88,1591348
2017-11-15 16:00:00,132.29,133.0178,131.36,132.27,1764781
2017-11-16 16:00:00,132.77,135.27,132.63,134.61,2065882
2017-11-17 16:00:00,134.01,136.51,133.76,135.77,1964978
2017-11-20 16:00:00,136.18,137.82,136.14,136.92,2564504
2017-11-21 16:00:00,138.56,140.359,137.95,139.23,5917249
2017-11-22 16:00:00,145.53,146.0,142.36,145.25,8094239
2017-11-24 13:00:00,146.13,147.91,145.49,145.5,1964901
2017-11-27 16:00:00,145.75,148.83,145.32,148.77,3880838
2017-11-28 16:00:00,148.05,149.81,147.22,149.38,3992815
2017-11-29 16:00:00,148.92,149.199,147.17,148.44,2421766
2017-11-30 16:00:00,148.95,150.75,148.0,149.86,3726437
2017-12-01 16:00:00,150.25,150.49,146.93,149.94,2022456
2017-12-04 16:00:00,151.99,152.68,150.92,150.97,1893832
2017-12-05 16:00:00,150.67,152.54,150.26,150.67,1802567
2017-12-06 16:00:00,150.53,151.38,149.42,149.45,1411075
2017-12-07 16:00:00,149.16,151.48,149.0,151.11,1434488
2017-12-08 16:00:00,151.81,152.46,151.05,151.58,1083971
2017-12-11 16:00:00,150.8,151.58,150.56,151.33,1537230
2017-12-12 16:00:00,151.07,151.71,150.39,151.07,1699151
2017-12-13 16:00:00,151.68,153.34,151.26,151.95,1608179
