,Open,High,Low,Close,Volume
2017-10-25 16:00:00,66.11,67.3,64.59,65.15,5375237
2017-10-26 16:00:00,65.7,66.92,65.565,66.69,3020761
2017-10-27 16:00:00,66.6,66.99,66.23,66.78,1713309
2017-10-30 16:00:00,66.61,67.08,66.4,66.51,1423951
2017-10-31 16:00:00,66.3,66.86,66.17,66.53,1920273
2017-11-01 16:00:00,66.68,67.175,66.3,66.9,1923130
2017-11-02 16:00:00,66.82,67.115,66.11,66.93,2362293
2017-11-03 16:00:00,67.01,67.86,66.85,67.44,3146339
2017-11-06 16:00:00,67.26,67.42,66.79,67.02,1331802
2017-11-07 16:00:00,67.04,67.19,66.16,66.44,1800334
2017-11-08 16:00:00,66.16,66.25,65.5076,66.09,1634363
2017-11-09 16:00:00,65.75,65.97,64.78,65.47,2195371
2017-11-10 16:00:00,65.4,65.69,64.73,64.76,1630893
2017-11-13 16:00:00,64.58,65.05,63.87,65.0,2186138
2017-11-14 16:00:00,64.52,64.83,63.985,64.21,2046324
2017-11-15 16:00:00,63.8,65.52,63.31,65.27,3254170
2017-11-16 16:00:00,65.41,65.85,64.77,64.82,2266918
2017-11-17 16:00:00,64.6,65.3904,64.5,65.06,1491345
2017-11-20 16:00:00,65.24,66.14,65.1301,65.82,1237951
2017-11-21 16:00:00,65.77,65.92,65.28,65.64,1228889
2017-11-22 16:00:00,65.64,65.86,65.0,65.5,2026240
2017-11-24 13:00:00,65.57,65.64,65.19,65.4,897294
