,Open,High,Low,Close,Volume
2017-10-25 16:00:00,94.86,94.95,93.67,94.21,1927676
2017-10-26 16:00:00,94.89,95.75,94.16,94.8,1216616
2017-10-27 16:00:00,95.12,95.84,94.45,95.68,887486
2017-10-30 16:00:00,95.43,95.43,92.7,93.78,1398597
2017-10-31 16:00:00,93.35,94.27,93.07,93.78,1217600
2017-11-01 16:00:00,93.91,94.49,93.0,93.1,1371905
2017-11-02 16:00:00,93.2,94.7,93.08,93.75,1263277
2017-11-03 16:00:00,93.86,94.42,93.7,94.09,658399
2017-11-06 16:00:00,93.83,94.57,93.14,93.15,1165931
2017-11-07 16:00:00,93.4,93.92,92.4269,92.66,904416
2017-11-08 16:00:00,92.38,93.76,91.76,93.15,928958
2017-11-09 16:00:00,92.94,93.92,92.16,93.02,1843569
2017-11-10 16:00:00,92.8,93.07,92.04,92.05,1056006
2017-11-13 16:00:00,92.0,92.43,91.855,92.0,1058589
2017-11-14 16:00:00,91.64,92.62,91.42,92.42,1359814
2017-11-15 16:00:00,92.14,92.405,91.44,91.85,737334
2017-11-16 16:00:00,92.17,93.38,92.17,92.94,850664
2017-11-17 16:00:00,92.63,93.715,92.02,93.04,2013414
2017-11-20 16:00:00,92.25,92.75,90.31,92.41,2092776
2017-11-21 16:00:00,91.81,93.52,91.8,92.46,1328456
2017-11-22 16:00:00,92.53,93.66,92.21,92.52,1476451
2017-11-24 13:00:00,92.37,92.51,91.08,91.62,634803
