,Open,High,Low,Close,Volume
2017-10-25 16:00:00,43.65,43.82,42.92,43.26,3428328
2017-10-26 16:00:00,43.6,44.06,43.32,44.0,3086706
2017-10-27 16:00:00,44.02,44.4,43.705,44.3,2482695
2017-10-30 16:00:00,44.22,44.58,43.73,44.31,3827799
2017-10-31 16:00:00,44.35,44.57,44.11,44.21,4224521
2017-11-01 16:00:00,44.46,44.92,44.37,44.73,3436782
2017-11-02 16:00:00,44.75,44.87,43.1,44.63,6204009
2017-11-03 16:00:00,44.59,44.91,44.31,44.32,3547696
2017-11-06 16:00:00,44.45,44.985,44.27,44.84,3484841
2017-11-07 16:00:00,44.96,45.5,44.79,44.95,3783066
2017-11-08 16:00:00,44.74,45.775,44.625,45.41,5728864
2017-11-09 16:00:00,44.6,46.78,44.31,45.99,9955830
2017-11-10 16:00:00,46.8,46.8,45.53,46.0,8271843
2017-11-13 16:00:00,45.92,47.29,45.81,47.09,5762336
2017-11-14 16:00:00,46.86,47.91,46.57,47.64,4560770
2017-11-15 16:00:00,47.47,47.795,46.93,47.53,3473699
2017-11-16 16:00:00,47.58,47.9,47.38,47.52,4211120
2017-11-17 16:00:00,47.43,48.31,47.41,48.13,3078630
2017-11-20 16:00:00,48.21,48.565,47.99,48.2,4630801
2017-11-21 16:00:00,48.74,49.54,48.63,49.35,5487142
2017-11-22 16:00:00,49.3,49.67,49.0,49.58,4039843
2017-11-24 13:00:00,49.62,50.06,49.56,50.0,1366385
