,Open,High,Low,Close,Volume
2017-09-14 16:00:00,53.86,53.98,52.14,53.07,4134928
2017-09-15 16:00:00,53.4,53.4,52.44,52.95,3134613
2017-09-18 16:00:00,52.69,53.42,52.4501,52.85,2261095
2017-09-19 16:00:00,52.78,53.49,52.39,53.38,3030239
2017-09-20 16:00:00,53.6,54.7,53.39,53.56,2677468
2017-09-21 16:00:00,53.65,53.91,52.85,53.25,1277911
2017-09-22 16:00:00,53.28,53.57,52.84,53.26,1006321
2017-09-25 16:00:00,53.25,54.04,53.07,54.0,1921582
2017-09-26 16:00:00,53.61,53.61,52.09,52.15,2758016
2017-09-27 16:00:00,52.33,53.59,52.17,53.31,1736986
2017-09-28 16:00:00,53.0,53.43,52.57,53.01,1413334
2017-09-29 16:00:00,53.07,54.45,52.93,54.23,2145746
2017-10-02 16:00:00,54.01,54.2825,53.46,53.83,1471304
2017-10-03 16:00:00,53.85,54.34,53.69,54.32,898158
2017-10-04 16:00:00,54.21,54.65,53.89,54.09,1352192
2017-10-05 16:00:00,54.25,54.77,53.99,54.03,1432894
2017-10-06 16:00:00,53.88,54.11,53.28,53.33,1726567
2017-10-09 16:00:00,53.28,53.48,51.625,51.68,2821352
2017-10-10 16:00:00,52.03,52.36,51.47,51.7,3160127
2017-10-11 16:00:00,51.75,51.98,51.39,51.65,1937160
2017-10-12 16:00:00,51.38,51.45,48.73,49.03,5235637
2017-10-13 16:00:00,48.37,48.6413,47.48,48.38,6029756
2017-10-16 16:00:00,48.72,49.45,48.32,49.03,2164027
2017-10-17 16:00:00,49.0,49.165,48.68,48.85,1629223
2017-10-18 16:00:00,48.83,50.09,48.7,49.71,2999640
2017-10-19 16:00:00,49.55,49.87,49.04,49.32,2778344
2017-10-20 16:00:00,49.72,49.84,49.24,49.3,1824063
2017-10-23 16:00:00,49.48,49.7,48.73,48.98,1892691
2017-10-24 16:00:00,48.87,49.07,48.59,49.0,1474784
2017-10-25 16:00:00,48.9,49.04,48.26,49.0,1968814
2017-10-26 16:00:00,48.87,49.03,47.91,47.92,1676220
2017-10-27 16:00:00,47.57,47.6,46.41,46.49,4215683
2017-10-30 16:00:00,46.23,49.0,46.07,48.39,6043096
2017-10-31 16:00:00,48.42,48.92,47.53,48.54,2900399
2017-11-01 16:00:00,48.85,49.13,48.34,48.77,3100078
2017-11-02 16:00:00,48.72,48.79,47.95,48.27,1889323
2017-11-03 16:00:00,47.83,48.3,47.55,48.07,2379227
2017-11-06 16:00:00,49.85,51.56,49.57,50.82,5894399
2017-11-07 16:00:00,50.81,51.15,49.61,50.07,2565179
2017-11-08 16:00:00,49.99,50.2,48.4475,48.73,3750512
2017-11-09 16:00:00,50.0,51.89,48.88,50.3,4499295
2017-11-10 16:00:00,50.13,51.29,50.0,50.81,2211731
2017-11-13 16:00:00,50.31,50.87,49.71,50.86,2263837
2017-11-14 16:00:00,50.7,50.78,50.04,50.51,2215918
2017-11-15 16:00:00,50.51,50.87,49.52,50.61,2532023
2017-11-16 16:00:00,50.46,51.01,50.025,50.5,2113716
2017-11-17 16:00:00,50.46,50.79,50.16,50.66,2041606
2017-11-20 16:00:00,50.6,50.7,49.28,50.01,1671308
2017-11-21 16:00:00,50.03,50.18,49.44,50.04,1892609
2017-11-22 16:00:00,50.04,50.77,49.77,50.43,1765874
2017-11-24 13:00:00,50.4,50.78,49.63,49.87,482857
2017-11-27 16:00:00,49.99,49.99,49.12,49.65,1570697
2017-11-28 16:00:00,49.8,50.47,49.42,50.41,2164366
2017-11-29 16:00:00,50.33,51.66,50.12,51.28,3026609
2017-11-30 16:00:00,51.25,51.75,50.21,50.65,2642043
2017-12-01 16:00:00,50.16,51.08,49.92,50.32,2485422
2017-12-04 16:00:00,50.54,52.14,50.35,51.6,2968408
2017-12-05 16:00:00,52.03,52.53,51.48,52.03,2495653
2017-12-06 16:00:00,52.03,52.27,49.29,49.31,3571415
2017-12-07 16:00:00,49.09,49.42,48.3,48.95,3322802
2017-12-08 16:00:00,49.36,49.38,48.48,48.59,1959308
2017-12-11 16:00:00,48.65,49.7,48.54,49.43,3160325
2017-12-12 16:00:00,49.57,50.08,49.51,49.63,1105248
2017-12-13 16:00:00,49.82,50.32,48.79,48.99,2639023
