,Open,High,Low,Close,Volume
2017-10-25 16:00:00,97.98,98.295,96.83,97.4,1141416
2017-10-26 16:00:00,98.3,99.5,97.9,99.07,1128196
2017-10-27 16:00:00,99.05,99.07,97.4,98.73,1572689
2017-10-30 16:00:00,98.24,98.4,97.44,98.25,1155158
2017-10-31 16:00:00,98.3,99.5,98.16,99.38,1322285
2017-11-01 16:00:00,100.5,101.13,99.09,99.38,1851607
2017-11-02 16:00:00,99.05,99.9,96.2403,99.31,3081121
2017-11-03 16:00:00,99.17,99.22,96.64,96.89,2475762
2017-11-06 16:00:00,97.29,97.94,96.42,97.27,1455573
2017-11-07 16:00:00,97.28,97.88,96.87,97.26,1178600
2017-11-08 16:00:00,96.51,97.2499,96.02,96.35,1195780
2017-11-09 16:00:00,95.72,96.26,94.56,95.58,1210663
2017-11-10 16:00:00,95.49,96.38,95.08,95.29,1910611
2017-11-13 16:00:00,94.98,95.95,94.67,95.57,2211399
2017-11-14 16:00:00,98.01,100.29,98.01,100.29,3540072
2017-11-15 16:00:00,99.28,99.89,97.551,98.16,2264976
2017-11-16 16:00:00,98.75,99.77,98.53,99.24,1169873
2017-11-17 16:00:00,98.92,99.28,97.67,98.7,1540262
2017-11-20 16:00:00,102.0,102.99,101.3106,102.14,2981202
2017-11-21 16:00:00,102.68,102.7999,101.91,102.0,1830559
2017-11-22 16:00:00,102.0,102.575,100.51,100.78,2084824
2017-11-24 13:00:00,100.78,100.98,100.25,100.86,629568
