,Open,High,Low,Close,Volume
2017-10-25 16:00:00,121.01,123.5,121.01,122.98,1794351
2017-10-26 16:00:00,122.85,123.5,115.6,115.81,2865399
2017-10-27 16:00:00,115.62,117.1,114.51,116.55,1380419
2017-10-30 16:00:00,116.55,118.5,116.46,117.59,970681
2017-10-31 16:00:00,117.74,118.55,116.8501,118.44,961118
2017-11-01 16:00:00,118.85,118.85,116.86,116.94,934081
2017-11-02 16:00:00,117.29,119.3,116.97,118.77,1412832
2017-11-03 16:00:00,118.15,119.645,117.61,119.06,765935
2017-11-06 16:00:00,119.67,122.08,119.67,121.83,992220
2017-11-07 16:00:00,121.56,122.02,120.48,122.01,1131150
2017-11-08 16:00:00,121.98,123.99,121.4,123.5,1454053
2017-11-09 16:00:00,123.17,123.38,122.1,122.24,732844
2017-11-10 16:00:00,121.86,121.95,120.48,120.85,988947
2017-11-13 16:00:00,121.21,123.84,120.68,122.7,1012813
2017-11-14 16:00:00,122.28,123.42,121.66,122.72,1065627
2017-11-15 16:00:00,123.1,123.27,119.99,120.15,689508
2017-11-16 16:00:00,120.17,121.25,119.61,120.27,1364863
2017-11-17 16:00:00,119.75,120.0,117.84,118.11,800934
2017-11-20 16:00:00,118.1,118.61,117.34,117.41,909343
2017-11-21 16:00:00,117.63,118.49,117.06,118.28,1217777
2017-11-22 16:00:00,118.36,118.68,117.0,117.21,689054
2017-11-24 13:00:00,117.35,117.9,116.56,117.54,359187
