,Open,High,Low,Close,Volume
2017-10-25 16:00:00,91.5,91.9,91.06,91.61,1159867
2017-10-26 16:00:00,92.12,93.34,91.78,93.23,1638732
2017-10-27 16:00:00,92.02,93.33,90.85,93.21,2192151
2017-10-30 16:00:00,92.52,92.92,90.3,91.44,2234680
2017-10-31 16:00:00,91.63,92.21,91.05,91.25,1384384
2017-11-01 16:00:00,91.6,92.06,90.34,91.12,1750042
2017-11-02 16:00:00,91.2,94.8,90.89,92.55,2194202
2017-11-03 16:00:00,93.28,94.49,92.815,93.75,2538306
2017-11-06 16:00:00,93.48,93.74,92.335,93.39,1334947
2017-11-07 16:00:00,93.47,93.78,92.48,93.62,1474787
2017-11-08 16:00:00,93.32,94.6599,93.1,93.9,1193766
2017-11-09 16:00:00,93.35,95.09,93.35,94.38,1713584
2017-11-10 16:00:00,94.14,95.64,93.92,95.06,2995798
2017-11-13 16:00:00,94.71,95.4605,92.98,93.69,1738484
2017-11-14 16:00:00,93.48,93.57,92.3,93.45,2054637
2017-11-15 16:00:00,92.83,93.76,91.305,93.09,1998756
2017-11-16 16:00:00,93.56,94.975,93.15,94.63,2136368
2017-11-17 16:00:00,94.79,95.22,93.99,94.61,1945081
2017-11-20 16:00:00,95.12,97.24,94.71,97.11,5270702
2017-11-21 16:00:00,100.15,100.54,95.44,99.46,7828536
2017-11-22 16:00:00,99.23,100.74,98.99,99.77,3054321
2017-11-24 13:00:00,99.7,99.7,98.03,98.38,1741570
