,Open,High,Low,Close,Volume
2017-09-14 16:00:00,88.56,90.15,88.135,90.04,1008747
2017-09-15 16:00:00,89.95,90.35,89.63,89.81,1117406
2017-09-18 16:00:00,89.89,90.09,89.695,90.05,996913
2017-09-19 16:00:00,90.14,91.29,90.1,90.96,991656
2017-09-20 16:00:00,92.21,92.74,91.7001,92.28,1286463
2017-09-21 16:00:00,92.28,92.72,92.0,92.04,512527
2017-09-22 16:00:00,91.9,92.55,91.73,92.43,491340
2017-09-25 16:00:00,92.46,92.6,91.8,92.24,682292
2017-09-26 16:00:00,92.3,92.5,91.68,91.87,576646
2017-09-27 16:00:00,92.34,92.34,91.25,91.44,1049460
2017-09-28 16:00:00,91.32,91.57,90.73,91.51,829780
2017-09-29 16:00:00,91.43,91.92,91.1,91.39,1110789
2017-10-02 16:00:00,91.88,92.64,91.5,92.49,1970425
2017-10-03 16:00:00,92.73,93.04,92.46,93.04,673563
2017-10-04 16:00:00,93.06,93.92,92.995,93.69,679213
2017-10-05 16:00:00,93.69,93.96,93.36,93.76,1241473
2017-10-06 16:00:00,93.42,94.09,93.32,94.07,719173
2017-10-09 16:00:00,94.34,94.5,93.64,93.83,713113
2017-10-10 16:00:00,94.3,94.37,93.46,93.61,628838
2017-10-11 16:00:00,93.84,94.07,93.48,93.59,50000
2017-10-12 16:00:00,93.55,94.1,93.5,94.07,598058
2017-10-13 16:00:00,94.69,95.14,94.35,94.48,539816
2017-10-16 16:00:00,94.9,94.96,94.59,94.77,678634
2017-10-17 16:00:00,94.62,95.0,93.9,94.05,791559
2017-10-18 16:00:00,94.13,94.13,92.78,93.57,1526137
2017-10-19 16:00:00,88.02,90.26,87.88,89.5,2895131
2017-10-20 16:00:00,91.2,95.19,90.99,94.95,2931608
2017-10-23 16:00:00,94.92,95.99,94.55,95.54,2385559
2017-10-24 16:00:00,95.98,97.09,95.33,95.89,1501913
2017-10-25 16:00:00,95.31,95.97,93.27,95.0,1552241
2017-10-26 16:00:00,95.24,96.62,95.08,96.47,1182143
2017-10-27 16:00:00,96.02,96.56,95.25,96.0,1229856
2017-10-30 16:00:00,95.63,96.23,95.27,95.85,1001662
2017-10-31 16:00:00,95.73,96.18,95.27,95.49,1025581
2017-11-01 16:00:00,96.31,96.4,94.51,94.54,1002511
2017-11-02 16:00:00,94.62,95.07,94.11,95.04,1086337
2017-11-03 16:00:00,95.42,96.03,94.94,95.92,1041864
2017-11-06 16:00:00,95.25,96.195,94.501,96.12,1287421
2017-11-07 16:00:00,96.1,96.44,95.54,96.16,736661
2017-11-08 16:00:00,95.74,96.26,95.56,96.05,787712
2017-11-09 16:00:00,95.24,95.24,93.425,94.01,696811
2017-11-10 16:00:00,93.69,94.19,93.29,93.79,893714
2017-11-13 16:00:00,93.28,93.8995,92.95,93.79,704459
2017-11-14 16:00:00,93.63,93.94,93.18,93.61,949657
2017-11-15 16:00:00,92.87,93.17,91.84,92.7,884963
2017-11-16 16:00:00,92.95,94.01,92.735,94.01,956957
2017-11-17 16:00:00,93.51,94.48,93.07,94.22,946187
2017-11-20 16:00:00,94.41,95.0925,94.39,94.64,986352
2017-11-21 16:00:00,94.91,95.13,94.62,94.79,505283
2017-11-22 16:00:00,94.84,95.09,94.6,94.71,641820
2017-11-24 13:00:00,95.09,95.18,94.48,94.55,141419
2017-11-27 16:00:00,94.48,94.86,94.19,94.4,352518
2017-11-28 16:00:00,94.75,96.84,94.6,96.52,838274
2017-11-29 16:00:00,96.34,96.5,95.8,95.86,737915
2017-11-30 16:00:00,96.5,98.0,96.4,97.71,1282877
2017-12-01 16:00:00,97.75,97.96,94.88,96.88,1322806
2017-12-04 16:00:00,97.48,98.5999,97.39,97.54,953810
2017-12-05 16:00:00,97.95,97.98,95.78,95.95,1167928
2017-12-06 16:00:00,95.86,96.405,95.54,96.28,640275
2017-12-07 16:00:00,96.25,97.335,96.0601,96.71,867339
2017-12-08 16:00:00,98.07,99.15,95.87,98.6,1843774
2017-12-11 16:00:00,98.2,98.38,96.52,96.78,1068808
2017-12-12 16:00:00,97.19,97.29,95.79,97.19,831082
2017-12-13 16:00:00,97.04,97.27,96.1,96.18,836270
