,Open,High,Low,Close,Volume
2017-09-14 16:00:00,91.67,92.01,91.22,91.59,817371
2017-09-15 16:00:00,91.66,91.87,91.37,91.54,1672944
2017-09-18 16:00:00,91.63,92.0,91.3,91.97,801464
2017-09-19 16:00:00,91.87,92.0,91.59,91.8,969168
2017-09-20 16:00:00,91.45,91.76,90.95,91.68,1055922
2017-09-21 16:00:00,90.47,91.0,89.19,89.5,2640868
2017-09-22 16:00:00,89.32,89.75,88.31,88.74,1360930
2017-09-25 16:00:00,88.65,88.7,87.55,87.94,1366223
2017-09-26 16:00:00,87.7,88.9,87.57,88.71,1352266
2017-09-27 16:00:00,88.54,88.58,87.28,87.65,1305022
2017-09-28 16:00:00,87.47,88.565,87.36,88.36,1283201
2017-09-29 16:00:00,88.43,89.21,88.37,88.47,1429005
2017-10-02 16:00:00,88.51,88.51,87.14,87.67,1173940
2017-10-03 16:00:00,87.81,87.845,86.99,87.13,1542307
2017-10-04 16:00:00,87.03,87.79,86.42,87.68,1601957
2017-10-05 16:00:00,88.09,88.58,87.88,87.93,1019668
2017-10-06 16:00:00,87.76,88.34,87.64,88.26,834721
2017-10-09 16:00:00,88.29,88.435,87.735,88.06,1083876
2017-10-10 16:00:00,88.28,89.13,88.16,88.61,1073411
2017-10-11 16:00:00,88.63,88.93,88.4594,88.8,22608
2017-10-12 16:00:00,88.74,89.11,88.38,89.06,990711
2017-10-13 16:00:00,89.15,89.7,88.96,89.25,936664
2017-10-16 16:00:00,89.17,89.66,88.78,89.63,1054317
2017-10-17 16:00:00,89.44,89.59,88.95,89.37,679977
2017-10-18 16:00:00,89.29,89.6,88.955,89.15,775066
2017-10-19 16:00:00,89.13,89.46,88.9701,89.31,1058630
2017-10-20 16:00:00,89.38,89.47,88.81,89.03,1057883
2017-10-23 16:00:00,91.42,91.5,89.94,90.33,1407309
2017-10-24 16:00:00,90.15,90.34,89.3279,89.71,1273766
2017-10-25 16:00:00,81.7,86.7,83.23,85.52,4420363
2017-10-26 16:00:00,85.93,87.54,85.45,86.46,2516622
2017-10-27 16:00:00,86.28,86.92,85.6,85.75,1469249
2017-10-30 16:00:00,85.78,85.99,84.95,85.05,1567817
2017-10-31 16:00:00,85.52,86.22,85.28,85.66,1581348
2017-11-01 16:00:00,86.02,86.66,85.57,85.89,1341182
2017-11-02 16:00:00,86.04,86.4,84.69,85.34,1260982
2017-11-03 16:00:00,85.58,86.05,85.42,85.62,1300513
2017-11-06 16:00:00,85.35,85.36,84.4,84.47,1477364
2017-11-07 16:00:00,84.26,85.35,84.07,84.48,1874792
2017-11-08 16:00:00,84.93,85.81,84.46,85.61,1116867
2017-11-09 16:00:00,85.49,86.27,85.221,85.69,791149
2017-11-10 16:00:00,85.72,86.54,85.5,86.32,767189
2017-11-13 16:00:00,86.38,87.46,86.38,87.03,1145815
2017-11-14 16:00:00,86.91,88.2,86.59,87.82,1370190
2017-11-15 16:00:00,87.81,88.25,87.17,87.33,959069
2017-11-16 16:00:00,87.55,87.82,87.05,87.12,799266
2017-11-17 16:00:00,86.81,87.29,86.54,87.26,668428
2017-11-20 16:00:00,87.28,87.75,86.81,87.23,706338
2017-11-21 16:00:00,87.31,87.95,86.95,87.03,942228
2017-11-22 16:00:00,86.92,87.025,85.91,86.4,652774
2017-11-24 13:00:00,86.72,87.14,86.46,86.56,312631
2017-11-27 16:00:00,86.73,87.49,86.41,86.91,834163
2017-11-28 16:00:00,87.15,87.64,86.42,87.62,892165
2017-11-29 16:00:00,87.49,89.57,87.27,89.46,1411419
2017-11-30 16:00:00,89.52,90.35,89.36,90.19,2154389
2017-12-01 16:00:00,90.37,90.45,88.8382,90.26,1497234
2017-12-04 16:00:00,90.53,93.29,90.33,93.1,1429916
2017-12-05 16:00:00,93.2,94.15,93.13,93.5,1731335
2017-12-06 16:00:00,93.53,95.04,93.53,94.95,1499596
2017-12-07 16:00:00,94.58,94.9,93.45,94.1,1323933
2017-12-08 16:00:00,94.15,94.18,92.7808,94.15,1036545
2017-12-11 16:00:00,94.03,94.55,93.0,94.52,721569
2017-12-12 16:00:00,94.16,95.07,93.64,94.16,1176396
2017-12-13 16:00:00,93.33,94.01,92.74,93.76,1201226
