,Open,High,Low,Close,Volume
2017-10-25 16:00:00,28.57,28.82,28.495,28.79,2061622
2017-10-26 16:00:00,29.58,29.58,28.28,28.61,2210542
2017-10-27 16:00:00,28.55,28.845,28.4,28.62,2454679
2017-10-30 16:00:00,28.59,28.67,28.36,28.38,2595560
2017-10-31 16:00:00,28.37,28.49,28.15,28.48,1771825
2017-11-01 16:00:00,28.64,28.79,28.44,28.71,1681277
2017-11-02 16:00:00,28.74,28.91,28.61,28.71,1329944
2017-11-03 16:00:00,28.5,29.1,28.5,28.82,1253102
2017-11-06 16:00:00,28.86,29.095,28.75,28.92,1063624
2017-11-07 16:00:00,29.06,29.09,28.78,28.98,1995627
2017-11-08 16:00:00,28.89,29.08,28.89,29.03,2226157
2017-11-09 16:00:00,29.03,29.11,28.87,28.93,1769875
2017-11-10 16:00:00,28.7,29.05,28.69,28.96,1227871
2017-11-13 16:00:00,28.96,29.18,28.88,29.11,2001320
2017-11-14 16:00:00,29.12,29.315,29.08,29.12,2092724
2017-11-15 16:00:00,28.93,28.98,28.68,28.7,1848415
2017-11-16 16:00:00,28.7,29.085,28.6,29.01,2353605
2017-11-17 16:00:00,28.87,28.93,28.67,28.84,1588027
2017-11-20 16:00:00,29.03,29.03,28.85,28.91,1772469
2017-11-21 16:00:00,28.98,29.3,28.93,29.3,1526853
2017-11-22 16:00:00,29.19,29.325,29.16,29.22,1649800
2017-11-24 13:00:00,29.34,29.34,29.13,29.15,596909
