,Open,High,Low,Close,Volume
2017-09-14 16:00:00,110.15,111.61,110.0,111.58,825875
2017-09-15 16:00:00,111.06,111.53,110.59,111.45,1369971
2017-09-18 16:00:00,111.4,111.49,109.89,110.53,895323
2017-09-19 16:00:00,110.45,110.52,109.68,110.18,757189
2017-09-20 16:00:00,110.49,110.67,108.37,108.88,1285815
2017-09-21 16:00:00,108.88,109.46,108.64,109.02,589340
2017-09-22 16:00:00,109.22,109.25,108.17,108.38,634925
2017-09-25 16:00:00,108.29,109.78,108.2,109.74,703029
2017-09-26 16:00:00,109.6,109.93,108.9,109.53,953103
2017-09-27 16:00:00,108.85,109.24,106.8244,107.24,769331
2017-09-28 16:00:00,107.04,107.87,106.21,107.66,865965
2017-09-29 16:00:00,107.46,108.09,107.0725,107.36,884040
2017-10-02 16:00:00,107.76,107.9,107.135,107.37,839183
2017-10-03 16:00:00,107.24,107.24,106.21,106.6,854556
2017-10-04 16:00:00,106.68,107.6,106.35,107.55,1410209
2017-10-05 16:00:00,107.69,108.28,107.085,107.75,1014617
2017-10-06 16:00:00,107.45,108.06,106.93,107.68,737120
2017-10-09 16:00:00,107.89,108.09,107.65,107.93,483104
2017-10-10 16:00:00,108.0,109.39,107.743,109.29,844465
2017-10-11 16:00:00,109.33,110.18,109.21,110.01,45865
2017-10-12 16:00:00,109.92,110.73,109.3,110.67,700534
2017-10-13 16:00:00,110.99,111.42,109.77,109.89,929564
2017-10-16 16:00:00,109.65,110.24,109.24,109.63,923152
2017-10-17 16:00:00,109.63,110.38,109.33,110.16,1095907
2017-10-18 16:00:00,109.96,110.59,109.55,110.55,925187
2017-10-19 16:00:00,110.73,112.14,110.13,112.14,885839
2017-10-20 16:00:00,111.99,112.34,111.53,112.24,987584
2017-10-23 16:00:00,112.66,113.27,111.97,113.05,1244680
2017-10-24 16:00:00,112.53,112.98,111.67,112.7,1808523
2017-10-25 16:00:00,112.7,112.97,108.54,110.77,2895064
2017-10-26 16:00:00,111.22,112.17,110.04,110.12,1365620
2017-10-27 16:00:00,110.19,111.21,109.95,110.83,872029
2017-10-30 16:00:00,110.8,110.87,109.99,110.34,914059
2017-10-31 16:00:00,110.12,110.92,109.68,110.46,1014668
2017-11-01 16:00:00,110.94,111.61,109.58,110.28,1301739
2017-11-02 16:00:00,110.42,111.02,109.94,110.8,1685129
2017-11-03 16:00:00,110.63,112.11,110.51,110.9,1329681
2017-11-06 16:00:00,111.32,112.22,110.33,111.58,1036420
2017-11-07 16:00:00,111.71,113.05,111.35,112.81,846931
2017-11-08 16:00:00,112.64,113.38,112.43,113.19,744111
2017-11-09 16:00:00,112.94,113.53,112.81,113.22,532831
2017-11-10 16:00:00,112.75,112.94,112.19,112.45,636042
2017-11-13 16:00:00,112.72,114.33,112.5,114.24,1108862
2017-11-14 16:00:00,113.82,115.7,113.68,115.58,700434
2017-11-15 16:00:00,115.83,116.21,114.39,114.47,720251
2017-11-16 16:00:00,114.49,114.67,113.85,113.99,811617
2017-11-17 16:00:00,113.64,114.08,112.55,112.92,970662
2017-11-20 16:00:00,112.98,113.35,112.0,112.23,739488
2017-11-21 16:00:00,112.64,112.78,112.29,112.64,797936
2017-11-22 16:00:00,112.62,112.945,112.2,112.62,1040007
2017-11-24 13:00:00,112.83,113.405,112.61,112.65,181970
2017-11-27 16:00:00,112.5,113.87,112.5,113.64,1511386
2017-11-28 16:00:00,113.87,114.36,113.6,114.34,724603
2017-11-29 16:00:00,114.11,115.44,113.75,114.56,1044878
2017-11-30 16:00:00,114.68,115.85,114.16,115.57,1112754
2017-12-01 16:00:00,116.0,116.4,114.62,115.21,673516
2017-12-04 16:00:00,115.52,116.74,114.94,115.53,1356353
2017-12-05 16:00:00,115.44,115.595,113.24,114.35,891566
2017-12-06 16:00:00,114.68,115.15,114.12,115.0,1113099
2017-12-07 16:00:00,114.95,115.09,114.46,115.07,885132
2017-12-08 16:00:00,114.82,115.55,114.52,115.49,1307564
2017-12-11 16:00:00,115.28,116.0596,114.8,115.99,677110
2017-12-12 16:00:00,114.01,116.29,113.93,114.01,1073410
2017-12-13 16:00:00,114.14,114.483,113.64,113.82,796691
