,Open,High,Low,Close,Volume
2017-10-25 16:00:00,34.61,34.96,34.18,34.35,3647611
2017-10-26 16:00:00,34.4,34.995,33.97,34.91,5216556
2017-10-27 16:00:00,34.56,35.89,34.47,35.88,4530057
2017-10-30 16:00:00,36.04,36.55,35.77,36.0,8143341
2017-10-31 16:00:00,35.93,37.04,35.49,36.9,6139046
2017-11-01 16:00:00,37.75,39.34,37.59,39.08,9302987
2017-11-02 16:00:00,39.07,39.68,38.49,38.83,9585719
2017-11-03 16:00:00,38.94,39.55,38.46,39.27,6359236
2017-11-06 16:00:00,39.67,40.94,39.535,40.86,9214555
2017-11-07 16:00:00,40.86,41.47,40.85,41.26,10660588
2017-11-08 16:00:00,40.92,41.13,40.11,40.26,6517099
2017-11-09 16:00:00,40.12,41.03,40.07,40.81,6213406
2017-11-10 16:00:00,41.0,41.02,40.01,40.41,4439530
2017-11-13 16:00:00,39.68,40.5686,39.55,39.65,4681297
2017-11-14 16:00:00,39.39,39.66,38.17,38.23,4205871
2017-11-15 16:00:00,37.85,38.07,37.38,37.91,4694584
2017-11-16 16:00:00,37.93,38.34,37.7101,38.16,4645647
2017-11-17 16:00:00,38.42,38.96,38.31,38.68,3254081
2017-11-20 16:00:00,38.34,38.37,37.35,37.41,5144512
2017-11-21 16:00:00,37.77,37.92,37.16,37.55,3585396
2017-11-22 16:00:00,37.94,38.18,37.68,37.99,2562778
2017-11-24 13:00:00,38.18,38.5,38.0,38.03,1526067
