,Open,High,Low,Close,Volume
2017-10-25 16:00:00,71.86,72.1,70.93,71.09,7636574
2017-10-26 16:00:00,72.33,73.85,72.03,73.05,16846954
2017-10-27 16:00:00,73.0,73.1,72.23,72.54,8587317
2017-10-30 16:00:00,72.32,72.61,71.5199,71.68,5860821
2017-10-31 16:00:00,71.91,72.465,71.6,72.31,6007601
2017-11-01 16:00:00,73.11,73.58,72.32,73.32,7968525
2017-11-02 16:00:00,72.02,73.2,71.56,72.04,10314302
2017-11-03 16:00:00,72.09,72.27,70.86,71.16,8619088
2017-11-06 16:00:00,71.4,71.73,70.13,70.24,9270953
2017-11-07 16:00:00,70.89,71.15,70.32,71.14,6719034
2017-11-08 16:00:00,71.31,71.5,70.71,70.81,6091437
2017-11-09 16:00:00,70.5,70.54,70.01,70.23,4544549
2017-11-10 16:00:00,70.23,70.49,69.74,69.97,7127142
2017-11-13 16:00:00,69.44,70.65,69.31,70.46,6484597
2017-11-14 16:00:00,69.8,69.93,68.335,68.57,8133045
2017-11-15 16:00:00,68.22,69.14,67.995,68.97,14901145
2017-11-16 16:00:00,69.36,70.77,69.07,70.68,9595780
2017-11-17 16:00:00,70.65,71.21,70.5,70.74,8784131
2017-11-20 16:00:00,70.66,71.27,70.54,70.85,5600160
2017-11-21 16:00:00,71.4,71.775,71.1,71.26,8091913
2017-11-22 16:00:00,71.35,71.38,70.6,70.6,6403981
2017-11-24 13:00:00,70.6,71.39,70.53,71.16,2636225
