,Open,High,Low,Close,Volume
2017-10-25 16:00:00,113.2,114.88,112.59,114.56,3205348
2017-10-26 16:00:00,115.07,117.06,115.02,115.83,2453215
2017-10-27 16:00:00,116.83,117.55,115.41,116.89,2892120
2017-10-30 16:00:00,117.13,117.77,116.64,117.58,2614074
2017-10-31 16:00:00,118.125,119.84,116.37,119.6,5477404
2017-11-01 16:00:00,116.0,116.6,111.28,114.47,9669214
2017-11-02 16:00:00,114.35,114.52,112.6,112.69,3438269
2017-11-03 16:00:00,113.47,113.76,112.57,113.2,2925310
2017-11-06 16:00:00,112.99,113.5,110.76,112.46,3642475
2017-11-07 16:00:00,112.29,112.72,110.08,111.7,2830314
2017-11-08 16:00:00,112.45,115.6,112.1,114.15,3393953
2017-11-09 16:00:00,112.99,113.3,110.94,111.89,3445746
2017-11-10 16:00:00,111.26,112.83,110.82,112.75,2534088
2017-11-13 16:00:00,112.0,113.24,111.19,112.01,3168263
2017-11-14 16:00:00,110.6,113.9,110.39,112.27,3618044
2017-11-15 16:00:00,112.72,112.87,110.52,111.48,2585931
2017-11-16 16:00:00,111.85,113.13,111.21,111.6,2445824
2017-11-17 16:00:00,108.99,109.55,107.5,108.82,8556371
2017-11-20 16:00:00,108.28,108.45,106.75,107.64,5975006
2017-11-21 16:00:00,107.78,108.7699,107.54,107.71,3298413
2017-11-22 16:00:00,108.04,108.44,106.61,107.32,2558220
2017-11-24 13:00:00,107.66,108.58,107.59,107.94,1306290
