,Open,High,Low,Close,Volume
2017-09-14 16:00:00,98.69,100.75,89.59,96.66,34582442
2017-09-15 16:00:00,94.4,95.69,90.72,92.98,16707681
2017-09-18 16:00:00,93.0,95.06,92.08,94.38,10873790
2017-09-19 16:00:00,92.5,95.35,91.88,94.87,7847041
2017-09-20 16:00:00,95.0,97.41,93.1,96.0,8760523
2017-09-21 16:00:00,96.5,98.47,95.25,98.25,5483575
2017-09-22 16:00:00,100.1,105.2,99.8,105.04,12473475
2017-09-25 16:00:00,106.23,107.17,104.51,105.09,8059352
2017-09-26 16:00:00,102.79,106.15,101.74,106.05,7616767
2017-09-27 16:00:00,107.0,108.99,106.0,106.44,7595727
2017-09-28 16:00:00,106.43,106.52,103.78,106.37,3780250
2017-09-29 16:00:00,106.0,107.595,105.72,105.99,3735854
2017-10-02 16:00:00,106.09,108.61,106.0,107.81,3666990
2017-10-03 16:00:00,108.0,112.46,107.08,110.45,6579348
2017-10-04 16:00:00,110.55,112.09,108.77,111.93,3979342
2017-10-05 16:00:00,111.85,113.635,110.78,112.97,3275656
2017-10-06 16:00:00,113.17,113.43,110.9,111.34,2929581
2017-10-09 16:00:00,111.35,113.5499,110.68,112.25,1709349
2017-10-10 16:00:00,112.86,113.66,112.19,113.54,1921478
2017-10-11 16:00:00,113.56,114.46,113.1,113.1,141157
2017-10-12 16:00:00,109.85,110.8499,106.58,108.81,5976152
2017-10-13 16:00:00,109.55,110.35,108.06,109.5,2157916
2017-10-16 16:00:00,109.68,110.26,108.63,108.7,3078443
2017-10-17 16:00:00,109.0,110.0799,108.48,108.58,1532098
2017-10-18 16:00:00,108.75,110.75,108.52,110.62,2230839
2017-10-19 16:00:00,110.55,111.82,110.01,110.51,2238265
2017-10-20 16:00:00,110.93,112.95,109.76,109.97,1974001
2017-10-23 16:00:00,109.31,109.94,108.315,109.36,2265550
2017-10-24 16:00:00,109.3,110.09,108.67,108.8,1873494
2017-10-25 16:00:00,109.4,109.7,107.43,107.54,2357352
2017-10-26 16:00:00,107.3,109.295,107.04,108.95,1340671
2017-10-27 16:00:00,109.31,110.66,109.07,109.39,1435018
2017-10-30 16:00:00,109.0,109.3899,108.11,109.01,1165668
2017-10-31 16:00:00,108.99,110.3157,108.53,108.53,1041041
2017-11-01 16:00:00,109.12,111.29,108.885,109.8,1438877
2017-11-02 16:00:00,110.09,110.343,107.63,108.92,1240870
2017-11-03 16:00:00,110.5,110.5,108.64,108.7,939730
2017-11-06 16:00:00,108.7,110.0,107.91,108.03,1740356
2017-11-07 16:00:00,108.14,108.6,106.75,107.42,1866652
2017-11-08 16:00:00,107.4,107.98,106.92,107.2,2538979
2017-11-09 16:00:00,106.34,109.29,106.2238,108.95,2048647
2017-11-10 16:00:00,110.18,110.18,105.3103,108.74,2160804
2017-11-13 16:00:00,106.77,109.36,106.45,108.79,1657649
2017-11-14 16:00:00,108.45,111.116,108.45,109.31,1126842
2017-11-15 16:00:00,109.47,110.85,108.42,110.21,867677
2017-11-16 16:00:00,110.49,110.49,109.14,109.58,1127932
2017-11-17 16:00:00,109.11,111.61,109.02,111.37,902625
2017-11-20 16:00:00,111.27,112.185,110.68,110.91,580193
2017-11-21 16:00:00,110.87,111.43,110.658,110.71,716927
2017-11-22 16:00:00,110.52,110.7106,109.5601,109.81,523055
2017-11-24 13:00:00,109.69,111.0099,109.67,109.9,343978
2017-11-27 16:00:00,110.09,110.72,109.42,110.5,657050
2017-11-28 16:00:00,110.72,112.55,110.12,112.09,1421834
2017-11-29 16:00:00,112.26,114.49,112.0201,112.65,1728235
2017-11-30 16:00:00,112.65,114.97,112.255,114.12,1852639
2017-12-01 16:00:00,114.12,114.44,111.29,112.93,1358450
2017-12-04 16:00:00,113.64,114.62,112.91,113.4,1307454
2017-12-05 16:00:00,113.5,114.46,112.36,114.39,1290388
2017-12-06 16:00:00,113.97,115.8,113.505,115.69,1422172
2017-12-07 16:00:00,115.45,116.83,114.8999,116.83,1094545
2017-12-08 16:00:00,117.0,117.49,116.11,117.4,1143766
2017-12-11 16:00:00,117.42,118.525,116.84,118.52,1291329
2017-12-12 16:00:00,118.22,118.52,117.73,118.22,990698
2017-12-13 16:00:00,118.5,118.55,116.9,117.4,1317109
