,Open,High,Low,Close,Volume
2017-09-14 16:00:00,80.78,81.19,80.61,81.03,1931017
2017-09-15 16:00:00,81.15,81.53,80.95,81.2,3039441
2017-09-18 16:00:00,81.15,81.41,79.64,80.55,2455913
2017-09-19 16:00:00,80.51,80.65,79.53,79.71,2506899
2017-09-20 16:00:00,79.9,80.0,78.78,79.09,1643727
2017-09-21 16:00:00,79.05,79.25,78.595,78.66,1686717
2017-09-22 16:00:00,78.92,78.954,78.22,78.28,1275912
2017-09-25 16:00:00,78.33,79.28,78.13,79.27,2080513
2017-09-26 16:00:00,79.26,79.45,78.8801,79.15,1204127
2017-09-27 16:00:00,78.66,79.05,77.67,78.08,1754092
2017-09-28 16:00:00,77.5,77.77,76.93,77.57,1967687
2017-09-29 16:00:00,77.45,77.57,76.96,77.17,2029966
2017-10-02 16:00:00,77.44,77.73,76.82,77.0,2148413
2017-10-03 16:00:00,76.99,77.12,76.55,77.01,1758749
2017-10-04 16:00:00,77.15,77.88,76.96,77.85,1429369
2017-10-05 16:00:00,77.88,77.88,77.38,77.68,975670
2017-10-06 16:00:00,77.35,77.69,77.01,77.62,1340026
2017-10-09 16:00:00,77.79,77.88,77.4,77.55,655568
2017-10-10 16:00:00,77.56,78.56,77.39,78.54,1545037
2017-10-11 16:00:00,78.42,79.16,78.38,78.97,75751
2017-10-12 16:00:00,78.52,79.68,78.43,79.66,2836650
2017-10-13 16:00:00,79.61,79.88,77.75,77.99,2998282
2017-10-16 16:00:00,77.9,78.2,77.39,77.64,1698111
2017-10-17 16:00:00,77.58,77.86,76.93,77.6,3760758
2017-10-18 16:00:00,77.65,78.36,77.575,77.85,1975036
2017-10-19 16:00:00,77.98,79.47,77.72,79.47,1321038
2017-10-20 16:00:00,79.33,79.825,79.155,79.6,1795688
2017-10-23 16:00:00,79.84,80.2,79.275,80.01,1217724
2017-10-24 16:00:00,79.57,79.94,79.31,79.87,1384734
2017-10-25 16:00:00,79.41,79.62,78.55,79.01,1734420
2017-10-26 16:00:00,79.58,79.9067,78.71,78.73,1359617
2017-10-27 16:00:00,78.6,79.63,78.59,79.47,966804
2017-10-30 16:00:00,79.34,79.785,79.13,79.59,1751084
2017-10-31 16:00:00,80.59,80.64,79.28,79.95,2026032
2017-11-01 16:00:00,80.12,80.12,78.995,79.08,1378566
2017-11-02 16:00:00,79.23,79.41,78.63,79.07,1851542
2017-11-03 16:00:00,78.83,80.05,78.83,79.52,1185900
2017-11-06 16:00:00,79.57,79.73,78.83,78.85,927103
2017-11-07 16:00:00,78.97,79.69,78.68,79.4,1647068
2017-11-08 16:00:00,79.29,80.43,79.29,80.2,2393112
2017-11-09 16:00:00,79.98,80.36,79.33,80.34,1377437
2017-11-10 16:00:00,79.92,80.24,79.51,80.06,1232134
2017-11-13 16:00:00,80.18,81.15,80.155,81.1,1096078
2017-11-14 16:00:00,80.97,82.8,80.72,82.64,2575468
2017-11-15 16:00:00,82.88,83.38,81.68,81.84,1554871
2017-11-16 16:00:00,81.85,82.01,81.49,81.75,1384340
2017-11-17 16:00:00,81.47,81.78,80.76,80.89,1574315
2017-11-20 16:00:00,80.84,81.02,80.39,80.43,1342924
2017-11-21 16:00:00,80.52,80.65,80.19,80.22,1464761
2017-11-22 16:00:00,80.22,80.44,79.72,80.15,1157993
2017-11-24 13:00:00,80.45,81.14,80.35,80.55,567613
2017-11-27 16:00:00,80.62,81.02,80.34,80.82,918158
2017-11-28 16:00:00,81.05,81.355,80.86,81.14,1356629
2017-11-29 16:00:00,80.97,81.62,80.69,81.41,1354763
2017-11-30 16:00:00,81.36,81.84,81.0,81.27,2391785
2017-12-01 16:00:00,81.72,81.96,80.48,80.76,1600928
2017-12-04 16:00:00,80.74,81.19,80.14,80.26,1608162
2017-12-05 16:00:00,79.77,79.77,69.14,70.0,17109960
2017-12-06 16:00:00,68.46,70.0,67.8,68.72,10027619
2017-12-07 16:00:00,68.93,72.28,68.26,71.77,7682644
2017-12-08 16:00:00,71.8,73.308,71.24,71.8,5823869
2017-12-11 16:00:00,71.69,73.23,71.65,72.98,3807996
2017-12-12 16:00:00,68.58,70.17,67.28,68.58,10717432
2017-12-13 16:00:00,69.43,70.5,68.66,69.8,4615756
