,Open,High,Low,Close,Volume
2017-09-14 16:00:00,85.1,85.339,84.88,85.05,1066685
2017-09-15 16:00:00,85.0,85.13,84.42,84.96,2069471
2017-09-18 16:00:00,85.08,85.7,85.0,85.41,798474
2017-09-19 16:00:00,85.51,86.86,85.1,86.67,1499609
2017-09-20 16:00:00,86.84,87.26,85.54,86.05,2109662
2017-09-21 16:00:00,85.87,85.99,85.54,85.8,671344
2017-09-22 16:00:00,85.8,86.57,85.64,86.48,617740
2017-09-25 16:00:00,86.47,87.87,86.24,87.66,1292936
2017-09-26 16:00:00,87.78,87.98,86.76,86.84,1937521
2017-09-27 16:00:00,87.36,87.89,86.56,87.35,798171
2017-09-28 16:00:00,88.49,89.96,87.93,89.96,1593129
2017-09-29 16:00:00,89.99,90.97,89.5401,90.49,2036773
2017-10-02 16:00:00,90.38,91.07,89.5,90.98,1344671
2017-10-03 16:00:00,91.2,91.39,90.24,91.27,1036799
2017-10-04 16:00:00,91.26,91.38,88.77,89.7,2186912
2017-10-05 16:00:00,90.09,91.35,89.7,90.83,1361617
2017-10-06 16:00:00,90.17,91.04,90.02,91.0,971675
2017-10-09 16:00:00,91.1,91.38,89.58,89.65,956221
2017-10-10 16:00:00,88.99,89.3,88.05,88.78,1359115
2017-10-11 16:00:00,88.57,88.6075,88.01,88.01,42171
2017-10-12 16:00:00,87.77,88.55,87.74,88.36,829089
2017-10-13 16:00:00,88.9,89.18,88.55,88.65,787557
2017-10-16 16:00:00,89.0,89.09,87.45,87.87,1298031
2017-10-17 16:00:00,87.6,87.97,86.58,87.3,2031049
2017-10-18 16:00:00,87.35,88.4,87.04,88.06,1261395
2017-10-19 16:00:00,87.81,89.2,87.3,88.79,1555919
2017-10-20 16:00:00,89.67,89.67,88.79,88.82,1195035
2017-10-23 16:00:00,88.91,89.26,88.43,88.67,726476
2017-10-24 16:00:00,89.01,91.02,89.01,90.47,1127784
2017-10-25 16:00:00,90.19,91.03,89.7,90.63,1518464
2017-10-26 16:00:00,91.07,91.67,90.78,91.04,1868239
2017-10-27 16:00:00,93.63,94.96,90.54,93.0,2843016
2017-10-30 16:00:00,92.51,93.35,91.77,91.82,1593908
2017-10-31 16:00:00,92.12,92.12,90.76,90.81,1298056
2017-11-01 16:00:00,91.46,91.55,90.29,90.98,957029
2017-11-02 16:00:00,91.09,91.34,89.75,91.13,1119323
2017-11-03 16:00:00,91.34,91.68,90.855,91.32,556284
2017-11-06 16:00:00,91.14,91.14,90.14,90.36,883688
2017-11-07 16:00:00,90.42,91.12,90.16,90.61,722309
2017-11-08 16:00:00,90.36,91.11,89.9,90.59,859149
2017-11-09 16:00:00,89.82,90.29,89.01,89.98,848349
2017-11-10 16:00:00,89.97,90.78,89.93,90.75,798191
2017-11-13 16:00:00,90.25,91.63,90.25,91.43,870818
2017-11-14 16:00:00,90.7,90.86,89.59,90.24,1002514
2017-11-15 16:00:00,90.1,90.1,88.85,89.55,2355741
2017-11-16 16:00:00,89.88,90.3344,89.61,90.15,814724
2017-11-17 16:00:00,89.7,90.24,89.3,89.74,1591298
2017-11-20 16:00:00,89.58,90.19,89.36,90.05,698497
2017-11-21 16:00:00,90.32,91.07,89.815,91.01,857934
2017-11-22 16:00:00,91.29,91.38,90.9,90.9,704476
2017-11-24 13:00:00,91.24,91.39,90.71,91.14,242272
2017-11-27 16:00:00,91.14,91.19,90.71,90.89,621632
2017-11-28 16:00:00,91.03,91.69,90.73,91.69,847924
2017-11-29 16:00:00,91.7,91.74,90.54,91.41,840504
2017-11-30 16:00:00,91.74,93.0,91.54,92.37,1304490
2017-12-01 16:00:00,92.64,92.88,90.92,91.98,1275280
2017-12-04 16:00:00,92.52,92.69,91.39,91.4,1172276
2017-12-05 16:00:00,91.21,91.47,89.64,91.2,1179350
2017-12-06 16:00:00,91.02,91.62,90.46,90.61,1421443
2017-12-07 16:00:00,90.75,91.6,90.225,91.5,968680
2017-12-08 16:00:00,92.18,92.65,91.62,92.18,1016183
2017-12-11 16:00:00,92.34,93.42,92.23,92.8,905128
2017-12-12 16:00:00,93.02,93.72,92.81,93.02,869395
2017-12-13 16:00:00,93.01,93.47,92.8,93.08,942098
