,Open,High,Low,Close,Volume
2017-10-25 16:00:00,66.74,66.95,65.8741,66.5,2745131
2017-10-26 16:00:00,66.79,67.05,66.43,66.83,2006067
2017-10-27 16:00:00,66.92,67.785,66.71,67.38,3545190
2017-10-30 16:00:00,67.27,67.64,67.07,67.34,3841723
2017-10-31 16:00:00,67.02,67.12,64.33,64.46,9603582
2017-11-01 16:00:00,64.56,64.89,64.04,64.07,5365549
2017-11-02 16:00:00,64.18,64.23,63.55,63.62,4037090
2017-11-03 16:00:00,63.8,64.7599,63.57,64.1,4439470
2017-11-06 16:00:00,64.25,64.81,63.98,64.52,3690440
2017-11-07 16:00:00,64.04,64.3825,62.68,63.08,4358115
2017-11-08 16:00:00,63.04,63.22,62.21,62.52,2553277
2017-11-09 16:00:00,62.11,62.315,60.16,61.48,5954140
2017-11-10 16:00:00,61.35,61.64,60.95,61.61,3613357
2017-11-13 16:00:00,61.63,61.63,61.19,61.39,2557309
2017-11-14 16:00:00,61.22,61.47,60.73,60.74,2850095
2017-11-15 16:00:00,60.49,60.7,59.49,59.59,4276694
2017-11-16 16:00:00,58.05,59.74,57.47,59.02,10266696
2017-11-17 16:00:00,58.86,60.24,58.69,59.85,5091761
2017-11-20 16:00:00,59.87,60.435,59.62,60.26,5449384
2017-11-21 16:00:00,60.34,60.69,60.019,60.35,3277548
2017-11-22 16:00:00,60.75,62.08,60.72,61.88,5881522
2017-11-24 13:00:00,61.98,62.12,61.56,61.63,2182603
