,Open,High,Low,Close,Volume
2017-09-14 16:00:00,67.38,67.6,66.98,67.39,1631113
2017-09-15 16:00:00,67.24,67.88,67.08,67.88,3190161
2017-09-18 16:00:00,67.82,68.16,67.16,67.34,1518814
2017-09-19 16:00:00,67.64,67.64,66.71,66.83,1854002
2017-09-20 16:00:00,66.88,67.19,66.41,66.72,1278370
2017-09-21 16:00:00,66.73,66.91,66.41,66.47,1611887
2017-09-22 16:00:00,66.1,66.27,65.46,65.88,1822556
2017-09-25 16:00:00,66.0,66.42,65.889,66.08,1637727
2017-09-26 16:00:00,66.15,66.31,65.99,66.03,1520658
2017-09-27 16:00:00,65.84,65.845,65.44,65.62,1276505
2017-09-28 16:00:00,65.67,65.92,65.47,65.84,1281426
2017-09-29 16:00:00,65.75,66.1,65.49,65.93,1729187
2017-10-02 16:00:00,66.09,66.25,65.57,65.6,1410176
2017-10-03 16:00:00,65.65,65.84,65.17,65.55,1595944
2017-10-04 16:00:00,65.64,66.55,65.46,66.52,1254113
2017-10-05 16:00:00,66.7,67.2,66.36,66.57,1377355
2017-10-06 16:00:00,66.47,66.47,65.65,66.42,1327057
2017-10-09 16:00:00,66.44,66.57,66.11,66.44,1251454
2017-10-10 16:00:00,66.54,66.94,66.28,66.4,1356598
2017-10-11 16:00:00,66.4,66.684,66.4,66.4,23366
2017-10-12 16:00:00,66.48,67.265,66.34,67.23,1343630
2017-10-13 16:00:00,67.61,67.72,67.24,67.49,1250805
2017-10-16 16:00:00,67.41,67.54,66.9,67.27,1654000
2017-10-17 16:00:00,67.06,67.24,66.51,66.88,1293598
2017-10-18 16:00:00,66.76,66.93,66.44,66.72,1757240
2017-10-19 16:00:00,66.91,66.91,65.92,66.06,1728611
2017-10-20 16:00:00,66.18,66.18,65.8,66.14,1067661
2017-10-23 16:00:00,66.42,66.71,65.96,66.67,1143173
2017-10-24 16:00:00,66.37,66.56,65.27,65.79,2009707
2017-10-25 16:00:00,67.74,67.74,66.33,66.88,2108192
2017-10-26 16:00:00,67.68,67.68,66.57,67.15,1887467
2017-10-27 16:00:00,66.9,67.655,66.71,67.65,1561677
2017-10-30 16:00:00,67.6,67.78,66.955,67.02,1934265
2017-10-31 16:00:00,66.89,67.29,66.66,67.26,1347258
2017-11-01 16:00:00,67.32,68.04,67.01,67.81,880728
2017-11-02 16:00:00,68.0,68.16,66.51,66.85,1241556
2017-11-03 16:00:00,66.4,68.27,66.36,68.21,1755072
2017-11-06 16:00:00,68.68,69.63,68.36,69.21,1544271
2017-11-07 16:00:00,69.39,69.77,69.21,69.56,1213699
2017-11-08 16:00:00,69.64,70.4,69.635,70.37,1684302
2017-11-09 16:00:00,70.1,70.455,69.88,69.88,1431902
2017-11-10 16:00:00,69.57,70.03,69.23,69.25,1410987
2017-11-13 16:00:00,69.15,70.25,68.8,70.15,1377517
2017-11-14 16:00:00,70.09,70.35,69.57,69.98,1520270
2017-11-15 16:00:00,69.97,70.09,68.9,69.03,1072921
2017-11-16 16:00:00,69.07,69.415,68.53,69.22,1025527
2017-11-17 16:00:00,68.98,69.3,68.17,68.32,1630426
2017-11-20 16:00:00,68.27,68.37,67.72,67.92,1771709
2017-11-21 16:00:00,68.22,68.58,68.03,68.1,2297997
2017-11-22 16:00:00,67.99,68.5,67.86,68.14,1318303
2017-11-24 13:00:00,68.31,68.48,68.15,68.21,655811
2017-11-27 16:00:00,68.13,68.39,67.6,67.63,1280974
2017-11-28 16:00:00,67.55,67.8,66.65,66.9,2552684
2017-11-29 16:00:00,66.78,66.93,66.01,66.74,2073288
2017-11-30 16:00:00,67.02,67.13,66.59,66.82,2518324
2017-12-01 16:00:00,67.02,67.39,66.29,66.53,1130156
2017-12-04 16:00:00,66.72,66.835,66.05,66.3,1696018
2017-12-05 16:00:00,66.3,66.38,65.47,65.51,1133986
2017-12-06 16:00:00,65.55,65.81,65.15,65.4,1064864
2017-12-07 16:00:00,65.5,65.5,64.96,65.15,2219226
2017-12-08 16:00:00,65.36,65.82,64.9801,65.81,1356243
2017-12-11 16:00:00,65.94,66.09,65.37,65.92,1083174
2017-12-12 16:00:00,66.3,66.41,65.57,66.3,1687362
2017-12-13 16:00:00,66.45,66.62,65.54,65.63,1335635
