,Open,High,Low,Close,Volume
2017-10-25 16:00:00,63.6,63.91,60.64,60.86,6972326
2017-10-26 16:00:00,60.86,60.86,58.2,60.07,6846637
2017-10-27 16:00:00,59.55,65.03,59.24,63.31,11653173
2017-10-30 16:00:00,63.3,63.64,61.62,61.95,5409650
2017-10-31 16:00:00,62.21,63.08,61.64,62.54,2963345
2017-11-01 16:00:00,63.08,63.3815,61.92,62.06,3375101
2017-11-02 16:00:00,61.9,62.99,61.54,62.03,2166406
2017-11-03 16:00:00,62.14,63.24,60.81,62.78,2822249
2017-11-06 16:00:00,63.28,64.04,62.59,63.83,3827658
2017-11-07 16:00:00,63.83,64.12,62.76,63.24,2663753
2017-11-08 16:00:00,63.37,64.81,62.81,64.45,5371413
2017-11-09 16:00:00,64.54,65.95,64.54,65.91,9547121
2017-11-10 16:00:00,65.82,66.03,64.43,65.18,22746698
2017-11-13 16:00:00,65.19,65.82,64.23,64.58,8251678
2017-11-14 16:00:00,64.43,64.54,60.33,60.6,5644776
2017-11-15 16:00:00,59.92,60.0,58.56,59.51,6962914
2017-11-16 16:00:00,60.21,60.21,58.74,59.3,2679689
2017-11-17 16:00:00,59.35,59.7,58.76,59.03,2701753
2017-11-20 16:00:00,58.75,59.4,57.97,59.33,3718864
2017-11-21 16:00:00,59.34,59.61,57.92,58.32,2349793
2017-11-22 16:00:00,58.32,58.78,58.0,58.18,1721472
2017-11-24 13:00:00,58.12,58.34,57.22,57.65,1167237
