,Open,High,Low,Close,Volume
2017-10-25 16:00:00,62.15,62.36,61.59,62.33,2062640
2017-10-26 16:00:00,62.52,62.84,62.145,62.24,1615914
2017-10-27 16:00:00,62.14,62.84,62.12,62.79,1266391
2017-10-30 16:00:00,62.62,62.66,62.11,62.49,1925123
2017-10-31 16:00:00,62.45,62.83,62.305,62.64,1965409
2017-11-01 16:00:00,62.79,63.06,61.98,62.68,2622800
2017-11-02 16:00:00,63.13,63.27,62.25,63.23,1997989
2017-11-03 16:00:00,63.13,64.04,63.04,63.54,1381888
2017-11-06 16:00:00,63.58,64.02,63.27,63.7,2325882
2017-11-07 16:00:00,63.995,64.615,63.58,64.52,1990206
2017-11-08 16:00:00,64.43,65.01,64.095,64.63,2110831
2017-11-09 16:00:00,64.54,64.87,64.36,64.68,1300967
2017-11-10 16:00:00,64.3,64.42,63.85,64.07,1555607
2017-11-13 16:00:00,64.1,64.83,64.01,64.76,1423820
2017-11-14 16:00:00,64.61,65.85,64.46,65.81,1761230
2017-11-15 16:00:00,65.91,66.15,64.96,65.0,1608337
2017-11-16 16:00:00,65.0,65.23,64.56,64.89,1677272
2017-11-17 16:00:00,64.62,64.89,64.06,64.21,1602410
2017-11-20 16:00:00,64.25,64.26,63.6,63.84,1486005
2017-11-21 16:00:00,63.87,64.195,63.82,63.93,1302279
2017-11-22 16:00:00,63.86,63.96,63.435,63.81,1466007
2017-11-24 13:00:00,64.05,64.33,63.97,64.33,621455
