,Open,High,Low,Close,Volume
2017-09-14 16:00:00,74.76,75.72,74.385,75.62,2480978
2017-09-15 16:00:00,75.59,76.98,75.22,76.91,4901320
2017-09-18 16:00:00,77.0,78.04,76.53,77.9,2832521
2017-09-19 16:00:00,77.74,77.87,76.96,77.03,3215299
2017-09-20 16:00:00,77.22,78.2068,77.12,77.77,2482024
2017-09-21 16:00:00,77.7,78.25,77.66,78.06,1784557
2017-09-22 16:00:00,77.99,78.51,77.69,78.1,1624863
2017-09-25 16:00:00,78.14,78.23,76.89,77.55,2669637
2017-09-26 16:00:00,77.6,77.65,77.02,77.11,1855662
2017-09-27 16:00:00,77.44,77.61,76.81,77.12,1979100
2017-09-28 16:00:00,76.84,76.97,75.43,76.09,3048055
2017-09-29 16:00:00,75.95,76.94,75.72,76.79,2236259
2017-10-02 16:00:00,76.95,77.58,76.39,77.54,1755411
2017-10-03 16:00:00,77.68,77.76,77.25,77.45,2018426
2017-10-04 16:00:00,77.35,78.19,77.01,78.06,2209413
2017-10-05 16:00:00,77.96,78.25,77.59,77.8,2032978
2017-10-06 16:00:00,77.63,78.22,77.43,77.75,2281192
2017-10-09 16:00:00,77.76,78.12,77.31,77.68,1368753
2017-10-10 16:00:00,77.96,78.13,77.4,77.98,1612769
2017-10-11 16:00:00,77.95,78.16,77.73,77.95,107463
2017-10-12 16:00:00,78.56,79.16,78.31,78.72,2504019
2017-10-13 16:00:00,79.12,79.19,78.47,78.53,1942761
2017-10-16 16:00:00,78.82,79.31,78.52,79.23,1400456
2017-10-17 16:00:00,77.83,78.43,76.6,78.07,3535673
2017-10-18 16:00:00,78.16,78.61,77.94,77.97,2249476
2017-10-19 16:00:00,77.37,78.19,77.34,78.02,2168542
2017-10-20 16:00:00,78.47,79.04,78.19,78.93,2560550
2017-10-23 16:00:00,79.03,79.09,78.425,78.48,2196924
2017-10-24 16:00:00,78.92,80.14,78.91,79.58,3107856
2017-10-25 16:00:00,79.44,79.69,78.33,78.98,2311198
2017-10-26 16:00:00,79.5,79.94,79.2,79.5,1642770
2017-10-27 16:00:00,79.47,79.99,79.135,79.77,1987626
2017-10-30 16:00:00,79.65,80.43,79.18,79.23,3741342
2017-10-31 16:00:00,77.94,81.5,77.62,80.02,4955367
2017-11-01 16:00:00,80.88,82.34,80.8,81.51,3680458
2017-11-02 16:00:00,81.05,81.34,79.325,79.38,3227141
2017-11-03 16:00:00,79.15,79.24,77.08,78.1,4477267
2017-11-06 16:00:00,78.1,78.64,77.64,78.31,2239793
2017-11-07 16:00:00,78.4,78.98,78.16,78.67,1454311
2017-11-08 16:00:00,78.41,79.21,77.9401,79.05,2281816
2017-11-09 16:00:00,78.72,79.49,77.8,77.86,2957064
2017-11-10 16:00:00,77.9,78.08,77.48,77.92,1380391
2017-11-13 16:00:00,77.7,78.16,77.51,77.94,1393571
2017-11-14 16:00:00,77.49,77.67,76.89,76.89,1844785
2017-11-15 16:00:00,76.47,76.6,75.6,75.87,2029864
2017-11-16 16:00:00,76.14,76.8,76.14,76.44,1824814
2017-11-17 16:00:00,75.99,76.0,75.42,75.64,2965255
2017-11-20 16:00:00,75.86,75.98,75.5,75.69,2934168
2017-11-21 16:00:00,76.09,76.33,75.83,76.3,1802331
2017-11-22 16:00:00,76.33,76.67,76.1795,76.22,995281
2017-11-24 13:00:00,76.37,76.37,75.83,75.92,698922
2017-11-27 16:00:00,75.94,76.05,75.53,75.53,1493915
2017-11-28 16:00:00,75.67,77.04,75.56,76.85,2029079
2017-11-29 16:00:00,77.02,77.29,76.36,76.84,1839554
2017-11-30 16:00:00,76.98,77.99,76.92,77.78,2725330
2017-12-01 16:00:00,77.99,78.415,76.4,77.7,2263985
2017-12-04 16:00:00,78.31,78.61,76.4,76.41,2329218
2017-12-05 16:00:00,76.3735,76.62,74.94,74.95,3000553
2017-12-06 16:00:00,76.01,76.26,74.9,75.79,3000765
2017-12-07 16:00:00,75.65,77.47,75.62,77.26,3538475
2017-12-08 16:00:00,77.29,77.86,77.01,77.29,2363727
2017-12-11 16:00:00,77.613,78.11,77.11,77.77,3755061
2017-12-12 16:00:00,77.76,78.45,77.732,77.76,2189309
2017-12-13 16:00:00,77.96,78.49,77.54,77.57,2148054
