,Open,High,Low,Close,Volume
2017-09-14 16:00:00,78.1,79.29,77.93,79.14,854022
2017-09-15 16:00:00,79.02,79.4,78.55,78.87,1513207
2017-09-18 16:00:00,78.99,79.09,77.82,78.37,851270
2017-09-19 16:00:00,78.45,78.63,77.715,78.05,772411
2017-09-20 16:00:00,78.3,78.41,77.35,77.8,1661783
2017-09-21 16:00:00,78.56,79.36,77.88,77.96,1088110
2017-09-22 16:00:00,78.2,78.48,76.56,76.75,880092
2017-09-25 16:00:00,76.86,77.79,76.75,77.76,923386
2017-09-26 16:00:00,77.75,77.935,77.39,77.45,756933
2017-09-27 16:00:00,76.95,77.1,76.04,76.46,1068697
2017-09-28 16:00:00,76.34,76.78,75.98,76.34,843158
2017-09-29 16:00:00,76.28,76.61,76.0,76.36,1149643
2017-10-02 16:00:00,76.64,76.9,76.24,76.42,961229
2017-10-03 16:00:00,76.48,76.48,75.01,75.68,997402
2017-10-04 16:00:00,75.46,78.445,75.25,78.41,2598620
2017-10-05 16:00:00,78.4,79.33,77.81,79.09,1676854
2017-10-06 16:00:00,78.49,79.24,77.63,78.65,1925394
2017-10-09 16:00:00,78.82,79.205,78.71,78.86,1122906
2017-10-10 16:00:00,79.05,79.81,78.61,79.64,1015353
2017-10-11 16:00:00,79.53,80.53,79.51,80.35,157043
2017-10-12 16:00:00,80.32,81.82,80.0,81.8,1392167
2017-10-13 16:00:00,82.0,82.83,81.87,82.29,1523198
2017-10-16 16:00:00,82.54,83.95,82.27,83.41,2092917
2017-10-17 16:00:00,83.45,84.6,83.39,84.6,1559887
2017-10-18 16:00:00,83.95,84.78,83.95,84.66,1421186
2017-10-19 16:00:00,85.0,85.43,84.535,85.36,1516121
2017-10-20 16:00:00,85.25,85.72,84.96,85.66,1617487
2017-10-23 16:00:00,85.94,85.99,85.22,85.23,1725587
2017-10-24 16:00:00,85.65,86.4,84.68,85.98,1796695
2017-10-25 16:00:00,86.12,86.49,84.37,86.34,1586639
2017-10-26 16:00:00,86.77,87.0,86.11,86.18,1012807
2017-10-27 16:00:00,86.14,86.84,85.8701,86.77,1142415
2017-10-30 16:00:00,86.7,86.7,86.02,86.39,1146722
2017-10-31 16:00:00,86.19,86.64,86.04,86.26,979249
2017-11-01 16:00:00,86.32,86.36,85.24,85.67,1368664
2017-11-02 16:00:00,85.9,86.75,85.28,86.64,2217076
2017-11-03 16:00:00,86.48,87.85,86.3,87.0,1062341
2017-11-06 16:00:00,86.93,87.28,86.24,86.36,956047
2017-11-07 16:00:00,86.35,87.07,86.03,86.85,911719
2017-11-08 16:00:00,85.82,86.489,85.6,86.24,1937939
2017-11-09 16:00:00,85.96,86.6,85.62,86.42,1346507
2017-11-10 16:00:00,85.95,86.29,85.1,85.13,1196622
2017-11-13 16:00:00,85.23,86.69,85.23,86.64,1476054
2017-11-14 16:00:00,86.42,87.5,86.19,87.42,1219673
2017-11-15 16:00:00,87.5,87.95,86.28,86.43,1581441
2017-11-16 16:00:00,86.26,86.49,85.8,85.9,875348
2017-11-17 16:00:00,85.66,87.22,85.66,86.51,1216439
2017-11-20 16:00:00,86.51,86.51,85.23,85.65,1007723
2017-11-21 16:00:00,85.72,86.11,85.49,85.61,788488
2017-11-22 16:00:00,85.52,85.715,84.85,85.51,572538
2017-11-24 13:00:00,85.55,85.92,85.27,85.37,235103
2017-11-27 16:00:00,85.6,86.38,85.25,86.08,1463578
2017-11-28 16:00:00,86.46,86.8,86.12,86.34,1218178
2017-11-29 16:00:00,86.01,86.36,85.46,86.15,831648
2017-11-30 16:00:00,86.23,86.76,85.75,86.48,1405060
2017-12-01 16:00:00,86.82,87.09,85.11,85.52,1319732
2017-12-04 16:00:00,85.69,85.735,84.06,84.37,2665858
2017-12-05 16:00:00,84.55,84.59,82.77,83.13,1701765
2017-12-06 16:00:00,83.38,83.82,83.0,83.59,1148476
2017-12-07 16:00:00,83.53,83.72,83.0,83.7,801164
2017-12-08 16:00:00,83.54,84.275,83.28,84.04,944958
2017-12-11 16:00:00,83.84,84.63,83.65,84.58,2303628
2017-12-12 16:00:00,83.26,85.23,83.13,83.26,1540970
2017-12-13 16:00:00,83.36,83.8,82.97,83.32,1228513
