,Open,High,Low,Close,Volume
2017-09-14 16:00:00,49.86,50.11,49.17,49.25,1738006
2017-09-15 16:00:00,49.18,49.18,47.92,48.49,2239404
2017-09-18 16:00:00,48.7,48.7,47.32,47.67,2524119
2017-09-19 16:00:00,46.11,46.55,43.095,43.11,11219790
2017-09-20 16:00:00,43.12,45.1,43.1,44.37,3756238
2017-09-21 16:00:00,44.56,44.81,43.91,44.76,1817140
2017-09-22 16:00:00,44.63,45.33,42.91,44.69,3133677
2017-09-25 16:00:00,44.79,45.32,43.37,43.62,1746411
2017-09-26 16:00:00,43.64,44.295,42.71,43.27,3107447
2017-09-27 16:00:00,43.53,43.66,42.615,42.8,1510848
2017-09-28 16:00:00,42.56,44.16,42.5,44.0,2176893
2017-09-29 16:00:00,44.01,45.11,43.67,44.95,2540652
2017-10-02 16:00:00,44.88,45.34,44.46,44.97,1927597
2017-10-03 16:00:00,45.19,45.19,44.21,44.85,1503286
2017-10-04 16:00:00,45.1,45.205,44.51,44.57,1353508
2017-10-05 16:00:00,44.45,45.04,44.45,44.57,918635
2017-10-06 16:00:00,44.51,44.815,43.59,44.54,1616805
2017-10-09 16:00:00,44.33,44.45,42.71,42.93,1915006
2017-10-10 16:00:00,43.03,43.47,42.27,42.38,1316010
2017-10-11 16:00:00,42.13,42.68,42.13,42.22,72780
2017-10-12 16:00:00,41.59,41.84,40.71,41.65,2370330
2017-10-13 16:00:00,40.87,41.39,39.66,40.74,2306591
2017-10-16 16:00:00,40.8,41.675,40.67,41.45,2671830
2017-10-17 16:00:00,41.76,41.98,40.95,41.78,1719399
2017-10-18 16:00:00,41.78,41.78,40.65,40.65,1538326
2017-10-19 16:00:00,40.67,45.3,40.32,45.08,6685528
2017-10-20 16:00:00,45.3,45.97,44.46,45.13,3201179
2017-10-23 16:00:00,44.84,44.87,43.52,44.15,2081552
2017-10-24 16:00:00,44.1,44.44,42.51,43.6,4595260
2017-10-25 16:00:00,43.65,43.65,41.901,42.59,4734891
2017-10-26 16:00:00,42.64,43.45,41.88,43.27,2228235
2017-10-27 16:00:00,43.27,43.58,42.66,43.4,1881586
2017-10-30 16:00:00,43.73,43.73,41.23,42.05,2602732
2017-10-31 16:00:00,41.94,42.955,41.46,42.6,3479600
2017-11-01 16:00:00,30.07,31.65,26.56,28.03,50450038
2017-11-02 16:00:00,27.37,28.59,26.9486,27.25,10218465
2017-11-03 16:00:00,27.01,28.23,26.86,27.04,4795032
2017-11-06 16:00:00,26.85,27.26,26.34,26.85,7522103
2017-11-07 16:00:00,26.85,27.07,25.44,25.72,4626589
2017-11-08 16:00:00,25.54,25.69,24.77,24.79,6085187
2017-11-09 16:00:00,24.67,26.08,24.62,25.73,5502942
2017-11-10 16:00:00,25.73,25.83,24.45,24.95,4382257
2017-11-13 16:00:00,25.13,26.12,23.77,25.86,5764962
2017-11-14 16:00:00,26.39,29.5,25.61,28.52,13625749
2017-11-15 16:00:00,28.1,28.72,27.52,28.43,5098760
2017-11-16 16:00:00,28.8,29.71,28.61,29.25,5000176
2017-11-17 16:00:00,28.94,29.17,28.1901,29.05,3548583
2017-11-20 16:00:00,28.76,29.07,28.32,28.99,3554985
2017-11-21 16:00:00,28.83,30.25,28.69,30.0,2899091
2017-11-22 16:00:00,30.0,30.26,29.67,30.06,4209943
2017-11-24 13:00:00,30.15,30.15,29.47,29.9,822319
2017-11-27 16:00:00,29.8,30.24,29.17,30.07,2706005
2017-11-28 16:00:00,30.25,30.9301,29.48,30.72,3052980
2017-11-29 16:00:00,30.85,32.15,30.84,31.83,3013484
2017-11-30 16:00:00,31.8,32.3,31.04,31.93,3973167
2017-12-01 16:00:00,31.82,31.94,30.23,30.74,3816966
2017-12-04 16:00:00,30.95,32.145,30.82,30.83,3414587
2017-12-05 16:00:00,30.93,31.49,30.34,31.23,2627090
2017-12-06 16:00:00,31.71,31.84,30.24,30.53,2997983
2017-12-07 16:00:00,30.5,31.37,30.3,31.2,2295875
2017-12-08 16:00:00,31.34,32.19,30.99,32.07,2837355
2017-12-11 16:00:00,32.35,33.16,32.1,32.9,4069450
2017-12-12 16:00:00,33.4,34.07,32.9,33.4,4302080
2017-12-13 16:00:00,33.24,33.68,32.0,33.37,4039479
