,Open,High,Low,Close,Volume
2017-09-14 16:00:00,111.54,111.63,110.71,111.5,1325191
2017-09-15 16:00:00,111.66,113.97,111.66,113.5,1944139
2017-09-18 16:00:00,113.55,113.74,112.26,112.69,984040
2017-09-19 16:00:00,112.74,112.93,110.9001,111.28,973723
2017-09-20 16:00:00,111.65,111.99,110.97,111.72,1093606
2017-09-21 16:00:00,111.66,111.7,109.52,110.33,1353571
2017-09-22 16:00:00,110.48,110.84,109.2,110.64,970645
2017-09-25 16:00:00,110.63,110.7615,109.635,110.46,858876
2017-09-26 16:00:00,110.47,111.7,110.41,110.59,832303
2017-09-27 16:00:00,110.39,110.39,107.35,109.37,2273748
2017-09-28 16:00:00,109.0,110.11,108.6,108.87,1057868
2017-09-29 16:00:00,108.72,109.37,108.0171,109.31,1606065
2017-10-02 16:00:00,109.38,110.2,108.765,109.99,1675100
2017-10-03 16:00:00,110.15,110.19,108.13,108.23,1185040
2017-10-04 16:00:00,108.8,110.6,108.57,110.22,1124356
2017-10-05 16:00:00,110.25,112.18,110.25,111.63,1365606
2017-10-06 16:00:00,111.71,112.33,110.89,111.46,1423309
2017-10-09 16:00:00,111.01,111.2,110.04,110.22,854414
2017-10-10 16:00:00,110.22,110.83,109.81,109.95,1317660
2017-10-11 16:00:00,109.75,110.649,109.75,110.185,94621
2017-10-12 16:00:00,110.07,110.62,109.85,110.2,733134
2017-10-13 16:00:00,109.75,109.95,108.11,108.25,1446300
2017-10-16 16:00:00,108.58,109.17,108.13,108.52,790162
2017-10-17 16:00:00,108.41,110.32,108.225,110.05,951410
2017-10-18 16:00:00,110.3,111.43,110.06,111.2,865675
2017-10-19 16:00:00,111.46,112.21,110.84,112.03,1713295
2017-10-20 16:00:00,112.42,113.45,112.08,113.08,1127754
2017-10-23 16:00:00,113.55,114.94,113.0,114.11,2004567
2017-10-24 16:00:00,114.13,114.6,113.58,114.25,2395333
2017-10-25 16:00:00,104.9,106.3,101.09,103.33,9271917
2017-10-26 16:00:00,103.5,105.29,102.37,103.37,3305338
2017-10-27 16:00:00,103.78,104.19,101.33,101.92,1951568
2017-10-30 16:00:00,101.8,102.3,100.2,101.63,1945085
2017-10-31 16:00:00,101.78,103.55,101.68,102.23,1525681
2017-11-01 16:00:00,102.37,103.53,101.69,101.82,1797296
2017-11-02 16:00:00,102.12,102.3,101.13,101.38,934742
2017-11-03 16:00:00,101.39,103.12,100.85,102.72,1089141
2017-11-06 16:00:00,102.4,103.46,102.0,103.16,882289
2017-11-07 16:00:00,103.58,104.45,103.015,104.41,993030
2017-11-08 16:00:00,104.5,105.4097,103.92,105.24,2170941
2017-11-09 16:00:00,105.33,105.42,103.79,104.78,1176313
2017-11-10 16:00:00,104.3,104.305,103.34,103.85,1728256
2017-11-13 16:00:00,103.73,105.71,103.2,105.24,1104777
2017-11-14 16:00:00,105.16,105.37,104.12,105.15,994935
2017-11-15 16:00:00,104.41,105.45,104.15,104.98,916969
2017-11-16 16:00:00,105.72,107.86,105.22,107.1,954419
2017-11-17 16:00:00,106.6,107.76,106.07,107.09,1072243
2017-11-20 16:00:00,107.32,107.52,106.53,107.16,1136003
2017-11-21 16:00:00,107.86,109.7952,107.485,109.52,1748157
2017-11-22 16:00:00,109.26,109.61,108.26,108.81,835977
2017-11-24 13:00:00,108.86,109.35,108.12,109.34,389570
2017-11-27 16:00:00,109.36,110.1,108.89,109.86,1100928
2017-11-28 16:00:00,110.06,113.31,109.4,113.21,2620450
2017-11-29 16:00:00,113.85,117.835,113.65,116.37,3142549
2017-11-30 16:00:00,116.53,119.04,116.39,117.2,2192288
2017-12-01 16:00:00,117.25,118.2,114.28,116.41,1993419
2017-12-04 16:00:00,117.06,118.0,113.79,113.8,2425840
2017-12-05 16:00:00,113.05,114.49,112.41,113.05,1774169
2017-12-06 16:00:00,113.0,113.8,112.29,113.36,1530309
2017-12-07 16:00:00,115.0,118.57,114.99,117.45,2258692
2017-12-08 16:00:00,117.5,118.29,116.9396,118.03,1405577
2017-12-11 16:00:00,118.3,118.98,117.71,118.18,1321559
2017-12-12 16:00:00,115.57,118.11,115.16,115.57,2064447
2017-12-13 16:00:00,116.03,116.54,115.31,115.4,1427933
