,Open,High,Low,Close,Volume
2017-10-25 16:00:00,59.16,59.18,58.57,58.84,835393
2017-10-26 16:00:00,59.03,59.74,58.96,59.23,860983
2017-10-27 16:00:00,59.28,59.62,59.16,59.37,698247
2017-10-30 16:00:00,59.21,59.3983,58.32,58.57,591556
2017-10-31 16:00:00,58.54,58.75,58.28,58.38,694225
2017-11-01 16:00:00,58.67,58.91,58.21,58.47,660905
2017-11-02 16:00:00,58.41,58.6,57.78,58.16,935155
2017-11-03 16:00:00,58.2,58.37,56.445,57.95,754563
2017-11-06 16:00:00,58.04,58.06,57.3,57.49,1120617
2017-11-07 16:00:00,59.75,62.63,58.78,62.04,3201588
2017-11-08 16:00:00,60.59,61.53,57.59,60.49,2180792
2017-11-09 16:00:00,60.09,60.4599,59.6,59.87,1415002
2017-11-10 16:00:00,59.25,60.22,58.9001,59.85,1024988
2017-11-13 16:00:00,59.86,59.9,59.39,59.41,1113206
2017-11-14 16:00:00,59.1,59.73,58.96,59.39,1238351
2017-11-15 16:00:00,59.06,59.39,58.73,58.98,876015
2017-11-16 16:00:00,59.29,59.87,58.66,59.78,1387851
2017-11-17 16:00:00,59.61,59.83,58.8208,59.13,1049016
2017-11-20 16:00:00,59.05,59.28,58.97,59.09,798270
2017-11-21 16:00:00,59.18,60.47,59.05,59.95,1494297
2017-11-22 16:00:00,59.95,60.09,59.64,59.82,955060
2017-11-24 13:00:00,59.98,59.99,59.52,59.88,337873
