,Open,High,Low,Close,Volume
2017-09-14 16:00:00,11.6,11.68,11.48,11.56,31696274
2017-09-15 16:00:00,11.54,11.63,11.49,11.62,30865470
2017-09-18 16:00:00,11.63,11.73,11.595,11.63,25132356
2017-09-19 16:00:00,11.63,11.74,11.62,11.72,26392861
2017-09-20 16:00:00,11.68,11.795,11.635,11.71,26705319
2017-09-21 16:00:00,11.71,11.82,11.69,11.72,40319429
2017-09-22 16:00:00,11.74,11.87,11.72,11.84,30196459
2017-09-25 16:00:00,11.88,12.06,11.84,11.94,40766002
2017-09-26 16:00:00,11.95,12.0,11.9,11.93,30646723
2017-09-27 16:00:00,11.98,12.02,11.86,11.95,27439476
2017-09-28 16:00:00,11.95,11.99,11.9,11.96,23105656
2017-09-29 16:00:00,11.97,12.02,11.92,11.97,31227515
2017-10-02 16:00:00,12.0,12.09,11.97,12.09,36019960
2017-10-03 16:00:00,12.32,12.43,12.22,12.34,65641714
2017-10-04 16:00:00,12.33,12.46,12.28,12.3,52909843
2017-10-05 16:00:00,12.34,12.36,12.15,12.25,48145783
2017-10-06 16:00:00,12.2,12.33,12.1925,12.31,35091790
2017-10-09 16:00:00,12.33,12.41,12.25,12.34,28924795
2017-10-10 16:00:00,12.34,12.42,12.25,12.39,40586234
2017-10-11 16:00:00,12.38,12.4,12.34,12.35,1538543
2017-10-12 16:00:00,12.3,12.32,12.11,12.12,45924434
2017-10-13 16:00:00,12.06,12.17,11.87,12.05,44597334
2017-10-16 16:00:00,11.99,12.15,11.96,12.12,32349675
2017-10-17 16:00:00,12.13,12.31,12.12,12.27,55273235
2017-10-18 16:00:00,12.28,12.35,12.17,12.19,30783686
2017-10-19 16:00:00,12.14,12.25,12.05,12.23,29678158
2017-10-20 16:00:00,12.12,12.14,12.0,12.1,28171651
2017-10-23 16:00:00,12.11,12.19,12.04,12.04,21504813
2017-10-24 16:00:00,12.11,12.26,12.0909,12.19,34651185
2017-10-25 16:00:00,12.15,12.15,11.97,12.04,47674841
2017-10-26 16:00:00,12.2,12.34,12.06,12.27,49003126
2017-10-27 16:00:00,12.23,12.24,12.0101,12.06,33925366
2017-10-30 16:00:00,12.01,12.15,11.95,12.1,36457435
2017-10-31 16:00:00,12.15,12.3,12.129,12.27,42010246
2017-11-01 16:00:00,12.4,12.47,12.2752,12.35,43495830
2017-11-02 16:00:00,12.33,12.43,12.26,12.42,40923421
2017-11-03 16:00:00,12.41,12.46,12.32,12.36,33220261
2017-11-06 16:00:00,12.36,12.43,12.3,12.33,20178513
2017-11-07 16:00:00,12.35,12.38,12.11,12.16,41536291
2017-11-08 16:00:00,12.14,12.16,12.01,12.06,34127543
2017-11-09 16:00:00,12.01,12.05,11.93,12.04,26257259
2017-11-10 16:00:00,12.0,12.09,11.98,12.01,35298374
2017-11-13 16:00:00,12.01,12.22,11.97,12.16,30415855
2017-11-14 16:00:00,12.1,12.16,11.99,12.02,25893421
2017-11-15 16:00:00,11.97,12.03,11.87,12.0,28441307
2017-11-16 16:00:00,12.0,12.05,11.93,12.04,28269046
2017-11-17 16:00:00,12.02,12.06,11.985,12.01,31117727
2017-11-20 16:00:00,12.03,12.15,12.02,12.13,32352040
2017-11-21 16:00:00,12.14,12.225,12.12,12.12,28510260
2017-11-22 16:00:00,12.11,12.15,12.05,12.07,36184010
2017-11-24 13:00:00,12.1,12.15,12.03,12.1,9549629
2017-11-27 16:00:00,12.09,12.19,12.06,12.11,28525156
2017-11-28 16:00:00,12.15,12.24,12.08,12.21,33199323
2017-11-29 16:00:00,12.24,12.57,12.23,12.56,64865974
2017-11-30 16:00:00,12.53,12.65,12.42,12.52,49224189
2017-12-01 16:00:00,12.62,12.7,12.35,12.58,52458736
2017-12-04 16:00:00,12.65,12.81,12.59,12.63,39558857
2017-12-05 16:00:00,12.42,12.62,12.4,12.43,45527163
2017-12-06 16:00:00,12.37,12.43,12.28,12.38,28453762
2017-12-07 16:00:00,12.575,12.59,12.33,12.53,25417119
2017-12-08 16:00:00,12.53,12.61,12.43,12.61,21981870
2017-12-11 16:00:00,12.57,12.63,12.51,12.58,44194633
2017-12-12 16:00:00,12.6,12.635,12.51,12.6,54370612
2017-12-13 16:00:00,12.61,12.725,12.59,12.63,31858995
