,Open,High,Low,Close,Volume
2017-10-25 16:00:00,46.58,46.73,45.96,46.64,2420123
2017-10-26 16:00:00,46.77,47.75,46.33,47.49,2180719
2017-10-27 16:00:00,47.22,47.49,46.89,47.19,1683445
2017-10-30 16:00:00,47.07,47.48,46.7,46.79,1519469
2017-10-31 16:00:00,47.65,47.9858,46.92,46.97,2179653
2017-11-01 16:00:00,47.23,47.23,46.4,46.78,1515556
2017-11-02 16:00:00,46.78,47.63,46.63,47.58,1241557
2017-11-03 16:00:00,47.48,48.21,47.2,47.91,1780638
2017-11-06 16:00:00,47.5,48.19,47.25,48.06,1477209
2017-11-07 16:00:00,48.11,48.24,47.84,48.04,1564227
2017-11-08 16:00:00,48.15,48.5,47.94,48.47,1632971
2017-11-09 16:00:00,48.22,48.35,46.7201,47.54,1813962
2017-11-10 16:00:00,47.25,48.47,47.1,47.59,1655982
2017-11-13 16:00:00,47.33,47.66,47.1,47.23,1741345
2017-11-14 16:00:00,46.94,47.66,46.91,47.47,1865705
2017-11-15 16:00:00,47.28,48.01,47.15,47.57,1619046
2017-11-16 16:00:00,47.78,48.64,47.51,48.47,1661232
2017-11-17 16:00:00,48.45,48.77,47.86,48.47,1440966
2017-11-20 16:00:00,48.37,48.72,47.78,48.11,1667927
2017-11-21 16:00:00,48.42,48.63,48.2203,48.45,991107
2017-11-22 16:00:00,48.53,49.56,48.48,48.75,2039604
2017-11-24 13:00:00,48.87,49.14,48.42,49.07,936360
