,Open,High,Low,Close,Volume
2017-09-14 16:00:00,172.26,172.28,170.5,170.96,15615654
2017-09-15 16:00:00,170.88,172.34,170.26,171.64,15660539
2017-09-18 16:00:00,171.99,172.07,169.34,170.01,12954013
2017-09-19 16:00:00,170.62,172.56,170.36,172.52,13168595
2017-09-20 16:00:00,172.5,173.05,170.7,172.17,12264125
2017-09-21 16:00:00,171.69,172.27,170.01,171.11,11161412
2017-09-22 16:00:00,170.21,171.73,169.22,170.54,12097138
2017-09-25 16:00:00,169.24,169.3,161.56,162.87,41251583
2017-09-26 16:00:00,164.5,165.5,162.78,164.21,23363335
2017-09-27 16:00:00,165.9,168.34,165.57,167.68,19048608
2017-09-28 16:00:00,167.94,169.0696,167.16,168.73,12178747
2017-09-29 16:00:00,168.83,171.66,168.81,170.87,15340366
2017-10-02 16:00:00,171.39,171.87,168.75,169.47,13392280
2017-10-03 16:00:00,169.3,170.73,169.2,169.96,8190273
2017-10-04 16:00:00,169.83,170.67,168.29,168.42,12127887
2017-10-05 16:00:00,169.18,171.31,168.6,171.24,14580628
2017-10-06 16:00:00,170.25,172.37,169.75,172.23,13124473
2017-10-09 16:00:00,172.7,174.88,172.0,172.5,14570413
2017-10-10 16:00:00,173.0,173.2,170.8,171.59,11341081
2017-10-11 16:00:00,171.95,172.78,171.4,172.74,11283663
2017-10-12 16:00:00,172.61,173.85,172.29,172.55,10351044
2017-10-13 16:00:00,173.45,174.65,173.2,173.74,13658307
2017-10-16 16:00:00,174.49,175.0,174.06,174.52,11498752
2017-10-17 16:00:00,174.71,176.13,174.36,176.11,15990079
2017-10-18 16:00:00,176.65,176.74,175.75,176.03,12752351
2017-10-19 16:00:00,174.93,176.03,172.63,174.56,14048350
2017-10-20 16:00:00,175.5,175.88,174.63,174.98,12602238
2017-10-23 16:00:00,175.2,175.34,171.25,171.27,13852658
2017-10-24 16:00:00,172.3,173.24,171.5,171.8,12267913
2017-10-25 16:00:00,171.9,172.25,168.89,170.6,15868197
2017-10-26 16:00:00,171.38,172.285,170.39,170.63,11833141
2017-10-27 16:00:00,174.15,178.21,173.9,177.88,30285281
2017-10-30 16:00:00,179.26,180.69,177.61,179.87,24353160
2017-10-31 16:00:00,180.57,180.8,178.94,180.06,20174231
2017-11-01 16:00:00,182.36,182.9,180.57,182.66,40918341
2017-11-02 16:00:00,180.63,181.94,177.34,178.92,35529893
2017-11-03 16:00:00,179.29,179.86,176.71,178.92,17822131
2017-11-06 16:00:00,178.56,180.45,178.31,180.17,13312741
2017-11-07 16:00:00,180.5,180.7478,178.96,180.25,12928182
2017-11-08 16:00:00,179.79,180.35,179.11,179.56,10494149
2017-11-09 16:00:00,178.31,179.4,177.09,179.3,12610335
2017-11-10 16:00:00,178.35,179.0999,177.96,178.46,11070189
2017-11-13 16:00:00,177.5,179.04,177.3,178.77,9523447
2017-11-14 16:00:00,178.13,178.97,177.18,178.07,9585868
2017-11-15 16:00:00,176.66,178.57,176.4,177.95,10253667
2017-11-16 16:00:00,178.76,179.83,178.5,179.59,15607582
2017-11-17 16:00:00,179.3,179.98,178.9,179.0,13017980
2017-11-20 16:00:00,178.87,179.5,178.1,178.74,10052391
2017-11-21 16:00:00,179.15,181.89,178.99,181.86,14503990
2017-11-22 16:00:00,181.3,181.73,180.44,180.87,10376329
2017-11-24 13:00:00,180.4,183.15,180.29,182.78,9426283
2017-11-27 16:00:00,182.56,183.73,181.99,183.03,12344516
2017-11-28 16:00:00,183.51,184.25,182.09,182.42,14379674
2017-11-29 16:00:00,181.89,181.97,174.0,175.13,41933484
2017-11-30 16:00:00,176.85,178.275,175.2,177.18,25307601
2017-12-01 16:00:00,176.03,177.48,172.34,175.1,20182523
2017-12-04 16:00:00,176.29,176.57,170.79,171.47,24459422
2017-12-05 16:00:00,170.45,175.38,169.01,172.83,20184908
2017-12-06 16:00:00,172.5,176.77,171.9,176.06,20255846
2017-12-07 16:00:00,175.8,180.39,175.8,180.14,20404533
2017-12-08 16:00:00,181.53,182.28,178.7401,179.0,19883764
2017-12-11 16:00:00,179.3,180.22,178.8,179.04,13168575
2017-12-12 16:00:00,178.6,179.18,176.6,176.96,16854098
2017-12-13 16:00:00,177.3,179.16,177.25,178.3,14615718
