,Open,High,Low,Close,Volume
2017-09-14 16:00:00,64.52,64.74,64.005,64.43,708148
2017-09-15 16:00:00,64.41,64.92,64.0,64.74,1191243
2017-09-18 16:00:00,64.88,65.16,64.23,64.25,687883
2017-09-19 16:00:00,64.32,64.5146,64.18,64.31,566430
2017-09-20 16:00:00,64.18,64.67,64.17,64.51,527279
2017-09-21 16:00:00,64.45,65.0,64.19,64.89,572838
2017-09-22 16:00:00,64.79,65.41,64.55,64.91,630733
2017-09-25 16:00:00,64.77,65.49,64.68,65.3,620450
2017-09-26 16:00:00,65.4,65.9,65.25,65.43,687710
2017-09-27 16:00:00,65.58,66.64,65.43,66.41,881234
2017-09-28 16:00:00,66.35,67.29,66.35,67.26,827217
2017-09-29 16:00:00,67.32,67.765,66.94,67.23,967654
2017-10-02 16:00:00,67.26,67.75,67.07,67.68,768384
2017-10-03 16:00:00,67.57,67.57,66.605,66.78,1560000
2017-10-04 16:00:00,66.94,66.94,66.04,66.33,1341373
2017-10-05 16:00:00,66.48,66.48,65.69,65.75,823101
2017-10-06 16:00:00,65.6,65.97,65.54,65.96,767513
2017-10-09 16:00:00,65.96,66.17,65.76,66.0,641219
2017-10-10 16:00:00,66.2,66.2,65.48,65.62,691669
2017-10-11 16:00:00,65.7,65.8725,65.54,65.865,25692
2017-10-12 16:00:00,66.08,66.55,66.08,66.25,825718
2017-10-13 16:00:00,66.37,66.45,66.1098,66.24,586929
2017-10-16 16:00:00,66.3,66.37,65.88,66.3,478335
2017-10-17 16:00:00,66.32,66.55,65.92,66.08,662819
2017-10-18 16:00:00,66.22,66.46,65.33,65.35,1189936
2017-10-19 16:00:00,65.16,65.7,64.89,65.58,1748295
2017-10-20 16:00:00,65.94,67.17,65.9,67.0,1167071
2017-10-23 16:00:00,67.1,68.11,66.99,67.54,1552072
2017-10-24 16:00:00,67.22,68.36,66.94,68.12,1778100
2017-10-25 16:00:00,67.93,67.99,66.46,66.88,1082170
2017-10-26 16:00:00,66.42,68.82,66.42,68.35,1998155
2017-10-27 16:00:00,67.62,68.36,66.72,66.83,1091664
2017-10-30 16:00:00,66.92,67.02,66.0,66.15,1023565
2017-10-31 16:00:00,66.14,66.35,65.84,66.06,925287
2017-11-01 16:00:00,66.4,66.4,65.0,65.2,971712
2017-11-02 16:00:00,65.21,65.52,63.851,64.56,1057310
2017-11-03 16:00:00,64.38,64.94,63.98,64.17,1105648
2017-11-06 16:00:00,63.93,64.4,63.82,64.22,768270
2017-11-07 16:00:00,64.25,64.77,64.16,64.46,1058329
2017-11-08 16:00:00,64.32,64.34,63.68,64.12,738271
2017-11-09 16:00:00,63.74,64.09,63.42,64.0,1011859
2017-11-10 16:00:00,64.08,64.2,63.66,63.97,645967
2017-11-13 16:00:00,63.72,64.64,63.41,64.43,792391
2017-11-14 16:00:00,64.27,64.82,64.07,64.69,607150
2017-11-15 16:00:00,64.48,64.48,63.81,64.06,586862
2017-11-16 16:00:00,64.26,65.03,64.17,64.44,598903
2017-11-17 16:00:00,64.27,64.99,64.07,64.76,406339
2017-11-20 16:00:00,65.0,65.09,64.525,64.87,597871
2017-11-21 16:00:00,65.03,65.54,64.61,65.37,619050
2017-11-22 16:00:00,65.29,65.37,64.7,64.85,458911
2017-11-24 13:00:00,65.35,65.42,64.535,64.68,263865
2017-11-27 16:00:00,64.77,64.96,64.42,64.52,518980
2017-11-28 16:00:00,64.63,65.78,64.58,65.72,751712
2017-11-29 16:00:00,65.94,67.05,65.81,66.87,906947
2017-11-30 16:00:00,67.0,68.8,67.0,68.42,1177567
2017-12-01 16:00:00,68.38,69.01,66.96,67.52,1414318
2017-12-04 16:00:00,67.96,69.61,67.75,68.89,1364910
2017-12-05 16:00:00,68.8,69.19,67.98,68.48,966131
2017-12-06 16:00:00,68.3,68.71,67.73,67.76,526745
2017-12-07 16:00:00,67.6,68.41,67.5099,68.24,508942
2017-12-08 16:00:00,68.48,68.48,67.69,68.22,865708
2017-12-11 16:00:00,68.5,68.5,67.92,68.12,1104732
2017-12-12 16:00:00,67.23,68.53,67.2,67.23,679915
2017-12-13 16:00:00,67.39,67.775,67.14,67.32,704656
