,Open,High,Low,Close,Volume
2017-09-14 16:00:00,31.41,31.64,31.1393,31.64,3858912
2017-09-15 16:00:00,31.3,31.645,31.27,31.62,5434230
2017-09-18 16:00:00,31.62,31.7006,30.85,31.25,4440138
2017-09-19 16:00:00,31.29,31.41,31.16,31.37,3938926
2017-09-20 16:00:00,31.42,31.47,30.93,31.19,3658258
2017-09-21 16:00:00,31.24,31.43,31.1,31.15,2445832
2017-09-22 16:00:00,31.24,31.29,30.88,30.89,2699292
2017-09-25 16:00:00,30.9,31.13,30.78,31.11,3211472
2017-09-26 16:00:00,31.01,31.06,30.77,30.83,4357940
2017-09-27 16:00:00,30.67,30.77,30.03,30.06,5481720
2017-09-28 16:00:00,30.0,30.33,29.81,30.07,3703241
2017-09-29 16:00:00,30.16,30.95,30.1,30.83,7725701
2017-10-02 16:00:00,30.92,31.11,30.65,30.85,4121415
2017-10-03 16:00:00,30.82,31.175,30.65,31.02,3659612
2017-10-04 16:00:00,31.01,31.41,30.85,31.35,3514562
2017-10-05 16:00:00,31.39,31.53,31.22,31.33,3345284
2017-10-06 16:00:00,31.22,31.42,30.975,31.38,4478928
2017-10-09 16:00:00,31.38,31.5,31.28,31.41,2433089
2017-10-10 16:00:00,31.42,31.65,31.38,31.59,3519734
2017-10-11 16:00:00,31.56,31.88,31.56,31.78,242096
2017-10-12 16:00:00,31.87,32.56,31.77,32.45,4196899
2017-10-13 16:00:00,32.51,32.81,32.275,32.49,4332910
2017-10-16 16:00:00,32.41,32.53,32.04,32.06,5436889
2017-10-17 16:00:00,32.16,32.27,31.98,32.17,3881219
2017-10-18 16:00:00,32.12,32.2,31.79,31.99,3909259
2017-10-19 16:00:00,32.13,32.31,31.91,32.3,3206729
2017-10-20 16:00:00,32.24,32.28,31.92,32.13,3054639
2017-10-23 16:00:00,32.18,32.2,32.03,32.13,1945499
2017-10-24 16:00:00,32.11,32.14,31.9,32.01,2671326
2017-10-25 16:00:00,31.9,31.97,31.34,31.85,4901047
2017-10-26 16:00:00,31.99,32.17,31.66,31.78,3028583
2017-10-27 16:00:00,32.1,32.49,31.62,32.3,5708770
2017-10-30 16:00:00,32.39,32.7,32.26,32.67,6294872
2017-10-31 16:00:00,32.71,33.12,32.67,32.95,3714702
2017-11-01 16:00:00,32.93,32.95,32.5,32.56,3431165
2017-11-02 16:00:00,32.59,32.73,32.28,32.6,2867197
2017-11-03 16:00:00,32.56,32.87,32.46,32.75,3110171
2017-11-06 16:00:00,32.43,33.26,32.385,32.77,5491574
2017-11-07 16:00:00,32.81,33.23,32.71,33.14,4937732
2017-11-08 16:00:00,33.08,33.89,33.04,33.73,4221484
2017-11-09 16:00:00,33.57,33.985,33.51,33.6,3247962
2017-11-10 16:00:00,33.37,33.98,33.37,33.88,3961761
2017-11-13 16:00:00,33.86,34.5,33.83,34.21,4124240
2017-11-14 16:00:00,34.13,35.06,34.13,35.05,5251549
2017-11-15 16:00:00,35.12,35.22,34.43,34.78,5353042
2017-11-16 16:00:00,34.76,34.8649,34.58,34.64,1862151
2017-11-17 16:00:00,34.57,35.02,34.5,34.65,4260651
2017-11-20 16:00:00,34.65,34.73,34.45,34.55,3078059
2017-11-21 16:00:00,34.59,34.59,34.18,34.23,3256434
2017-11-22 16:00:00,34.26,34.395,34.12,34.24,2856703
2017-11-24 13:00:00,34.27,34.415,33.93,33.94,2533184
2017-11-27 16:00:00,34.04,34.055,33.73,33.94,4417140
2017-11-28 16:00:00,33.91,33.96,33.37,33.54,6057808
2017-11-29 16:00:00,33.42,33.75,33.375,33.67,4447060
2017-11-30 16:00:00,33.71,34.24,33.6726,34.14,4660180
2017-12-01 16:00:00,34.29,34.33,33.27,33.76,4432151
2017-12-04 16:00:00,33.82,33.82,32.51,32.58,8799754
2017-12-05 16:00:00,32.58,32.75,32.24,32.35,5046053
2017-12-06 16:00:00,32.45,32.57,32.14,32.37,3343217
2017-12-07 16:00:00,32.36,32.7375,32.21,32.72,4848963
2017-12-08 16:00:00,32.71,32.87,32.52,32.83,3548230
2017-12-11 16:00:00,32.8,33.23,32.8,33.14,4390629
2017-12-12 16:00:00,32.66,33.265,32.66,32.66,4266914
2017-12-13 16:00:00,32.74,32.76,32.27,32.27,4284643
