,Open,High,Low,Close,Volume
2017-10-25 16:00:00,95.31,95.95,95.03,95.53,864390
2017-10-26 16:00:00,96.1,96.36,95.74,95.94,888029
2017-10-27 16:00:00,96.14,96.67,95.88,96.62,994549
2017-10-30 16:00:00,96.45,96.46,95.74,96.07,1241192
2017-10-31 16:00:00,91.25,93.3,90.8,92.76,4394177
2017-11-01 16:00:00,94.12,94.89,92.47,93.11,2849764
2017-11-02 16:00:00,93.44,93.63,92.91,93.36,1489378
2017-11-03 16:00:00,93.01,93.45,92.59,93.18,1264354
2017-11-06 16:00:00,93.32,93.7,93.0,93.13,1620879
2017-11-07 16:00:00,92.94,92.99,89.31,90.47,4748852
2017-11-08 16:00:00,90.41,92.105,90.0,91.65,2400635
2017-11-09 16:00:00,91.5,92.79,90.96,92.52,2704694
2017-11-10 16:00:00,92.33,92.97,92.12,92.76,1800164
2017-11-13 16:00:00,91.83,92.89,91.51,92.85,1561595
2017-11-14 16:00:00,92.35,93.715,91.66,93.43,2111031
2017-11-15 16:00:00,93.27,93.815,92.14,93.54,2414646
2017-11-16 16:00:00,93.81,94.24,93.17,93.2,2711890
2017-11-17 16:00:00,92.99,93.23,91.83,92.06,1692916
2017-11-20 16:00:00,92.39,92.59,91.79,91.97,1429412
2017-11-21 16:00:00,92.14,92.25,91.57,91.74,1924365
2017-11-22 16:00:00,91.59,91.81,91.33,91.59,792579
2017-11-24 13:00:00,91.59,92.2,91.495,92.11,469189
