,Open,High,Low,Close,Volume
2017-10-25 16:00:00,126.89,128.595,126.64,128.21,1065549
2017-10-26 16:00:00,129.08,129.505,128.56,128.94,465237
2017-10-27 16:00:00,128.71,130.2,128.49,130.18,809181
2017-10-30 16:00:00,130.05,130.18,128.72,129.45,954835
2017-10-31 16:00:00,129.19,129.7,128.51,129.43,1317262
2017-11-01 16:00:00,124.0,125.79,120.38,125.52,5165989
2017-11-02 16:00:00,125.62,127.18,125.35,126.58,1552317
2017-11-03 16:00:00,126.46,127.1,126.14,127.03,1038581
2017-11-06 16:00:00,126.96,127.81,126.59,127.77,1228421
2017-11-07 16:00:00,127.74,127.93,126.34,126.97,971623
2017-11-08 16:00:00,126.76,129.11,126.53,128.82,700503
2017-11-09 16:00:00,128.12,129.16,127.42,128.88,923618
2017-11-10 16:00:00,128.54,128.54,127.58,128.0,482710
2017-11-13 16:00:00,127.97,128.57,127.38,128.16,693481
2017-11-14 16:00:00,127.8,129.85,127.52,129.73,714286
2017-11-15 16:00:00,129.53,129.83,128.0,128.52,994641
2017-11-16 16:00:00,128.91,130.1,128.72,129.54,668500
2017-11-17 16:00:00,129.44,129.48,127.92,128.39,805492
2017-11-20 16:00:00,128.24,128.82,127.78,128.32,685684
2017-11-21 16:00:00,128.71,128.75,127.79,128.27,790509
2017-11-22 16:00:00,128.29,128.635,127.53,127.71,687989
2017-11-24 13:00:00,127.59,128.25,127.3,128.13,340492
