,Open,High,Low,Close,Volume
2017-09-14 16:00:00,39.12,39.24,38.96,39.24,463168
2017-09-15 16:00:00,39.1,39.92,38.79,39.84,1574175
2017-09-18 16:00:00,39.93,40.735,39.64,40.66,2763428
2017-09-19 16:00:00,40.76,40.76,39.48,39.77,2580652
2017-09-20 16:00:00,39.83,39.83,39.53,39.71,828444
2017-09-21 16:00:00,39.74,39.8,39.14,39.51,1163509
2017-09-22 16:00:00,39.51,39.51,39.17,39.21,989860
2017-09-25 16:00:00,39.25,39.59,38.97,39.3,1932840
2017-09-26 16:00:00,39.42,39.44,38.98,38.99,1044496
2017-09-27 16:00:00,39.11,39.37,39.03,39.08,1152155
2017-09-28 16:00:00,38.93,39.23,38.67,39.0,2057131
2017-09-29 16:00:00,39.07,39.29,38.85,38.91,1052635
2017-10-02 16:00:00,39.08,41.0,38.95,41.0,1393720
2017-10-03 16:00:00,41.0,41.27,40.59,41.05,960255
2017-10-04 16:00:00,41.11,41.46,40.79,41.01,542259
2017-10-05 16:00:00,41.09,41.22,40.88,41.07,476621
2017-10-06 16:00:00,40.94,41.41,40.84,41.29,807737
2017-10-09 16:00:00,41.18,41.29,40.92,41.11,930913
2017-10-10 16:00:00,41.24,41.55,41.12,41.51,706765
2017-10-11 16:00:00,41.61,43.0,41.55,42.58,1988658
2017-10-12 16:00:00,42.64,42.97,42.59,42.68,1830812
2017-10-13 16:00:00,42.83,43.41,42.67,42.78,1111243
2017-10-16 16:00:00,42.8,43.08,42.57,42.6,756738
2017-10-17 16:00:00,42.75,42.81,42.33,42.5,691459
2017-10-18 16:00:00,42.72,43.18,42.5,43.11,1005164
2017-10-19 16:00:00,43.09,43.34,43.0,43.25,727232
2017-10-20 16:00:00,43.56,43.56,43.06,43.32,983979
2017-10-23 16:00:00,43.54,44.18,43.47,43.76,1290525
2017-10-24 16:00:00,43.95,44.15,43.79,43.9,887768
2017-10-25 16:00:00,44.29,46.58,44.29,46.52,3569779
2017-10-26 16:00:00,46.86,48.06,46.715,47.72,2788925
2017-10-27 16:00:00,47.75,47.81,46.93,47.17,1725481
2017-10-30 16:00:00,46.93,47.26,46.65,46.75,1585386
2017-10-31 16:00:00,46.95,47.26,46.76,46.82,1299380
2017-11-01 16:00:00,47.07,47.15,46.23,46.55,1341039
2017-11-02 16:00:00,46.63,46.995,46.27,46.72,1328407
2017-11-03 16:00:00,46.7,47.0,46.46,46.97,905084
2017-11-06 16:00:00,47.0,47.38,46.735,47.06,623835
2017-11-07 16:00:00,47.03,47.3,46.71,47.27,693537
2017-11-08 16:00:00,47.09,47.5,46.6,46.99,776248
2017-11-09 16:00:00,46.81,46.97,46.14,46.34,734777
2017-11-10 16:00:00,46.23,46.875,46.23,46.73,616866
2017-11-13 16:00:00,46.69,47.2,46.54,47.11,636965
2017-11-14 16:00:00,46.98,47.2,46.5111,47.09,712751
2017-11-15 16:00:00,47.03,47.31,46.74,47.2,813995
2017-11-16 16:00:00,47.32,48.04,47.28,47.48,998605
2017-11-17 16:00:00,47.32,47.48,46.45,46.53,1410191
2017-11-20 16:00:00,46.68,47.28,46.35,46.88,918723
2017-11-21 16:00:00,47.1,47.62,47.01,47.18,993566
2017-11-22 16:00:00,47.06,47.22,46.75,46.84,760294
2017-11-24 13:00:00,47.01,47.46,46.81,47.07,437529
2017-11-27 16:00:00,47.07,47.48,46.83,47.08,811477
2017-11-28 16:00:00,47.2,47.645,47.19,47.55,796856
2017-11-29 16:00:00,47.25,47.77,46.18,46.56,1012857
2017-11-30 16:00:00,46.74,47.22,46.35,46.58,2394748
2017-12-01 16:00:00,46.5,46.91,45.35,46.43,949147
2017-12-04 16:00:00,46.81,46.88,46.23,46.25,1696130
2017-12-05 16:00:00,46.25,46.495,46.01,46.04,904189
2017-12-06 16:00:00,45.99,46.39,45.77,46.16,603008
2017-12-07 16:00:00,46.14,46.57,46.06,46.19,554049
2017-12-08 16:00:00,46.4,46.61,46.25,46.39,574057
2017-12-11 16:00:00,46.38,46.59,46.12,46.24,734322
2017-12-12 16:00:00,46.57,47.35,46.4,46.9,1384518
2017-12-13 16:00:00,46.89,47.6,46.89,47.38,1470373
