,Open,High,Low,Close,Volume
2017-09-14 16:00:00,40.89,41.44,40.7,41.36,909145
2017-09-15 16:00:00,41.29,41.48,40.9,41.39,1349033
2017-09-18 16:00:00,41.53,41.76,41.3,41.4,961804
2017-09-19 16:00:00,41.44,42.04,41.3,41.97,891680
2017-09-20 16:00:00,42.09,42.68,41.98,42.57,1387238
2017-09-21 16:00:00,42.38,42.48,42.02,42.19,684193
2017-09-22 16:00:00,42.08,42.67,41.71,42.63,962585
2017-09-25 16:00:00,42.45,43.1,42.45,43.03,1449964
2017-09-26 16:00:00,43.1,43.52,42.87,43.37,1135589
2017-09-27 16:00:00,43.55,43.65,42.62,43.25,1212796
2017-09-28 16:00:00,43.16,43.43,42.21,42.5,1402924
2017-09-29 16:00:00,42.53,42.77,42.18,42.59,1026802
2017-10-02 16:00:00,42.52,42.63,41.78,42.08,2009426
2017-10-03 16:00:00,42.12,42.69,41.92,42.68,1548955
2017-10-04 16:00:00,42.8,43.59,42.74,43.06,1855560
2017-10-05 16:00:00,43.09,43.42,42.94,43.21,1547209
2017-10-06 16:00:00,43.06,43.34,42.97,43.32,1324037
2017-10-09 16:00:00,43.25,43.32,43.05,43.21,838510
2017-10-10 16:00:00,43.41,43.63,43.3,43.54,990442
2017-10-11 16:00:00,43.51,43.5971,43.13,43.13,24789
2017-10-12 16:00:00,43.45,44.15,43.42,44.07,1774291
2017-10-13 16:00:00,44.49,44.6925,44.26,44.38,1061744
2017-10-16 16:00:00,44.65,44.79,44.33,44.64,1510527
2017-10-17 16:00:00,44.51,44.74,44.37,44.58,923748
2017-10-18 16:00:00,44.56,44.83,44.43,44.62,1170213
2017-10-19 16:00:00,44.31,44.82,44.17,44.49,743010
2017-10-20 16:00:00,44.69,45.38,44.69,45.38,991158
2017-10-23 16:00:00,45.38,45.38,44.53,44.61,1063118
2017-10-24 16:00:00,44.95,45.16,44.55,44.84,1115403
2017-10-25 16:00:00,44.69,44.795,43.9501,44.43,1096806
2017-10-26 16:00:00,44.77,44.92,44.47,44.74,868589
2017-10-27 16:00:00,44.69,44.74,44.03,44.26,1195192
2017-10-30 16:00:00,44.11,44.39,43.88,43.88,986802
2017-10-31 16:00:00,43.97,44.23,43.8,44.07,2340494
2017-11-01 16:00:00,44.44,44.83,43.89,43.99,2270987
2017-11-02 16:00:00,43.42,43.42,37.92,39.14,7255289
2017-11-03 16:00:00,38.54,39.76,37.7125,39.25,4762868
2017-11-06 16:00:00,39.02,40.23,38.9,40.01,2318999
2017-11-07 16:00:00,40.08,40.17,39.03,39.54,1580397
2017-11-08 16:00:00,39.42,39.42,38.8,38.91,1709023
2017-11-09 16:00:00,38.51,39.17,38.38,39.0,1143417
2017-11-10 16:00:00,38.66,39.16,38.52,39.13,1200587
2017-11-13 16:00:00,38.86,39.53,38.55,39.37,1584876
2017-11-14 16:00:00,39.09,39.3,38.6,39.08,1769006
2017-11-15 16:00:00,38.77,38.9724,38.46,38.63,2332642
2017-11-16 16:00:00,38.78,39.22,38.66,39.08,1478557
2017-11-17 16:00:00,39.02,39.675,38.76,39.21,936492
2017-11-20 16:00:00,39.18,39.19,38.8,38.94,1550473
2017-11-21 16:00:00,39.1,39.2325,38.99,38.99,1288469
2017-11-22 16:00:00,39.02,39.87,39.02,39.49,1231662
2017-11-24 13:00:00,39.55,39.66,39.06,39.07,316872
2017-11-27 16:00:00,39.04,39.94,39.04,39.88,892501
2017-11-28 16:00:00,39.92,41.17,39.89,41.12,1692449
2017-11-29 16:00:00,41.09,41.59,41.005,41.51,1576313
2017-11-30 16:00:00,41.75,42.85,41.75,42.58,1531968
2017-12-01 16:00:00,42.65,42.82,41.54,42.39,1582913
2017-12-04 16:00:00,42.94,43.87,42.79,42.83,2296039
2017-12-05 16:00:00,42.97,42.97,42.0,42.04,1067784
2017-12-06 16:00:00,41.92,42.49,41.75,41.81,875942
2017-12-07 16:00:00,41.82,43.06,41.63,42.65,986320
2017-12-08 16:00:00,42.13,42.74,41.81,42.13,1240477
2017-12-11 16:00:00,41.6,42.42,41.4,41.59,1981234
2017-12-12 16:00:00,41.25,41.925,41.23,41.25,987360
2017-12-13 16:00:00,41.21,41.35,40.83,41.02,1111005
