,Open,High,Low,Close,Volume
2017-09-14 16:00:00,26.05,26.13,25.795,26.0,2354231
2017-09-15 16:00:00,26.03,26.66,25.88,26.65,11345072
2017-09-18 16:00:00,26.66,26.66,25.855,26.03,2662400
2017-09-19 16:00:00,26.1,26.31,25.92,26.27,2295230
2017-09-20 16:00:00,26.32,26.53,26.26,26.38,2350730
2017-09-21 16:00:00,26.27,26.46,26.19,26.33,1729639
2017-09-22 16:00:00,26.24,26.47,26.21,26.43,1373912
2017-09-25 16:00:00,26.33,26.83,26.33,26.61,2500203
2017-09-26 16:00:00,26.63,26.7,26.4,26.42,1932815
2017-09-27 16:00:00,26.47,26.81,26.13,26.77,2829911
2017-09-28 16:00:00,26.61,26.68,25.95,26.01,2810043
2017-09-29 16:00:00,26.05,26.1,25.705,25.79,5002672
2017-10-02 16:00:00,25.85,26.295,25.79,26.05,3421529
2017-10-03 16:00:00,26.0,26.16,25.85,26.02,3849198
2017-10-04 16:00:00,25.96,26.63,25.92,26.46,3659046
2017-10-05 16:00:00,26.58,26.65,26.24,26.32,1590277
2017-10-06 16:00:00,26.34,26.49,26.09,26.47,2355450
2017-10-09 16:00:00,26.41,26.48,25.97,25.97,1225426
2017-10-10 16:00:00,26.03,26.54,25.99,26.15,1591372
2017-10-11 16:00:00,26.05,26.05,25.24,25.48,3020237
2017-10-12 16:00:00,25.3,25.78,25.2,25.49,4765116
2017-10-13 16:00:00,25.61,25.915,25.45,25.83,4758444
2017-10-16 16:00:00,25.92,26.2,25.8,26.1,1885432
2017-10-17 16:00:00,26.0,26.25,25.93,26.22,1305642
2017-10-18 16:00:00,26.21,26.72,26.19,26.59,2593110
2017-10-19 16:00:00,26.59,26.727,26.31,26.7,1461659
2017-10-20 16:00:00,26.88,26.94,26.64,26.84,1428129
2017-10-23 16:00:00,26.93,26.93,25.97,26.01,1921703
2017-10-24 16:00:00,25.89,25.97,25.54,25.56,2118190
2017-10-25 16:00:00,25.45,25.65,25.31,25.43,1910491
2017-10-26 16:00:00,25.76,26.0,25.42,25.7,1800681
2017-10-27 16:00:00,25.56,25.76,24.91,25.75,2326395
2017-10-30 16:00:00,25.65,26.03,25.52,25.75,2160971
2017-10-31 16:00:00,25.78,25.78,25.35,25.45,1665763
2017-11-01 16:00:00,25.61,25.83,25.35,25.38,1451170
2017-11-02 16:00:00,25.38,25.53,24.91,25.15,2960779
2017-11-03 16:00:00,25.05,25.2,24.395,24.43,3298298
2017-11-06 16:00:00,24.33,26.85,24.3,26.62,12144055
2017-11-07 16:00:00,26.7,27.77,26.7,27.04,6640868
2017-11-08 16:00:00,26.84,27.39,26.74,27.35,5692463
2017-11-09 16:00:00,26.76,28.96,26.57,28.13,5278978
2017-11-10 16:00:00,28.19,29.17,27.98,28.07,4557631
2017-11-13 16:00:00,27.84,28.04,27.48,27.82,1492557
2017-11-14 16:00:00,27.66,27.77,27.09,27.31,2402953
2017-11-15 16:00:00,27.26,28.01,26.86,27.95,2968127
2017-11-16 16:00:00,27.56,28.74,27.56,28.6,3400750
2017-11-17 16:00:00,30.45,30.73,29.575,30.48,5811020
2017-11-20 16:00:00,30.45,30.92,29.695,29.9,3265077
2017-11-21 16:00:00,29.93,30.28,29.64,30.1,2645452
2017-11-22 16:00:00,30.02,30.16,29.83,29.94,2721883
2017-11-24 13:00:00,29.68,30.09,29.68,29.78,732234
2017-11-27 16:00:00,29.72,29.89,29.67,29.7,2922052
2017-11-28 16:00:00,29.82,30.23,29.63,30.17,2079277
2017-11-29 16:00:00,30.22,31.59,30.22,31.3,3983740
2017-11-30 16:00:00,31.0,31.46,30.54,31.15,3597541
2017-12-01 16:00:00,30.64,31.6,30.515,31.47,5138016
2017-12-04 16:00:00,31.79,33.19,31.79,32.31,4307175
2017-12-05 16:00:00,32.02,33.69,32.02,32.48,6398246
2017-12-06 16:00:00,32.55,33.2367,32.0787,32.7,4247152
2017-12-07 16:00:00,32.77,34.34,32.57,33.77,10985604
2017-12-08 16:00:00,34.02,34.11,32.9,32.97,5690348
2017-12-11 16:00:00,33.04,33.35,32.76,33.27,3701853
2017-12-12 16:00:00,33.46,33.7,32.94,33.6,6034429
2017-12-13 16:00:00,33.58,33.58,32.06,32.34,7502713
