,Open,High,Low,Close,Volume
2017-10-25 16:00:00,26.18,26.35,26.0,26.13,4141297
2017-10-26 16:00:00,26.32,26.685,26.05,26.31,5177392
2017-10-27 16:00:00,26.03,26.44,25.56,26.41,8691272
2017-10-30 16:00:00,26.3,26.7,26.19,26.39,4910401
2017-10-31 16:00:00,26.48,26.48,26.01,26.15,4391373
2017-11-01 16:00:00,26.29,26.515,25.95,25.98,4804152
2017-11-02 16:00:00,26.0,26.17,25.56,25.81,10081327
2017-11-03 16:00:00,25.78,25.89,24.91,24.97,11423450
2017-11-06 16:00:00,24.93,27.53,24.81,27.45,29885203
2017-11-07 16:00:00,27.42,28.6,27.42,27.75,25606011
2017-11-08 16:00:00,27.71,28.6,27.47,28.09,11090503
2017-11-09 16:00:00,27.33,29.77,27.29,28.7,19206496
2017-11-10 16:00:00,28.98,29.95,28.74,28.84,14782687
2017-11-13 16:00:00,28.66,28.78,28.195,28.55,5775034
2017-11-14 16:00:00,28.31,28.48,27.77,28.03,8690142
2017-11-15 16:00:00,27.88,28.83,27.531,28.73,15046498
2017-11-16 16:00:00,28.36,29.55,28.36,29.32,11836937
2017-11-17 16:00:00,31.19,31.465,30.22,31.15,35337271
2017-11-20 16:00:00,31.02,31.62,30.39,30.66,13341179
2017-11-21 16:00:00,30.71,31.1,30.41,30.88,7010461
2017-11-22 16:00:00,30.87,30.96,30.55,30.61,4604767
2017-11-24 13:00:00,30.45,30.8,30.36,30.47,2150921
