,Open,High,Low,Close,Volume
2017-09-14 16:00:00,128.27,131.0499,128.04,130.97,331648
2017-09-15 16:00:00,130.38,130.98,129.75,130.0,659934
2017-09-18 16:00:00,130.0,130.08,127.16,127.51,338234
2017-09-19 16:00:00,127.64,128.09,125.24,125.38,593320
2017-09-20 16:00:00,125.38,125.81,124.23,124.63,335422
2017-09-21 16:00:00,124.05,124.6,123.53,123.85,295350
2017-09-22 16:00:00,123.9,124.63,122.94,123.14,193555
2017-09-25 16:00:00,123.46,125.32,123.46,124.8,325380
2017-09-26 16:00:00,124.99,126.0597,124.4,125.08,408649
2017-09-27 16:00:00,124.74,124.74,122.6,123.98,767284
2017-09-28 16:00:00,123.73,124.55,123.17,124.45,479065
2017-09-29 16:00:00,124.06,125.16,123.58,124.21,325502
2017-10-02 16:00:00,124.5,124.65,123.49,124.03,304042
2017-10-03 16:00:00,124.11,124.64,123.34,124.61,253470
2017-10-04 16:00:00,124.67,125.18,123.91,125.13,192183
2017-10-05 16:00:00,125.43,126.78,125.2,126.09,234091
2017-10-06 16:00:00,125.29,125.79,124.18,125.68,296132
2017-10-09 16:00:00,125.8,126.42,125.47,126.11,221693
2017-10-10 16:00:00,126.42,127.03,126.05,126.75,276191
2017-10-11 16:00:00,126.81,127.6,126.81,127.54,13529
2017-10-12 16:00:00,127.69,128.63,126.835,128.51,447952
2017-10-13 16:00:00,128.9,130.72,127.88,129.68,598196
2017-10-16 16:00:00,129.2,130.15,128.475,128.81,419989
2017-10-17 16:00:00,128.61,129.8,128.32,129.63,319639
2017-10-18 16:00:00,129.69,130.2,127.21,128.53,529433
2017-10-19 16:00:00,128.7,128.98,126.96,127.23,285862
2017-10-20 16:00:00,127.23,127.23,125.34,125.8,311321
2017-10-23 16:00:00,126.39,126.65,125.15,126.61,251450
2017-10-24 16:00:00,126.47,126.91,124.29,124.9,420726
2017-10-25 16:00:00,124.82,124.97,122.08,123.27,335112
2017-10-26 16:00:00,123.99,123.99,120.07,121.73,687111
2017-10-27 16:00:00,121.04,122.14,119.54,121.45,362549
2017-10-30 16:00:00,121.44,121.99,120.31,120.98,485496
2017-10-31 16:00:00,120.85,121.24,119.37,120.52,755806
2017-11-01 16:00:00,120.63,121.86,119.855,121.7,488622
2017-11-02 16:00:00,122.27,128.22,122.25,128.1,630756
2017-11-03 16:00:00,127.36,127.66,125.73,126.56,614379
2017-11-06 16:00:00,126.51,127.5,126.4,126.92,400458
2017-11-07 16:00:00,127.01,129.33,127.01,128.61,406727
2017-11-08 16:00:00,128.83,130.14,128.2,128.87,289056
2017-11-09 16:00:00,129.29,132.48,128.91,131.44,516303
2017-11-10 16:00:00,131.38,132.26,131.18,132.01,374610
2017-11-13 16:00:00,132.54,133.89,130.49,130.89,530828
2017-11-14 16:00:00,130.51,131.81,130.305,131.81,458977
2017-11-15 16:00:00,131.8,132.5,130.99,131.59,318990
2017-11-16 16:00:00,130.84,132.69,130.84,131.9,405524
2017-11-17 16:00:00,131.49,133.43,131.49,132.5,428098
2017-11-20 16:00:00,132.6,132.735,131.24,131.24,482750
2017-11-21 16:00:00,131.84,131.96,131.19,131.6,353576
2017-11-22 16:00:00,131.21,132.71,131.21,131.75,278195
2017-11-24 13:00:00,132.15,132.82,131.32,131.92,111558
2017-11-27 16:00:00,131.71,131.83,130.58,130.69,237765
2017-11-28 16:00:00,131.2,131.57,129.91,131.12,475993
2017-11-29 16:00:00,131.19,132.85,130.89,132.1,426746
2017-11-30 16:00:00,132.35,133.23,131.83,132.21,577992
2017-12-01 16:00:00,132.92,133.25,131.7,132.54,388261
2017-12-04 16:00:00,132.8,134.52,132.8,133.57,481622
2017-12-05 16:00:00,133.88,133.97,131.4,131.54,408588
2017-12-06 16:00:00,131.94,132.17,129.7,130.09,405942
2017-12-07 16:00:00,129.96,130.84,129.68,129.84,465655
2017-12-08 16:00:00,130.45,130.64,129.37,130.29,282976
2017-12-11 16:00:00,130.47,130.61,129.68,129.79,333818
2017-12-12 16:00:00,130.5,131.41,129.44,130.5,843063
2017-12-13 16:00:00,130.66,131.94,130.19,131.37,463776
