,Open,High,Low,Close,Volume
2017-10-25 16:00:00,72.95,73.37,72.05,72.47,1730698
2017-10-26 16:00:00,73.1,73.76,72.57,73.47,1765984
2017-10-27 16:00:00,72.2,74.38,70.01,74.1,2011623
2017-10-30 16:00:00,73.75,73.89,72.38,72.46,1583475
2017-10-31 16:00:00,72.61,72.77,72.215,72.26,1234892
2017-11-01 16:00:00,72.73,73.07,72.25,72.86,1221998
2017-11-02 16:00:00,72.9,73.495,72.64,73.31,987159
2017-11-03 16:00:00,73.3,73.98,73.3,73.64,1009841
2017-11-06 16:00:00,73.5,73.59,72.76,72.86,836589
2017-11-07 16:00:00,72.8,73.47,72.67,73.47,1072504
2017-11-08 16:00:00,73.21,73.25,72.68,72.77,1130286
2017-11-09 16:00:00,72.45,72.85,72.101,72.63,1015714
2017-11-10 16:00:00,72.28,72.795,71.9,72.65,1825247
2017-11-13 16:00:00,72.26,72.7,72.05,72.6,839493
2017-11-14 16:00:00,72.23,72.695,72.14,72.67,1224035
2017-11-15 16:00:00,72.59,72.71,71.67,71.85,1726110
2017-11-16 16:00:00,72.19,72.93,72.03,72.44,982711
2017-11-17 16:00:00,72.09,72.709,71.75,72.25,2945395
2017-11-20 16:00:00,72.38,73.16,72.25,72.81,873289
2017-11-21 16:00:00,72.89,73.16,72.41,72.45,1263633
2017-11-22 16:00:00,72.38,72.53,71.7562,72.0,1932814
2017-11-24 13:00:00,72.07,72.4,72.06,72.13,362999
