,Open,High,Low,Close,Volume
2017-09-14 16:00:00,196.63,197.81,196.45,197.63,920214
2017-09-15 16:00:00,198.1,198.715,197.6,198.27,2095613
2017-09-18 16:00:00,199.0,202.35,198.855,202.18,1313088
2017-09-19 16:00:00,201.91,203.94,201.2604,203.12,784144
2017-09-20 16:00:00,202.78,205.29,202.7,204.27,1308282
2017-09-21 16:00:00,204.56,206.57,204.0,205.72,860577
2017-09-22 16:00:00,206.09,206.5099,204.63,205.41,1040753
2017-09-25 16:00:00,205.5,205.5,203.22,204.87,1202818
2017-09-26 16:00:00,205.05,206.21,204.73,205.33,705505
2017-09-27 16:00:00,205.77,207.6,205.35,206.8,901492
2017-09-28 16:00:00,205.87,206.055,204.41,205.03,638864
2017-09-29 16:00:00,204.83,205.71,204.02,205.58,732246
2017-10-02 16:00:00,206.43,208.76,206.04,208.72,721866
2017-10-03 16:00:00,208.72,210.94,208.42,210.53,907484
2017-10-04 16:00:00,210.05,211.64,209.92,211.3,843089
2017-10-05 16:00:00,210.76,214.11,210.62,213.45,1215314
2017-10-06 16:00:00,212.86,213.29,211.73,212.6,941919
2017-10-09 16:00:00,213.02,213.59,212.24,213.53,671581
2017-10-10 16:00:00,214.0,214.0844,212.005,212.55,642548
2017-10-11 16:00:00,212.94,212.94,212.23,212.51,59323
2017-10-12 16:00:00,212.48,213.98,212.48,213.72,727206
2017-10-13 16:00:00,214.5,214.81,213.28,213.34,782786
2017-10-16 16:00:00,213.5,214.55,212.56,213.44,747983
2017-10-17 16:00:00,212.75,213.33,210.95,211.54,769992
2017-10-18 16:00:00,211.3,212.0,209.86,210.39,945717
2017-10-19 16:00:00,210.3,211.95,209.71,211.64,674509
2017-10-20 16:00:00,212.59,214.02,211.73,213.86,899469
2017-10-23 16:00:00,213.86,214.17,212.47,212.51,837312
2017-10-24 16:00:00,212.51,214.81,211.86,212.08,1350873
2017-10-25 16:00:00,208.2,211.245,206.01,207.25,2000752
2017-10-26 16:00:00,208.18,208.5,202.03,203.91,1474183
2017-10-27 16:00:00,204.5,205.68,204.1,204.99,1255138
2017-10-30 16:00:00,204.82,206.93,204.82,206.17,1259722
2017-10-31 16:00:00,206.36,206.36,202.93,202.98,995843
2017-11-01 16:00:00,203.57,204.21,200.54,201.62,1735276
2017-11-02 16:00:00,201.73,204.18,201.31,203.82,1079252
2017-11-03 16:00:00,204.32,205.5,203.25,204.06,995303
2017-11-06 16:00:00,204.0,204.02,202.34,202.37,739956
2017-11-07 16:00:00,202.37,203.86,202.21,203.76,918008
2017-11-08 16:00:00,203.89,203.96,202.5,202.62,841222
2017-11-09 16:00:00,202.17,202.38,198.6,198.87,1363660
2017-11-10 16:00:00,198.85,201.87,198.08,199.77,929810
2017-11-13 16:00:00,199.13,201.75,199.02,200.13,912161
2017-11-14 16:00:00,199.25,201.05,199.01,200.22,813640
2017-11-15 16:00:00,199.45,201.65,198.85,198.99,1069094
2017-11-16 16:00:00,199.49,200.17,198.67,199.22,1103818
2017-11-17 16:00:00,198.26,199.56,197.75,197.77,763303
2017-11-20 16:00:00,198.01,199.399,197.71,198.74,1284180
2017-11-21 16:00:00,198.72,200.34,197.88,200.1,1190783
2017-11-22 16:00:00,199.82,200.65,199.215,200.04,921844
2017-11-24 13:00:00,200.19,200.76,199.89,200.0,411418
2017-11-27 16:00:00,200.0,201.35,199.76,201.07,1026736
2017-11-28 16:00:00,201.89,204.73,201.145,204.19,1159375
2017-11-29 16:00:00,204.61,204.96,203.651,204.17,724924
2017-11-30 16:00:00,204.21,207.85,203.75,207.16,1912229
2017-12-01 16:00:00,207.11,207.18,199.79,202.64,1311450
2017-12-04 16:00:00,203.75,204.605,201.138,201.69,1705994
2017-12-05 16:00:00,202.42,202.52,199.83,199.91,960216
2017-12-06 16:00:00,199.93,201.34,199.93,200.21,1223175
2017-12-07 16:00:00,200.28,201.155,199.281,200.17,1236080
2017-12-08 16:00:00,200.24,201.21,198.87,201.07,1344610
2017-12-11 16:00:00,201.2,201.33,199.31,199.64,804185
2017-12-12 16:00:00,196.18,198.48,196.07,196.18,1960978
2017-12-13 16:00:00,196.67,198.14,196.39,196.63,1417919
