,Open,High,Low,Close,Volume
2017-09-14 16:00:00,24.1,24.27,23.94,24.26,42084528
2017-09-15 16:00:00,24.1,24.17,23.75,23.93,66559977
2017-09-18 16:00:00,23.96,24.55,23.93,24.46,52504484
2017-09-19 16:00:00,24.46,24.47,24.015,24.2,45340484
2017-09-20 16:00:00,24.2,24.41,24.19,24.32,39770268
2017-09-21 16:00:00,24.33,24.84,24.17,24.75,52115545
2017-09-22 16:00:00,24.84,25.0399,24.77,24.87,39717546
2017-09-25 16:00:00,24.92,25.18,24.851,25.11,42487988
2017-09-26 16:00:00,25.15,25.21,24.92,24.93,40753220
2017-09-27 16:00:00,25.0,25.05,24.28,24.37,56322448
2017-09-28 16:00:00,24.39,24.45,24.16,24.24,36154413
2017-09-29 16:00:00,24.22,24.29,24.01,24.18,33673712
2017-10-02 16:00:00,24.22,24.61,24.1,24.57,42501167
2017-10-03 16:00:00,24.61,24.83,24.33,24.8,33907539
2017-10-04 16:00:00,24.88,24.89,24.43,24.48,32149416
2017-10-05 16:00:00,24.39,24.57,24.15,24.54,34758948
2017-10-06 16:00:00,24.41,24.54,24.13,24.39,40729835
2017-10-09 16:00:00,24.1,24.15,23.25,23.43,140302771
2017-10-10 16:00:00,23.7,23.8553,23.32,23.36,80571106
2017-10-11 16:00:00,23.13,23.27,23.02,23.085,10458121
2017-10-12 16:00:00,23.05,23.09,22.83,23.05,59948728
2017-10-13 16:00:00,23.15,23.23,22.96,22.98,40391802
2017-10-16 16:00:00,22.99,23.48,22.93,23.36,49757813
2017-10-17 16:00:00,23.22,23.25,23.0,23.19,58639089
2017-10-18 16:00:00,23.2,23.28,23.07,23.12,34970681
2017-10-19 16:00:00,23.14,23.78,23.05,23.58,75574053
2017-10-20 16:00:00,22.14,23.84,22.1,23.83,192404370
2017-10-23 16:00:00,23.44,23.44,22.18,22.32,187340912
2017-10-24 16:00:00,22.12,22.31,21.75,21.89,133615914
2017-10-25 16:00:00,21.84,21.89,21.3,21.5,110518207
2017-10-26 16:00:00,21.57,21.65,21.2,21.32,86283723
2017-10-27 16:00:00,21.26,21.3,20.64,20.79,98534637
2017-10-30 16:00:00,20.62,20.72,20.26,20.41,98385544
2017-10-31 16:00:00,20.26,20.4,20.05,20.16,98007061
2017-11-01 16:00:00,20.07,20.52,19.96,20.02,91714426
2017-11-02 16:00:00,20.05,20.075,19.63,19.94,81531699
2017-11-03 16:00:00,19.92,20.33,19.86,20.14,67860954
2017-11-06 16:00:00,20.52,20.53,20.08,20.13,60679528
2017-11-07 16:00:00,20.17,20.25,20.12,20.21,41661222
2017-11-08 16:00:00,20.21,20.32,20.07,20.12,39682539
2017-11-09 16:00:00,20.04,20.071,19.85,19.99,50850505
2017-11-10 16:00:00,19.98,20.68,19.9,20.49,100732937
2017-11-13 16:00:00,20.26,20.75,18.7501,19.02,261557413
2017-11-14 16:00:00,18.79,18.88,17.46,17.9,312556809
2017-11-15 16:00:00,17.51,18.38,17.5,18.26,144368004
2017-11-16 16:00:00,18.48,18.48,18.05,18.25,89376592
2017-11-17 16:00:00,18.34,18.47,18.21,18.21,60457162
2017-11-20 16:00:00,17.9537,18.13,17.83,17.98,63934053
2017-11-21 16:00:00,17.95,18.07,17.7,17.83,77918915
2017-11-22 16:00:00,18.1549,18.25,17.84,18.15,54846811
2017-11-24 13:00:00,18.38,18.38,18.15,18.19,24897701
2017-11-27 16:00:00,18.34,18.5,18.09,18.12,78852430
2017-11-28 16:00:00,18.17,18.44,18.06,18.41,56115382
2017-11-29 16:00:00,18.45,18.54,18.31,18.48,55159484
2017-11-30 16:00:00,18.56,18.59,18.18,18.29,68055442
2017-12-01 16:00:00,18.28,18.28,17.86,17.88,82027614
2017-12-04 16:00:00,18.0,18.06,17.88,17.95,68347911
2017-12-05 16:00:00,17.78,18.01,17.67,17.76,65814889
2017-12-06 16:00:00,17.61,17.84,17.6,17.66,43913625
2017-12-07 16:00:00,17.81,18.06,17.63,17.71,55584727
2017-12-08 16:00:00,17.71,17.82,17.66,17.71,54443466
2017-12-11 16:00:00,17.605,17.79,17.53,17.65,58171204
2017-12-12 16:00:00,17.91,18.04,17.65,17.91,66832390
2017-12-13 16:00:00,17.92,17.99,17.76,17.76,42104460
