,Open,High,Low,Close,Volume
2017-09-14 16:00:00,21.53,21.77,21.4,21.7,5160973
2017-09-15 16:00:00,21.69,21.85,21.51,21.82,14486663
2017-09-18 16:00:00,21.82,21.99,21.26,21.36,6091445
2017-09-19 16:00:00,21.32,21.38,20.73,20.95,8551865
2017-09-20 16:00:00,20.99,21.04,20.7,20.75,5747132
2017-09-21 16:00:00,20.78,20.9764,20.68,20.74,4898276
2017-09-22 16:00:00,20.72,20.81,20.45,20.5,4887119
2017-09-25 16:00:00,20.57,20.93,20.51,20.75,6381028
2017-09-26 16:00:00,21.04,21.37,20.9,21.04,9481959
2017-09-27 16:00:00,21.05,21.2,20.66,20.7,5508912
2017-09-28 16:00:00,20.68,21.34,20.65,21.28,7797479
2017-09-29 16:00:00,21.22,21.35,20.68,20.77,6803869
2017-10-02 16:00:00,20.78,20.84,20.58,20.59,4875138
2017-10-03 16:00:00,20.64,20.81,20.455,20.75,3017669
2017-10-04 16:00:00,20.7,21.17,20.7,21.15,7532079
2017-10-05 16:00:00,21.22,21.79,21.21,21.54,6063943
2017-10-06 16:00:00,21.39,21.43,21.1,21.21,4133145
2017-10-09 16:00:00,21.21,21.42,21.185,21.29,2433871
2017-10-10 16:00:00,21.37,21.67,21.33,21.64,4270438
2017-10-11 16:00:00,21.63,21.74,21.57,21.72,191944
2017-10-12 16:00:00,21.42,21.62,21.18,21.46,6229025
2017-10-13 16:00:00,21.56,21.835,21.37,21.66,4267681
2017-10-16 16:00:00,21.67,21.68,21.33,21.45,2647573
2017-10-17 16:00:00,21.37,21.6,21.36,21.57,2514301
2017-10-18 16:00:00,21.55,21.64,21.14,21.18,3021764
2017-10-19 16:00:00,21.21,21.47,21.085,21.26,3582961
2017-10-20 16:00:00,21.35,21.35,21.06,21.17,5951452
2017-10-23 16:00:00,21.25,21.44,21.1,21.31,4060936
2017-10-24 16:00:00,21.33,21.36,20.86,20.88,4736699
2017-10-25 16:00:00,20.68,20.86,20.195,20.6,6998262
2017-10-26 16:00:00,20.91,20.92,20.175,20.45,6814440
2017-10-27 16:00:00,20.36,20.36,19.8,19.95,10249372
2017-10-30 16:00:00,19.93,20.255,19.93,19.95,8055838
2017-10-31 16:00:00,19.92,20.0,18.86,19.46,12046720
2017-11-01 16:00:00,19.5,19.7,19.4,19.44,6865644
2017-11-02 16:00:00,19.43,19.73,19.34,19.67,6405347
2017-11-03 16:00:00,19.47,19.5401,18.83,19.1,11541802
2017-11-06 16:00:00,19.02,19.43,18.99,19.01,8332314
2017-11-07 16:00:00,19.01,22.71,19.01,22.2,52528528
2017-11-08 16:00:00,22.15,22.22,21.495,21.76,21977401
2017-11-09 16:00:00,21.67,22.42,21.55,22.0,11629607
2017-11-10 16:00:00,21.94,22.28,21.88,22.2,7029028
2017-11-13 16:00:00,23.65,24.23,23.36,24.05,31738741
2017-11-14 16:00:00,23.95,24.1,23.75,23.95,11886057
2017-11-15 16:00:00,23.87,24.0,23.46,23.85,16216017
2017-11-16 16:00:00,23.83,24.0,23.69,23.92,7637140
2017-11-17 16:00:00,23.86,24.06,23.6,23.66,6801552
2017-11-20 16:00:00,23.66,23.67,23.31,23.43,13203615
2017-11-21 16:00:00,23.44,23.455,23.25,23.35,10936169
2017-11-22 16:00:00,23.32,23.45,23.25,23.34,9841351
2017-11-24 13:00:00,23.45,23.505,23.23,23.35,3135472
2017-11-27 16:00:00,23.35,23.42,23.16,23.24,8856182
2017-11-28 16:00:00,23.2,23.41,23.11,23.35,5862698
2017-11-29 16:00:00,23.35,23.5,23.23,23.4,5429492
2017-11-30 16:00:00,23.37,23.57,23.25,23.5,6117280
2017-12-01 16:00:00,23.57,23.715,23.42,23.59,5310933
2017-12-04 16:00:00,23.67,23.81,23.55,23.63,6724713
2017-12-05 16:00:00,23.6,23.64,23.47,23.54,3748490
2017-12-06 16:00:00,23.6,23.62,23.34,23.4,5329797
2017-12-07 16:00:00,23.41,23.49,23.31,23.4,6489238
2017-12-08 16:00:00,23.48,23.48,23.28,23.43,5466093
2017-12-11 16:00:00,23.45,23.7,23.25,23.39,9520433
2017-12-12 16:00:00,23.77,23.89,23.425,23.77,12936955
2017-12-13 16:00:00,23.67,23.87,23.56,23.69,6419394
