,Open,High,Low,Close,Volume
2017-10-25 16:00:00,80.08,80.08,78.69,79.89,9571677
2017-10-26 16:00:00,78.29,79.5,77.0,77.88,12451262
2017-10-27 16:00:00,75.01,77.2,72.76,77.07,22760672
2017-10-30 16:00:00,76.1,76.93,75.25,75.99,11276956
2017-10-31 16:00:00,75.83,76.39,74.725,74.96,8796575
2017-11-01 16:00:00,74.69,75.85,74.22,74.835,8776365
2017-11-02 16:00:00,74.72,74.8,73.55,73.81,7464409
2017-11-03 16:00:00,73.59,73.85,72.83,73.46,7648555
2017-11-06 16:00:00,73.29,73.5,72.11,72.38,8268164
2017-11-07 16:00:00,72.41,73.34,72.32,73.21,7824437
2017-11-08 16:00:00,73.32,73.37,72.72,73.1,8095395
2017-11-09 16:00:00,73.04,73.42,72.62,73.02,5817830
2017-11-10 16:00:00,72.96,74.085,72.2,73.77,7698245
2017-11-13 16:00:00,73.25,73.39,72.51,72.85,8735296
2017-11-14 16:00:00,72.7,72.72,70.05,71.15,10925635
2017-11-15 16:00:00,70.63,72.1,70.53,71.81,8539315
2017-11-16 16:00:00,71.75,72.6,71.25,72.41,7535925
2017-11-17 16:00:00,72.27,72.62,72.12,72.44,5719061
2017-11-20 16:00:00,72.41,72.61,71.55,72.13,6452496
2017-11-21 16:00:00,72.07,72.84,71.82,72.51,6473539
2017-11-22 16:00:00,72.48,73.09,72.35,72.82,4369030
2017-11-24 13:00:00,72.76,72.92,72.23,72.46,2335914
