,Open,High,Low,Close,Volume
2017-09-14 16:00:00,29.1,29.34,29.1,29.25,3852736
2017-09-15 16:00:00,29.18,29.425,29.14,29.35,7749101
2017-09-18 16:00:00,29.46,29.69,29.41,29.54,3317559
2017-09-19 16:00:00,29.54,30.12,29.53,29.91,4612880
2017-09-20 16:00:00,29.99,30.15,29.805,30.03,4264006
2017-09-21 16:00:00,30.03,30.14,29.97,30.1,4502975
2017-09-22 16:00:00,30.04,30.25,29.91,30.05,4278858
2017-09-25 16:00:00,30.07,30.37,29.815,30.01,7358092
2017-09-26 16:00:00,30.16,30.16,29.75,29.81,5232663
2017-09-27 16:00:00,29.91,30.185,29.8,30.04,3548080
2017-09-28 16:00:00,29.97,30.05,29.8,29.95,4452160
2017-09-29 16:00:00,29.91,30.01,29.73,29.92,4064508
2017-10-02 16:00:00,29.94,30.18,29.89,30.16,4085523
2017-10-03 16:00:00,30.21,30.34,30.06,30.31,2915401
2017-10-04 16:00:00,30.27,30.53,30.23,30.47,3678991
2017-10-05 16:00:00,30.54,30.6,30.4,30.45,4882666
2017-10-06 16:00:00,30.37,30.39,30.01,30.09,4632920
2017-10-09 16:00:00,30.11,30.2,30.02,30.12,3133738
2017-10-10 16:00:00,30.11,30.14,29.65,30.03,5119060
2017-10-11 16:00:00,30.03,30.09,29.795,29.9,491406
2017-10-12 16:00:00,29.64,30.01,29.52,29.94,6266873
2017-10-13 16:00:00,29.96,29.99,29.57,29.74,5989516
2017-10-16 16:00:00,29.87,30.07,29.79,29.89,3405316
2017-10-17 16:00:00,29.78,29.8,29.65,29.67,3728933
2017-10-18 16:00:00,29.74,29.97,29.66,29.92,4052250
2017-10-19 16:00:00,29.8,30.07,29.705,30.06,3484214
2017-10-20 16:00:00,30.17,30.38,30.0,30.06,6756555
2017-10-23 16:00:00,30.15,30.42,29.96,30.01,12616210
2017-10-24 16:00:00,30.6,32.31,30.3,31.94,24151112
2017-10-25 16:00:00,31.65,31.83,31.08,31.54,10872229
2017-10-26 16:00:00,31.54,31.94,31.53,31.7,5888889
2017-10-27 16:00:00,31.75,31.96,31.5,31.51,5726683
2017-10-30 16:00:00,31.5,31.6,31.185,31.26,4669108
2017-10-31 16:00:00,31.5,31.55,31.25,31.31,5235054
2017-11-01 16:00:00,31.55,31.75,31.37,31.63,5162999
2017-11-02 16:00:00,31.63,31.68,31.39,31.58,3699162
2017-11-03 16:00:00,31.62,31.89,31.61,31.67,3251932
2017-11-06 16:00:00,31.59,31.88,31.58,31.84,4119855
2017-11-07 16:00:00,31.81,32.25,31.78,32.25,6206912
2017-11-08 16:00:00,32.19,32.325,32.0,32.22,4537019
2017-11-09 16:00:00,32.0,32.0,31.54,31.79,5902242
2017-11-10 16:00:00,31.59,31.87,31.57,31.73,3346279
2017-11-13 16:00:00,31.59,31.77,31.55,31.66,3219035
2017-11-14 16:00:00,31.58,31.79,31.4,31.7,3068377
2017-11-15 16:00:00,31.34,31.48,31.08,31.32,3601161
2017-11-16 16:00:00,31.42,31.8,31.4,31.65,4753390
2017-11-17 16:00:00,31.54,31.8,31.49,31.63,3418637
2017-11-20 16:00:00,31.65,31.8343,31.605,31.73,2720837
2017-11-21 16:00:00,31.86,31.96,31.75,31.93,5739190
2017-11-22 16:00:00,31.95,32.09,31.77,31.8,3092345
2017-11-24 13:00:00,31.93,31.97,31.665,31.85,1968941
2017-11-27 16:00:00,31.78,32.08,31.7,32.05,6402655
2017-11-28 16:00:00,32.1,32.64,32.05,32.44,6798217
2017-11-29 16:00:00,32.53,32.72,32.22,32.48,6212686
2017-11-30 16:00:00,32.58,32.775,32.36,32.39,10616665
2017-12-01 16:00:00,32.39,32.53,31.2,31.85,6243592
2017-12-04 16:00:00,32.08,32.4,32.04,32.21,6656669
2017-12-05 16:00:00,32.21,32.39,32.08,32.24,4383430
2017-12-06 16:00:00,32.14,32.25,31.64,31.67,5298265
2017-12-07 16:00:00,31.66,31.92,31.62,31.73,4459921
2017-12-08 16:00:00,31.86,32.37,31.79,32.35,4271418
2017-12-11 16:00:00,32.4,32.75,32.4,32.57,4752701
2017-12-12 16:00:00,32.64,32.815,32.36,32.64,4909008
2017-12-13 16:00:00,32.61,32.64,32.28,32.29,5254989
