,Open,High,Low,Close,Volume
2017-10-25 16:00:00,968.37,976.09,960.5201,973.33,1211262
2017-10-26 16:00:00,980.0,987.6,972.2,972.56,2042149
2017-10-27 16:00:00,1009.19,1048.39,1008.2,1019.27,5167689
2017-10-30 16:00:00,1014.0,1024.97,1007.5,1017.11,2085062
2017-10-31 16:00:00,1015.22,1024.0,1010.42,1016.64,1331391
2017-11-01 16:00:00,1017.21,1029.67,1016.95,1025.5,1373444
2017-11-02 16:00:00,1021.76,1028.09,1013.01,1025.58,1048970
2017-11-03 16:00:00,1022.11,1032.65,1020.31,1032.48,1076350
2017-11-06 16:00:00,1028.99,1034.87,1025.0,1025.9,1125185
2017-11-07 16:00:00,1027.27,1033.97,1025.13,1033.33,1112331
2017-11-08 16:00:00,1030.52,1043.522,1028.45,1039.85,1088716
2017-11-09 16:00:00,1033.99,1033.99,1019.6656,1031.26,1245246
2017-11-10 16:00:00,1026.46,1030.76,1025.28,1028.07,720676
2017-11-13 16:00:00,1023.42,1031.58,1022.57,1025.75,885779
2017-11-14 16:00:00,1022.59,1026.81,1014.15,1026.0,959222
2017-11-15 16:00:00,1019.21,1024.09,1015.42,1020.91,853992
2017-11-16 16:00:00,1022.52,1035.92,1022.52,1032.5,1129688
2017-11-17 16:00:00,1034.01,1034.42,1017.75,1019.09,1397064
2017-11-20 16:00:00,1020.26,1022.61,1017.5,1018.38,953470
2017-11-21 16:00:00,1023.31,1035.11,1022.655,1034.49,1096999
2017-11-22 16:00:00,1035.0,1039.706,1031.43,1035.96,746878
2017-11-24 13:00:00,1035.87,1043.178,1035.0,1040.61,536996
