,Open,High,Low,Close,Volume
2017-10-25 16:00:00,986.27,994.43,977.722,991.46,1528710
2017-10-26 16:00:00,998.47,1006.51,990.47,991.42,2369838
2017-10-27 16:00:00,1030.99,1063.62,1026.85,1033.67,5184143
2017-10-30 16:00:00,1029.16,1039.83,1022.33,1033.13,2340172
2017-10-31 16:00:00,1033.0,1041.0,1026.295,1033.04,1516278
2017-11-01 16:00:00,1036.315,1047.86,1034.0,1042.595,2163073
2017-11-02 16:00:00,1039.99,1045.52,1028.66,1042.97,1334697
2017-11-03 16:00:00,1042.75,1050.66,1037.65,1049.99,1388461
2017-11-06 16:00:00,1049.1,1052.59,1042.0,1042.68,914748
2017-11-07 16:00:00,1049.65,1053.41,1043.0,1052.39,1305229
2017-11-08 16:00:00,1050.05,1062.691,1047.05,1058.29,1214600
2017-11-09 16:00:00,1048.0,1050.88,1035.85,1047.72,1794575
2017-11-10 16:00:00,1043.87,1046.63,1041.22,1044.15,972127
2017-11-13 16:00:00,1040.8,1048.74,1039.26,1041.2,940721
2017-11-14 16:00:00,1037.72,1042.3,1029.33,1041.64,1050566
2017-11-15 16:00:00,1035.0,1039.63,1030.76,1036.41,905262
2017-11-16 16:00:00,1038.75,1051.76,1038.0,1048.47,1188392
2017-11-17 16:00:00,1049.8,1051.0,1033.73,1035.89,1335610
2017-11-20 16:00:00,1036.0,1038.695,1032.675,1034.66,876321
2017-11-21 16:00:00,1040.04,1050.39,1039.14,1050.3,1110341
2017-11-22 16:00:00,1051.16,1055.43,1047.25,1051.92,726898
2017-11-24 13:00:00,1054.39,1060.07,1051.92,1056.52,825369
