,Open,High,Low,Close,Volume
2017-10-25 16:00:00,89.02,89.16,88.06,88.46,695921
2017-10-26 16:00:00,88.45,90.03,87.33,89.4,980650
2017-10-27 16:00:00,89.1,89.205,87.95,88.35,751726
2017-10-30 16:00:00,88.2,88.59,87.66,88.04,625737
2017-10-31 16:00:00,88.16,88.72,87.82,88.23,569575
2017-11-01 16:00:00,88.8,88.8,87.37,87.43,618256
2017-11-02 16:00:00,87.36,88.78,86.45,88.53,624222
2017-11-03 16:00:00,88.55,88.7,87.76,87.8,567549
2017-11-06 16:00:00,88.03,88.039,86.99,87.26,568950
2017-11-07 16:00:00,87.18,87.805,86.05,86.43,729740
2017-11-08 16:00:00,86.66,86.8,85.83,86.02,1555250
2017-11-09 16:00:00,85.68,86.31,85.2,85.56,1015506
2017-11-10 16:00:00,85.06,86.36,85.0,85.45,1228194
2017-11-13 16:00:00,85.06,86.0,84.83,85.29,943211
2017-11-14 16:00:00,86.06,87.38,85.78,86.01,711024
2017-11-15 16:00:00,85.41,88.32,84.83,85.0,657194
2017-11-16 16:00:00,85.22,86.06,84.71,85.99,717352
2017-11-17 16:00:00,85.95,86.8,85.8,86.13,572722
2017-11-20 16:00:00,86.13,86.59,85.9001,86.26,519938
2017-11-21 16:00:00,86.6,86.6,85.27,85.95,1108633
2017-11-22 16:00:00,85.95,87.23,85.92,86.91,390794
2017-11-24 13:00:00,86.93,87.04,86.41,86.84,246854
