,Open,High,Low,Close,Volume
2017-09-14 16:00:00,97.07,97.83,96.72,97.03,1089167
2017-09-15 16:00:00,97.0,97.8,96.85,97.56,1334096
2017-09-18 16:00:00,97.7,97.86,96.69,96.99,1108025
2017-09-19 16:00:00,97.17,97.17,96.07,96.08,842213
2017-09-20 16:00:00,96.17,96.6,95.12,95.62,1056303
2017-09-21 16:00:00,95.56,96.55,95.35,96.34,683542
2017-09-22 16:00:00,96.53,97.19,95.15,95.82,810317
2017-09-25 16:00:00,95.66,95.88,93.94,94.2,1572028
2017-09-26 16:00:00,94.33,94.95,93.631,94.35,1334762
2017-09-27 16:00:00,94.83,95.56,94.4,94.48,1207951
2017-09-28 16:00:00,94.19,94.53,92.97,93.94,1179306
2017-09-29 16:00:00,93.92,95.06,93.62,95.03,835678
2017-10-02 16:00:00,95.21,96.21,95.005,96.13,1054105
2017-10-03 16:00:00,96.32,97.81,96.1,96.62,1133363
2017-10-04 16:00:00,96.87,96.87,95.75,96.42,1015295
2017-10-05 16:00:00,96.39,97.29,95.88,96.79,779260
2017-10-06 16:00:00,96.47,97.215,96.27,96.95,629537
2017-10-09 16:00:00,96.96,99.15,96.77,98.15,865965
2017-10-10 16:00:00,98.63,100.34,98.09,98.52,1622526
2017-10-11 16:00:00,98.61,99.2675,98.36,99.11,65783
2017-10-12 16:00:00,98.97,99.91,98.65,99.06,723497
2017-10-13 16:00:00,99.4,100.11,99.05,99.64,579472
2017-10-16 16:00:00,99.89,100.2,99.02,99.34,727412
2017-10-17 16:00:00,99.3,99.31,97.52,97.68,901954
2017-10-18 16:00:00,97.69,98.13,96.76,96.87,968274
2017-10-19 16:00:00,96.25,96.8654,96.05,96.81,923083
2017-10-20 16:00:00,97.06,97.37,96.49,97.17,928116
2017-10-23 16:00:00,97.5,97.87,97.155,97.44,1236378
2017-10-24 16:00:00,97.97,98.01,97.42,97.74,549126
2017-10-25 16:00:00,97.76,99.56,97.76,99.52,915108
2017-10-26 16:00:00,99.76,100.58,99.26,100.4,1796716
2017-10-27 16:00:00,100.8,101.59,99.89,101.57,1116324
2017-10-30 16:00:00,101.34,101.99,101.01,101.88,738101
2017-10-31 16:00:00,102.01,104.0,101.4,103.95,1720292
2017-11-01 16:00:00,104.39,104.47,102.13,102.55,1055552
2017-11-02 16:00:00,102.5,102.85,101.71,102.81,687774
2017-11-03 16:00:00,103.63,104.07,103.03,103.61,1103218
2017-11-06 16:00:00,103.77,104.83,103.6194,104.27,1097516
2017-11-07 16:00:00,104.4,104.4,103.13,103.9,1253047
2017-11-08 16:00:00,103.11,103.75,100.04,101.65,2263410
2017-11-09 16:00:00,101.3,101.33,97.9,99.32,1781758
2017-11-10 16:00:00,99.13,99.96,98.17,98.85,1142860
2017-11-13 16:00:00,98.32,99.685,98.32,99.6,1367074
2017-11-14 16:00:00,99.45,101.49,99.14,101.34,1072172
2017-11-15 16:00:00,101.01,101.3,99.03,99.39,1131869
2017-11-16 16:00:00,99.84,101.12,99.7,100.22,862589
2017-11-17 16:00:00,99.83,100.165,99.41,100.03,623234
2017-11-20 16:00:00,100.48,101.5552,100.2,101.08,696054
2017-11-21 16:00:00,101.52,103.21,101.19,103.21,1017435
2017-11-22 16:00:00,103.17,103.37,102.09,102.43,659497
2017-11-24 13:00:00,102.61,103.51,102.47,103.47,266019
2017-11-27 16:00:00,103.78,104.19,102.74,103.89,686347
2017-11-28 16:00:00,104.35,104.9,103.4303,103.55,838236
2017-11-29 16:00:00,103.67,103.67,98.89,98.96,1837349
2017-11-30 16:00:00,99.46,100.75,98.73,100.56,1725694
2017-12-01 16:00:00,100.46,101.01,98.32,100.75,1093707
2017-12-04 16:00:00,101.25,101.49,95.32,95.96,2119253
2017-12-05 16:00:00,95.96,97.67,95.37,96.63,1328567
2017-12-06 16:00:00,96.65,98.48,96.34,97.19,1630742
2017-12-07 16:00:00,97.46,99.57,97.46,99.19,709782
2017-12-08 16:00:00,99.39,99.845,99.0,99.37,639007
2017-12-11 16:00:00,99.18,100.51,98.82,100.22,866231
2017-12-12 16:00:00,100.14,100.73,99.65,100.14,892820
2017-12-13 16:00:00,100.43,101.37,99.07,99.36,1049833
