,Open,High,Low,Close,Volume
2017-09-14 16:00:00,226.1,228.1,226.05,226.85,1986626
2017-09-15 16:00:00,227.15,227.21,223.82,225.22,4365813
2017-09-18 16:00:00,226.3,229.0,225.66,227.53,2466828
2017-09-19 16:00:00,228.01,230.1356,227.33,228.91,1858009
2017-09-20 16:00:00,229.5,231.65,228.5,229.79,2682253
2017-09-21 16:00:00,229.89,232.1,229.4,231.29,1800822
2017-09-22 16:00:00,230.64,231.49,228.88,231.03,1861843
2017-09-25 16:00:00,230.77,231.86,228.3552,230.26,2261753
2017-09-26 16:00:00,230.86,231.44,229.03,229.94,1770007
2017-09-27 16:00:00,234.07,235.6,232.91,234.76,3052297
2017-09-28 16:00:00,235.0,236.2,233.5,235.47,2121841
2017-09-29 16:00:00,235.01,237.6,234.57,237.19,1902308
2017-10-02 16:00:00,237.2,241.0996,237.1,240.65,2501272
2017-10-03 16:00:00,241.07,242.71,239.69,241.62,2010771
2017-10-04 16:00:00,241.62,242.88,240.1203,240.31,1840415
2017-10-05 16:00:00,241.0,246.32,240.12,246.06,3521265
2017-10-06 16:00:00,246.3,247.075,244.61,246.02,2396134
2017-10-09 16:00:00,245.15,246.35,242.02,242.8,2165180
2017-10-10 16:00:00,242.8,243.73,241.7,242.6,2187050
2017-10-11 16:00:00,242.0,242.4999,241.35,241.89,149411
2017-10-12 16:00:00,242.33,243.42,238.75,239.8,2148150
2017-10-13 16:00:00,239.0,239.45,236.84,238.53,2491012
2017-10-16 16:00:00,238.6,242.76,238.35,242.41,2969192
2017-10-17 16:00:00,244.44,244.89,235.19,236.09,7088445
2017-10-18 16:00:00,236.87,242.65,236.87,242.03,4235853
2017-10-19 16:00:00,240.35,240.99,238.1,239.99,2710875
2017-10-20 16:00:00,242.95,245.25,240.67,244.73,3022769
2017-10-23 16:00:00,244.39,245.33,241.381,242.13,1963295
2017-10-24 16:00:00,243.6,246.25,243.0,244.84,2285251
2017-10-25 16:00:00,246.16,246.5,240.8,241.71,2904307
2017-10-26 16:00:00,242.61,244.0,241.53,241.72,1948825
2017-10-27 16:00:00,240.85,242.44,239.67,241.71,2111903
2017-10-30 16:00:00,240.1,242.59,239.53,240.89,1764451
2017-10-31 16:00:00,240.68,244.18,240.63,242.48,2658731
2017-11-01 16:00:00,243.89,247.4,242.91,244.26,2969572
2017-11-02 16:00:00,244.69,247.74,243.38,246.88,2509072
2017-11-03 16:00:00,245.37,246.28,243.19,244.4,1954583
2017-11-06 16:00:00,243.5,244.579,241.67,243.49,1744764
2017-11-07 16:00:00,243.91,244.98,238.84,239.81,2483904
2017-11-08 16:00:00,239.2,242.32,237.55,241.25,2349780
2017-11-09 16:00:00,239.51,242.367,237.84,240.79,2123010
2017-11-10 16:00:00,241.69,243.32,240.0,240.15,1845619
2017-11-13 16:00:00,237.97,240.9,237.16,240.27,1953911
2017-11-14 16:00:00,239.65,240.88,235.63,237.24,3000194
2017-11-15 16:00:00,234.97,238.15,233.55,237.61,2564130
2017-11-16 16:00:00,238.38,240.69,238.2,239.37,2304336
2017-11-17 16:00:00,238.86,239.08,237.12,238.02,2826379
2017-11-20 16:00:00,238.78,238.78,237.11,238.13,2000660
2017-11-21 16:00:00,239.41,239.59,237.54,238.02,2223847
2017-11-22 16:00:00,237.94,238.95,236.36,236.43,2177237
2017-11-24 13:00:00,237.42,238.56,235.55,235.95,1268608
2017-11-27 16:00:00,235.75,236.88,234.8,235.11,1999613
2017-11-28 16:00:00,236.09,240.0,234.33,239.41,3212932
2017-11-29 16:00:00,241.25,244.47,240.4,241.36,4500022
2017-11-30 16:00:00,244.07,250.79,244.0,247.64,6364574
2017-12-01 16:00:00,249.78,250.68,244.01,248.95,4765370
2017-12-04 16:00:00,254.89,254.9,250.01,250.65,3326126
2017-12-05 16:00:00,250.8,251.35,247.41,248.33,2526845
2017-12-06 16:00:00,246.24,248.075,245.13,245.95,2331424
2017-12-07 16:00:00,244.62,249.48,244.4,248.56,2666989
2017-12-08 16:00:00,250.5,250.68,247.2,250.35,1959075
2017-12-11 16:00:00,250.0,251.4,248.76,250.13,1494228
2017-12-12 16:00:00,257.68,258.2,250.685,257.68,3464242
2017-12-13 16:00:00,257.81,260.5,255.56,255.56,3482341
